Cuisine,Ingredients,Image,Url
木耳炒雞片〞低醣低脂瘦身菜,{雞胸肉:140g}{蛋:2個}{黑木耳:150g}{鹽:1/2小匙}{水:50cc}{白胡椒粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/242397/large_40299f6a62975eb9.jpg,https://icook.tw/recipes/242397
低卡《高麗菜雞肉水餃》,{高麗菜:500g}{雞胸肉:500g}{韭菜:50g}{鹽:1大匙+1/4小匙}{香油(白芝麻油):1大匙}{白胡椒粉:適量}{蒜頭:1瓣(磨成泥)}{米酒:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277634/large_4ca2758564aea74e.jpg,https://icook.tw/recipes/277634
毛豆仁煸雞丁,{雞肉丁:300g}{熟毛豆仁:70g}{辣椒:5g}{蒜頭:1瓣}{橄欖油:1大匙}{鹽:1/4小匙}{水:1大匙}{食用油:少許}{鹽:1/8小匙或少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276696/large_fba71ed7e1688216.jpg,https://icook.tw/recipes/276696
減肥聖品：好嫩好多汁雞胸肉片,{雞胸肉:一片}{鹽:適量}{胡椒:適量}{乾辣椒片:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276495/large_871eb0c55496b772.jpg,https://icook.tw/recipes/276495
減肥低脂-雞胸肉水餃,{雞胸肉:一盒290克}{蔥/蘆筍/高麗菜/蔬菜:適量}{水餃皮:1包約60片}{米酒:1湯匙}{香油:1茶匙}{醬油:2茶匙}{鹽巴:少許}{黑胡椒:少許}{蒜:2瓣},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270122/large_73977506ddd88119.jpg,https://icook.tw/recipes/270122
蒜味鮮蔬煨大黃瓜一超簡單,{大黃瓜切薄片:半條}{紅蘿蔔片:1/4根}{香菇切片:五朵}{青蔥段:兩根}{玉米筍對半斜切:50克（半盒）}{蒜粒:四瓣}{鹽:一中匙}{食用油:兩大匙}{開水:20cc},https://tokyo-kitchen.icook.network/uploads/recipe/cover/266372/large_bc30909f4dd339c6.jpg,https://icook.tw/recipes/266372
麻辣雞絲,{帶骨雞胸肉:1 塊}{青蔥:5 根}{薑:1 大片}{米酒:少許}{醬油膏:1 大匙}{辣油:1 小匙}{楓糖/糖:1 小匙}{冷開水:1 小匙}{白醋(也可不加):1 點點}{麻油/香油:1 點點},https://tokyo-kitchen.icook.network/uploads/recipe/cover/266256/large_817a619dabfe3359.jpg,https://icook.tw/recipes/266256
泰式涼拌花枝涼拌透抽～低油低醣開胃涼拌菜,{花枝圈(透抽圈):150g}{香菜:3株}{洋蔥:半顆}{檸檬切薄片:1/2顆}{檸檬汁(汆燙花枝用):1/4顆}{泰式甜辣醬:2-3大匙}{魚露:1小匙}{檸檬汁:1/4顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/266079/large_06066fae8f72e377.jpg,https://icook.tw/recipes/266079
低卡~秋葵雞胸卷,{雞胸肉:1片}{鹽:1/4匙}{秋葵:6根},https://tokyo-kitchen.icook.network/uploads/recipe/cover/265131/large_89ba79bfd95482a4.jpg,https://icook.tw/recipes/265131
[生酮低醣餐］檸檬起司蛋糕,{黃金亞麻籽粉 (iherb購):30g}{椰子細粉:15g}{黃豆粉:10g}{帶皮杏仁粉:15g}{赤藻醣醇:15g}{香草精:1小匙}{奶油(融化）:30g}{雞蛋:1顆}{Cream cheese:250g}{酸奶油:150g}{無糖優格:100g}{雞蛋:2顆}{鮮奶油:80g}{吉利丁:1片}{赤藻醣醇:50g}{檸檬汁（怕酸的再少一些）:1/8顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/264718/large_98eab83af340a16a.jpg,https://icook.tw/recipes/264718
