Cuisine,Ingredients,Image,Url
麻油雞香菇高麗菜飯（電鍋版）,{雞腿肉:一隻}{高麗菜:1/4}{乾香菇:5朵}{薑片:8片}{枸杞:ㄧ湯匙}{麻油:2大匙}{米酒:量米一杯}{水:量米一杯半}{米:兩杯}{鹽:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275227/large_e117583099c3b8e8.jpg,https://icook.tw/recipes/275227
麻油雞湯鍋,{大雞腿切塊:1隻半}{薑片:約40～50g}{蔬菜油:2小匙}{黑麻油:3～5大匙}{水:1000cc}{米酒:1米杯}{大白菜:約250g}{火鍋豆皮:約60g}{枸杞:1大匙}{鹽:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/279504/large_ba552ad585f2be07.jpg,https://icook.tw/recipes/279504
天冷來碗❤️地瓜圓黑糖薑茶,{黑糖:3湯匙}{薑:半條}{地瓜:一條}{木薯粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278316/large_d14b6d6e28d8532b.jpg,https://icook.tw/recipes/278316
薑母鴨,{鴨:1隻}{薑母:適量}{玉米:2支}{米酒:1瓶}{麻油:半碗}{藥包:1包},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275577/large_5a246a6dcb8b6167.jpg,https://icook.tw/recipes/275577
麻油香菇菜飯【電鍋料理】,{白米:2杯}{老薑:15g}{乾香菇:15g}{高麗菜:250g}{水:1杯}{麻油:2.5大匙}{鹽:1.5茶匙}{米酒:3/4杯},https://tokyo-kitchen.icook.network/uploads/recipe/cover/273676/large_6788d0fc077a4097.jpg,https://icook.tw/recipes/273676
簡易麻油雞湯,{雞:半隻}{老薑:適量}{米酒:2米杯}{鹽:少許}{麻油:3大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/273424/large_95010e1b6ffef3bf.jpg,https://icook.tw/recipes/273424
簡易版 - 蒜頭麻油雞,{去骨雞腿:2支}{麻油:50cc}{酒:100cc}{水:蓋過食材}{鹽:4cc}{雞精粉:4cc}{老薑:1大根}{蒜頭:4-5顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/273250/large_9957d4c60c94ff88.jpg,https://icook.tw/recipes/273250
韓式養生飯,{長糯米:3杯}{紅棗:25粒}{新鮮栗子（去皮）:半斤}{松子:60g}{水:3.6杯},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271781/large_009c7f8a6690973e.jpg,https://icook.tw/recipes/271781
蓮藕蓮子排骨湯【萬用鍋版】,{蓮藕:350克}{排骨:500克}{蓮子:40克}{紅棗:8顆}{水:1300ml}{鹽:1/2茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271389/large_a182795cb54b1f6c.jpg,https://icook.tw/recipes/271389
電鍋料理～人蔘雞腿湯,{土雞腿:2支}{小雞腿:2支}{雞翅:2支}{人蔘片:6片}{黃耆:6片}{紅棗:5顆}{枸杞:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271640/large_73424ae79003fd02.jpg,https://icook.tw/recipes/271640
