Cuisine,Ingredients,Image,Url
港式養顏糖水 ~ 銀耳南瓜蓮子養血甜湯,{南瓜:半個}{銀耳:1大朵}{紅棗:15粒}{桂圓肉:半碗}{蓮子:1碗},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271588/large_93eb285d1f99c749.jpg,https://icook.tw/recipes/271588
核果白木耳湯品-素,{核桃:50g}{腰果:50g}{蓮子:50g}{杏仁(可無):30g}{百合(可無):30g}{白木耳(依自己的喜好):100g}{紅棗(去籽):10-12顆}{枸杞:適量}{紅蘿蔔:150g}{蜜棗:2顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270192/large_92bcc03087d3d552.jpg,https://icook.tw/recipes/270192
冰糖紅棗雪梨湯（素食可）,{雪梨:1個}{紅棗:5顆}{枸杞:適量}{冰糖:半米杯},https://tokyo-kitchen.icook.network/uploads/recipe/cover/269554/large_1729e80b827a895e.jpg,https://icook.tw/recipes/269554
酷酷掃時 媽會做的食療湯品-雪梨燉炙黃麻,{雪梨:1顆}{炙麻黃:2錢}{五味子:1.5錢}{南北杏:5錢}{陳皮:1片},https://tokyo-kitchen.icook.network/uploads/recipe/cover/269305/large_8a2bbd32e69a1468.jpg,https://icook.tw/recipes/269305
「蓮藕紅棗雞湯」秋天美肌電鍋懶人湯品,{雞骨:1架}{蓮藕:適量}{紅棗:5個}{枸杞:1小匙}{薑片:3片}{水:適量}{鹽巴:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/268978/large_d4720bf92ec27b7a.jpg,https://icook.tw/recipes/268978
冰糖銀耳蓮子湯（白木耳）【夏日必備甜品】,{新鮮蓮子:300 克}{新鮮白木耳:200 克}{冰糖:150 克}{水:2 公升},https://tokyo-kitchen.icook.network/uploads/recipe/cover/260401/large_d9019f28dc042c6b.jpg,https://icook.tw/recipes/260401
杏仁奶露,,https://tokyo-kitchen.icook.network/uploads/recipe/cover/245085/large_1c7ad327f119e15e.jpg,https://icook.tw/recipes/245085
黑糖白木耳露,,https://tokyo-kitchen.icook.network/uploads/recipe/cover/246004/large_b4e9039037b5bbaf.jpg,https://icook.tw/recipes/246004
冰糖木耳蓮子湯,{白木耳:2朵}{生蓮子:適量}{紅棗:適量}{枸杞:適量}{冰糖:適量}{水:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/251416/large_ab658a3763383076.jpg,https://icook.tw/recipes/251416
【養顏甜點】冰花燉蛋,{雞蛋:3個}{冰糖／砂糖:35-40克}{水:120毫升}{牛奶:140毫升},https://tokyo-kitchen.icook.network/uploads/recipe/cover/249374/large_e084840e6d593d76.jpg,https://icook.tw/recipes/249374
養生芝麻糊,,https://tokyo-kitchen.icook.network/uploads/recipe/cover/245231/large_60656a55e43048ff.jpg,https://icook.tw/recipes/245231
八寶桂圓粥,,https://tokyo-kitchen.icook.network/uploads/recipe/cover/245088/large_c372fdf540ebf084.jpg,https://icook.tw/recipes/245088
港式養顏糖水 ~ 杞子水梨冰糖燉燕窩 ,{水梨:1顆}{枸杞子:1湯匙}{燕窩 (已泡好的 ):約一碗量}{冰糖:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/248643/large_d38d57d6d0b275e9.jpg,https://icook.tw/recipes/248643
銀耳紅棗甜湯,,https://tokyo-kitchen.icook.network/uploads/recipe/cover/245143/large_2c5bbebe9c4f44a9.jpg,https://icook.tw/recipes/245143
紅棗黑木耳露,,https://tokyo-kitchen.icook.network/uploads/recipe/cover/245084/large_3102fbe85ee55ea9.jpg,https://icook.tw/recipes/245084
【影片】超甜滋潤雪梨水,{陳皮:1 片}{蜜棗:300 克}{麥冬:100 克}{雪梨:12 個}{水:3 – 5 公升},https://tokyo-kitchen.icook.network/uploads/recipe/cover/222471/large_f9115f606d3fe04d.jpg,https://icook.tw/recipes/222471
地黃粥│《以粥養生》清代名著粥品精選,{生地黃(鮮地黃加倍):15g}{白米:1杯}{水:8-10杯},https://tokyo-kitchen.icook.network/uploads/recipe/cover/125697/large_a83016e96f83982c.jpg,https://icook.tw/recipes/125697
奇異果油切纖體飲【玻璃罐排毒水】,{葡萄柚:1/2 個}{奇異果:1/2 個}{百里香:⋯2 枝（8cm）}{水:300ml},https://tokyo-kitchen.icook.network/uploads/recipe/cover/125689/large_a797d9cc1b0b88be.jpg,https://icook.tw/recipes/125689
高纖整腸蘋柚水【玻璃罐排毒水】,{柳橙:1/3 個}{蘋果:1/7 個}{葡萄柚:去皮後15g}{檸檬薄片:1 片}{水:300ml},https://tokyo-kitchen.icook.network/uploads/recipe/cover/125683/large_2c250e6773658efc.jpg,https://icook.tw/recipes/125683
消水腫蕉香輕檸水【玻璃罐排毒水】,{柳橙:2/3 個}{香蕉（小）:1 根}{檸檬薄片:1 片}{生薑:1/3 片}{水:300ml},https://tokyo-kitchen.icook.network/uploads/recipe/cover/125679/large_0b3615642849e5a3.jpg,https://icook.tw/recipes/125679
蜂蜜漬檸檬,{檸檬:5顆}{蜂蜜:300g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/125633/large_48e2793d74816a76.jpg,https://icook.tw/recipes/125633
養生紅棗黑木耳露,{黑木耳:150g}{紅棗:50g}{黑糖:100g}{水:1800cc},https://tokyo-kitchen.icook.network/uploads/recipe/cover/125656/large_f6ed8c791733e96d.jpg,https://icook.tw/recipes/125656
紅豆水,{紅豆:250g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/125648/large_1665d4a025b40ec7.jpg,https://icook.tw/recipes/125648
蜂蜜檸檬,{檸檬:1個}{蜂蜜:0.5瓶}{粗鹽:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/125312/large_e72b319f77142e0c.jpg,https://icook.tw/recipes/125312
養生茴香苖炒薏米,{薏米:1包}{小茴香草:2札}{枸𣏌:適量}{小紅辣椒:1個}{鹽:1小匙}{雞粉:半匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/124758/large_8585c87c7247ea3c.jpg,https://icook.tw/recipes/124758
簡單做養身的(桂圓紅豆湯),{紅豆:300g}{桂圓:適量}{水(容器的量):8分滿}{糖:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/124647/large_7c5e773f8b200215.jpg,https://icook.tw/recipes/124647
柴胡解鬱雞湯,{雞肉:300公克}{柴胡:5公克}{白芍:5公克}{枳殼:5公克}{炙甘草:5公克}{川芎:3公克}{紅棗:5公克}{米酒及鹽:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/124477/large_dfb033ab4744bc9c.jpg,https://icook.tw/recipes/124477
四神排骨湯,{豬小排:80公克}{蓮子:15公克}{芡實:15公克}{山藥:15公克}{薏苡仁:15公克}{鹽:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/124475/large_02f5c4feef6cbaef.jpg,https://icook.tw/recipes/124475
參耆烏骨雞湯,{烏骨雞:1隻}{西洋參:30公克}{黃耆:30公克}{紅棗:30公克}{老薑片:40公克}{鹽及米酒:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/124474/large_e7b1ffda5f9776f8.jpg,https://icook.tw/recipes/124474
冰糖銀耳蓮子湯🎶,{銀耳:一大朵}{蓮子:一袋}{紅棗:適量}{枸杞:適量}{冰糖:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/124332/large_7e691e17f8eca821.jpg,https://icook.tw/recipes/124332
抗敏蔥薑雞粥,{帶骨雞肉:12公克}{米:100公克}{紅棗:10顆}{生薑片:10公克}{蔥白（切末）:15公克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/124247/large_8a43f1b648dfe73a.jpg,https://icook.tw/recipes/124247
四物香菇雞湯,{當歸、土炒白芍、熟地黃:各9公克}{川芎、黨參、枸杞子:各3公克}{烏骨雞塊:300公克}{香菇(小):20朵}{生薑片:5公克}{鹽及米酒:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/124238/large_58de264c3072fce3.jpg,https://icook.tw/recipes/124238
