Cuisine,Ingredients,Image,Url
開運年菜～花開富貴,{杏鮑菇斜切片:2支}{紅蘿蔔斜切片:1/3支}{西生菜:適量}{素蠔油:3大匙}{味林:3大匙}{燙菜水:11-12大匙}{玉米粉水:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/101257/large_eb5dd1b86b3d3ec7.jpg,https://icook.tw/recipes/101257
滷牛腱,{牛腱肉:2大條}{蔥:一把}{薑:適量}{辣椒:4-5根}{蒜頭:5顆}{冰糖:1大匙}{醬油:3 大匙}{白胡椒粉:2茶匙}{八角.花椒:適量}{肉寇.草果:適量}{胡椒粒 .桂皮:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276305/large_81f1a429e479e31a.jpg,https://icook.tw/recipes/276305
黃金菠菜蛋捲,{菠菜:150g}{海苔片:2片}{雞蛋:2顆}{鹽巴:1/6茶匙}{玉米粉水:1茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275463/large_18c4cc1732880138.jpg,https://icook.tw/recipes/275463
混外國血統的蘿蔔糕,{白蘿蔔:720g}{生飲水:440g}{乾香菇:22g}{紅蔥頭:25g}{蒜頭:22g}{洋蔥:100g}{蝦米:25g}{德國香腸:100g}{香油或沙拉油:3大匙}{鹽:1大匙}{白胡椒粉:1小匙}{在來米粉:440g}{生飲水:390g}{砂糖:42g}{香油:8g}{水煮雞蛋:2顆}{香菇:4朵}{蝦米:15g}{鋁製模型:2個}{沙拉油:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/274955/large_3dc83a5868e7cbbe.jpg,https://icook.tw/recipes/274955
香辣滷牛腱【開胃下酒菜】【年菜常備菜】,{牛腱:2 顆}{醬油:180 毫升}{米酒:120 毫升}{蔥:2~3 根}{辣椒:2 根}{辣豆瓣醬:4 大匙}{糖:4 大匙}{市售滷包:1 包}{水:1700 毫升},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271349/large_6185effa75aeeadf.jpg,https://icook.tw/recipes/271349
泰式檸檬魚,{長尾濱鯛（小）:一尾}{米酒:少許}{鹽:少許}{檸檬片:半顆}{檸檬汁:兩茶匙}{魚露:兩茶匙}{糖:一茶匙}{熱開水:一大匙}{蒜末:兩大匙}{薑末:一大匙}{蔥:一大匙}{辣椒末:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270108/large_fec5991444031653.jpg,https://icook.tw/recipes/270108
蘿蔔糕炒蛋加香腸,{蘿蔔糕:適量}{香腸:2根}{蛋:2顆}{油:1-2大匙}{蔥:1-2支}{白胡椒粉:適量}{蔭醬油:20g}{清醬油:10g}{熱開水:15g}{糖:適量}{蒜頭:1瓣},https://tokyo-kitchen.icook.network/uploads/recipe/cover/254912/large_64be0d0c22cc9e73.jpg,https://icook.tw/recipes/254912
紫地瓜流心糯米糍,{紫地瓜泥:200克}{糯米粉:60克}{水:適量}{紅糖／椰糖:適量}{椰蓉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/258302/large_c09e8fd78d665235.jpg,https://icook.tw/recipes/258302
咕咾肉,{豬胛心肉或梅花肉:300公克}{青椒或甜椒:1個}{洋蔥:1/2個}{鳳梨:1/4個}{地瓜粉:150公克}{太白粉:1大匙}{蛋……1個:1個}{醬油……1大匙:1大匙}{米酒……1大匙:1大匙}{白胡椒粉……1/2小匙:1/2小匙}{太白粉……1大匙:1大匙}{蕃茄醬:4大匙}{水:3大匙}{糖:3大匙}{白醋或水果醋:3大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/260520/large_02a6e97b83791bb8.jpg,https://icook.tw/recipes/260520
鳳梨滷肉_電子鍋料理,{梅花肉:550g}{鳳梨:150g}{香油:2大匙}{蒜頭:6瓣}{青蔥:2支}{醬油:4大匙}{蠔油:4大匙}{米酒:2大匙}{冰糖:1大匙}{清水:1米杯}{白胡椒粉:適量}{鹽巴:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/253507/large_1245fe3b1a3897d2.jpg,https://icook.tw/recipes/253507
紅蟳米糕,{糯米:2杯}{肉蟹:1隻}{蟹肉(買不到的話可省略):30g}{薑:1塊}{紅蔥頭:5顆}{小香菇:10朵}{蝦米:10隻}{油蔥酥:少許}{麻油:4湯匙}{豬油或沙拉油:2湯馳}{鹽:1 1/2茶匙}{糖:10g}{白胡椒粉:半茶匙}{香菇水(泡香菇的水):2杯}{太白粉(螃蟹用):少許}{米酒:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/250827/large_8001a67f34323ffe.jpg,https://icook.tw/recipes/250827
家常東坡肉（turbo 版）,{五花肉:5塊}{紹興酒:1量杯}{醬油:1量杯}{水:1量杯}{青蔥:幾支}{八角:幾個}{薑:幾片}{冰糖:90克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/246753/large_f012c7b825f3d083.jpg,https://icook.tw/recipes/246753
生菜蝦鬆,{蝦仁:15尾}{薑末:15克}{蛋白:1個}{胡椒粉:1克}{米酒:10克}{太白粉:6克}{油:5克}{油:10克}{洋蔥丁:半顆}{蒜末:3粒}{荸薺丁:4個}{紅蘿蔔丁:50克}{水:10克}{芹菜丁:3支}{碎油條:適量}{美生菜:適量}{LE CREUSET 不沾鍋:1個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/241445/large_2fcad289091957f2.jpg,https://icook.tw/recipes/241445
高昇排骨簡單做,{豬肋排:1斤（600g）}{薑:4-5片}{蔥（切段）:2枝}{酒:2大匙}{糖:4大匙}{烏醋:6大匙}{醬油:8大匙}{水:10大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/242633/large_b69285f4cef9d82f.jpg,https://icook.tw/recipes/242633
《過年應景-黃金蛋餃》,{絞肉:50元}{蔥:5根}{油蔥酥:少許}{蛋:8顆}{太白粉水:半碗}{白胡椒粉:少許}{香油:少許}{醬油膏:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/242686/large_a078848ea7d97c61.jpg,https://icook.tw/recipes/242686
臘味飯,{米:1杯}{臘腸:1支}{肝腸:1支}{蒜苗:適量}{醬油:1大匙}{紹興酒:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/240904/large_612f7ee45af9f8a6.jpg,https://icook.tw/recipes/240904
{ 賀年糕點 } ~ 清香馬蹄糕,{馬蹄粉:100g}{玉米粉:7g}{砂糖:50g}{黃砂糖:50g}{葵花油:2大匙}{水:600ml}{馬蹄:9粒},https://tokyo-kitchen.icook.network/uploads/recipe/cover/240903/large_2414d7af4891e5e1.jpg,https://icook.tw/recipes/240903
鴻運發糕(年菜)~純素食,{在來米(白米):3/4杯(120g)}{在來米粉:0.5杯(55g)}{低筋麵粉:2.5杯(275g)}{酵母:1小匙(4g)}{水:1.5杯(270g)}{砂糖:1杯(200g)}{薑黃粉:3~5g}{可可粉:3~5g}{麻薏粉:3~5g}{紅麴醬:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/58430/large_a9952c2b62178a49.jpg,https://icook.tw/recipes/58430
黒糖紅豆年糕,{糯米粉:500g}{黑糖:75g}{二砂糖:75g}{熱水:500ml}{小紅豆:300g}{水:500g}{黑糖:150g}{鹽巴:1/4小匙}{免洗「麵碗」:3只}{玻璃紙:1張},https://tokyo-kitchen.icook.network/uploads/recipe/cover/240732/large_5882177081e70e9d.jpg,https://icook.tw/recipes/240732
