Cuisine,Ingredients,Image,Url
韓式紫菜包飯捲,{糙米:2杯}{壽司米:1杯}{海苔片:8片}{櫛瓜:1條}{黃瓜:1條}{甜椒:1顆}{紅蘿蔔:2條}{蛋:3顆}{麻油:適量}{鹽:適量}{美乃滋:適量}{松阪豬肉條:200g}{蜂蜜:1匙}{蒜:3顆}{醬油:適量}{鹽:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/249070/large_24ac16189ca8ba2e.jpg,https://icook.tw/recipes/249070
韓式燒肉飯捲 紫菜燒肉飯捲 牛肉飯捲,{紫菜:4張}{飯:4碗}{韓式燒肉(炒菠菜):菜肉份量都約300g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/245493/large_ff62887c9e6d5b30.jpg,https://icook.tw/recipes/245493
馬鈴薯鮭魚卷（胖胖魚壽司）,{海苔:2片}{鮭魚:半塊}{馬鈴薯:1顆}{小黃瓜:1條}{鹽:適量}{奶油:5克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/237015/large_722433d4c363a18d.jpg,https://icook.tw/recipes/237015
韓式辣雞飯捲,{飯:一兩碗}{泡菜:半碗}{香腸:2條}{起士:2片}{莫札瑞拉:2片}{超辣雞泡麵醬料包:1包}{壽司用海苔:2片},https://tokyo-kitchen.icook.network/uploads/recipe/cover/237269/large_c53052f067f31b38.jpg,https://icook.tw/recipes/237269
薑黃泡菜牛肉壽司卷,{白米:1杯}{薑黃粉:1匙}{壽司海苔:1片}{蘿蔓生菜:4片}{牛肉:100g}{泡菜:50g}{薑泥:1匙}{蒜泥:1 匙}{糖:1 匙}{醬油:2匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/234094/large_b4e0759466ab60da.jpg,https://icook.tw/recipes/234094
餐桌上的珠寶盒✨手毬寿司（壽司球）,{生魚片組合:適量}{米:1.5杯}{料理酒:1小匙}{昆布:1小片}{壽司醋:1大匙}{純米醋:100ml}{糖:2.5大匙}{鹽巴:0.5小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/222224/large_f8b3bed5e0a4731e.jpg,https://icook.tw/recipes/222224
海苔飯捲,{白飯:米杯2杯}{麻油:少許}{芝麻:少許}{海苔:一包}{蛋:2顆}{牛奶:一湯匙}{食鹽:少許}{水煮鮪魚罐頭:半罐}{沙拉:少許}{泡菜（愛之味）:半罐}{梅花豬肉:五片},https://tokyo-kitchen.icook.network/uploads/recipe/cover/219785/large_09f80ab6b6101ae0.jpg,https://icook.tw/recipes/219785
自製稻禾壽司,{炸豆腐:10塊}{白飯:2碗}{水:少許}{砂糖:1小杯}{鹽:少許}{醬油:1小杯}{白醋:1/2小杯},https://tokyo-kitchen.icook.network/uploads/recipe/cover/213901/large_b9afcf5ec7848339.jpg,https://icook.tw/recipes/213901
豆皮壽司,{市售豆皮:25個}{白飯:400g}{壽司醋:60cc}{黑芝麻:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/205894/large_8e00bbe83e1fc5ee.jpg,https://icook.tw/recipes/205894
肉鬆蛋壽司,{壽司用海苔:2大片}{白米:量米杯1杯}{白醋:60cc}{鹽:8.5克}{細砂糖:30克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/200366/large_a3014d21cc972cd9.jpg,https://icook.tw/recipes/200366
韓式紫菜包飯 김밥 Kimbap,{白米/糙米:一杯}{雞蛋:2個}{紅蘿蔔:1條}{火腿:適量}{青椒:半個}{露筍:5條}{壽司紫菜:1包}{鹽巴:1小匙}{麻油:2小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/194829/large_a04756278e35e44b.jpg,https://icook.tw/recipes/194829
壽司DIY,{白飯:4人份}{壽司醋:1大匙}{砂糖:1小匙}{海苔:8片}{小黃瓜切條狀:1條}{紅蘿蔔切條狀:1/2條}{肉鬆（或鮪魚）:適量}{蛋3顆（做玉子燒）:3顆}{味霖:1大匙}{醬油:1匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/183649/large_bf62e81cb65145a9.jpg,https://icook.tw/recipes/183649
