Cuisine,Ingredients,Image,Url
涼拌豆芽菜(影音),{綠豆芽:半斤}{蔥花:半根}{蒜末:5瓣}{辣椒:適量}{鹽:3/4小匙}{白砂糖:3大匙}{烏醋:2大匙}{花椒粉:1/2小匙}{香油:1.5大匙}{乾辣椒:適量}{蒜片:3瓣}{花椒粒:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/258856/large_b0e0f51bcadd7749.jpg,https://icook.tw/recipes/258856
涼拌西芹雪菇 豐富纖維助消化,{西洋芹:約6-7支}{雪白菇:1包}{辣椒圈(配色可略):適量}{鹽:約1/2至1小匙}{麻油(或香油):2小匙}{白胡椒:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/269452/large_222ce80355136faa.jpg,https://icook.tw/recipes/269452
【開胃前菜】麻辣涼拌手撕雞,{雞肉:200克}{香菜:適量}{蒜末:1大匙}{薑末:半大匙}{醬油:1大匙}{鎮江醋:3大匙}{麻油:1茶匙}{花椒油:適量}{麻辣醬(可省略）:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/268275/large_9e8dbc38ac303b02.jpg,https://icook.tw/recipes/268275
涼拌泰式雞絲柚子沙拉【柚子清爽料理】,{美蘿蔓生菜:350 克}{雞胸肉:300 克}{柚子肉:200 克}{小番茄:15~20 個}{檸檬汁:5 大匙}{魚露:2.5 大匙}{細砂糖:2.5 大匙}{辣椒:1 小匙}{蒜末:1 小匙}{香菜 (可省略):少許}{冰飲用水:適量}{水 (煮雞胸肉用):1500 毫升},https://tokyo-kitchen.icook.network/uploads/recipe/cover/269344/large_b6bf60426552997e.jpg,https://icook.tw/recipes/269344
泰式涼拌鮮蚵,{鮮蚵仔:1包}{太白粉:3大匙}{香菜(梗要多):2-3大株}{蒜頭:3顆}{辣椒:2根}{紅砂糖:3匙}{紫洋蔥:少許（可有可無}{淡口醬油:1.5匙}{魚露:0.5匙}{檸檬汁:半顆}{壽司醋:1匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/268006/large_b5a76f87167affad.jpg,https://icook.tw/recipes/268006
涼拌蒜辣小黃瓜,{小黃瓜:4根}{蒜頭:5-6顆}{辣椒:1根}{鹽:1小匙}{壽司醋:2匙}{紅砂糖:2-3匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/266949/large_291a23af7deeea0c.jpg,https://icook.tw/recipes/266949
麻辣雞絲,{帶骨雞胸肉:1 塊}{青蔥:5 根}{薑:1 大片}{米酒:少許}{醬油膏:1 大匙}{辣油:1 小匙}{楓糖/糖:1 小匙}{冷開水:1 小匙}{白醋(也可不加):1 點點}{麻油/香油:1 點點},https://tokyo-kitchen.icook.network/uploads/recipe/cover/266256/large_817a619dabfe3359.jpg,https://icook.tw/recipes/266256
泰式涼拌花枝涼拌透抽～低油低醣開胃涼拌菜,{花枝圈(透抽圈):150g}{香菜:3株}{洋蔥:半顆}{檸檬切薄片:1/2顆}{檸檬汁(汆燙花枝用):1/4顆}{泰式甜辣醬:2-3大匙}{魚露:1小匙}{檸檬汁:1/4顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/266079/large_06066fae8f72e377.jpg,https://icook.tw/recipes/266079
偷吃步涼拌小黃瓜,{小黃瓜:3條}{鹽:3匙}{砂糖:3大匙}{白醋（水果醋）:2大匙}{蒜泥:3瓣}{辣椒:1 條}{香油:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/265385/large_aadfd5ce39ef7b12.jpg,https://icook.tw/recipes/265385
低卡~秋葵雞胸卷,{雞胸肉:1片}{鹽:1/4匙}{秋葵:6根},https://tokyo-kitchen.icook.network/uploads/recipe/cover/265131/large_89ba79bfd95482a4.jpg,https://icook.tw/recipes/265131
