Cuisine,Ingredients,Image,Url
南瓜濃湯+南瓜燉飯＝清冰箱料理,{南瓜:半顆}{牛奶:200ml}{鮮奶油:30ml}{蘑菇:5朵}{洋蔥:半顆}{起司片:1片}{蒜頭:1顆}{月桂葉:2片}{鹽:5克}{橄欖油:10克}{南瓜:半顆}{蘑菇:5朵}{洋蔥:半顆}{高湯:200ml}{火腿:4片}{白飯:2碗}{蒜頭:1顆}{起司絲:50克}{橄欖油:10克}{黑胡椒:5克}{鹽:5克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/279516/large_2b6ed2e7a81d08c8.jpg,https://icook.tw/recipes/279516
麻油雞湯鍋,{大雞腿切塊:1隻半}{薑片:約40～50g}{蔬菜油:2小匙}{黑麻油:3～5大匙}{水:1000cc}{米酒:1米杯}{大白菜:約250g}{火鍋豆皮:約60g}{枸杞:1大匙}{鹽:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/279504/large_ba552ad585f2be07.jpg,https://icook.tw/recipes/279504
栗子蘿蔔雞湯,{土雞肉(切塊):600-700g}{白蘿蔔:500-600g}{栗子:250g}{老薑:8片}{水(約):1800cc}{枸杞:1大匙}{鹽:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278884/large_75032b1b5d48a732.jpg,https://icook.tw/recipes/278884
白蘿蔔燉牛肉湯,{白蘿蔔:1/4條}{紅蘿蔔:1/3條}{蕃茄:半顆}{香菇:3朵}{牛肉:1塊}{蔥:2支}{薑:4片}{油:10ml}{醬油:1湯匙}{鹽:酌量}{米酒:半杯}{水:3碗}{香菇水:1碗},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276501/large_b4255507e51b0ae3.jpg,https://icook.tw/recipes/276501
金華火腿燉白菜雞湯【古早味】,{切塊雞肉:1/2隻}{雞腳:10支}{金華火腿:60克}{結球白菜:1顆}{薑片:3～5片}{米酒:10CC}{海鹽:酌量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/268647/large_242587a755b7039c.jpg,https://icook.tw/recipes/268647
蒜頭蛤蜊雞湯,{土雞腿:1大隻}{蛤蜊:20顆}{蒜頭:15瓣}{水:2200cc}{葵花油:適量}{米酒:少許}{鹽:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/274488/large_7528636a85e20d65.jpg,https://icook.tw/recipes/274488
豬肉味噌湯,{豬肉:100g}{紅蘿蔔:1根}{洋蔥:半顆}{馬鈴薯:1顆}{胡椒鹽:少許}{味增:5大匙}{高湯:1000ml}{水:1000ml}{烹大師鰹魚粉:2茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/274973/large_fa580a825f96a752.jpg,https://icook.tw/recipes/274973
《電鍋料理》蓮藕燉雞湯,{蓮藕:2枝}{雞肉:6塊}{魷魚:半條}{薑片:6片}{水:800C.C}{米酒:適量}{鹽:1小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/273288/large_2a1a89862d99a247.jpg,https://icook.tw/recipes/273288
簡易麻油雞湯,{雞:半隻}{老薑:適量}{米酒:2米杯}{鹽:少許}{麻油:3大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/273424/large_95010e1b6ffef3bf.jpg,https://icook.tw/recipes/273424
清燉牛肉湯（電子壓力鍋）,{牛楠(Brisket):1614克}{薑片:2片}{青蔥:2把}{八角:2個}{小紅蘿蔔:20-30根}{花椒粒（三隻手指抓起的份量）:一小把}{胡椒粒（三隻手指抓起的份量）:一小把}{月桂葉:2片}{洋蔥:1顆}{鹽巴:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/272662/large_8b364e5cd9ed228d.jpg,https://icook.tw/recipes/272662
零廚藝第一次做菜就上手｜詹姆士愛女蔥雞湯,{帶皮雞腿:2支}{蔥:1把}{鹽:適量}{白胡椒粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/269534/large_6a1805e77cdec83c.jpg,https://icook.tw/recipes/269534
超暖、簡易電鍋版~新加坡肉骨茶,{豬小排:530克}{新加坡肉骨茶香料包:1包}{蒜頭:4~5顆}{白胡椒粉:1/4茶匙或少許}{鹽巴:酌量}{高鮮味素:酌量或不加}{水:約6~8碗水},https://tokyo-kitchen.icook.network/uploads/recipe/cover/272233/large_e9788e824306e6c1.jpg,https://icook.tw/recipes/272233
清燉牛肉湯~單純的美味,{牛腱肉:2斤(約1200g)}{洋蔥:1個}{白蘿蔔:1條}{生薑:數片}{青蔥:2-3根}{八角:2個}{白胡椒粒:適量}{花椒粒:適量}{月桂葉:2片},https://tokyo-kitchen.icook.network/uploads/recipe/cover/272128/large_a74d12326bbba524.jpg,https://icook.tw/recipes/272128
