Cuisine,Ingredients,Image,Url
輕鬆作宴客菜''茶香豬肉滷味'',{豬後腿肉:600G}{紅茶包:6個}{水:7米杯}{豆干、花干、白煮蛋:適量}{醬油:1米杯}{味醂:1/2米杯}{砂糖:1/4米杯}{醋:2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/107905/large_512e515ff2c74118.jpg,https://icook.tw/recipes/107905
滷牛腱,{牛腱肉:2大條}{蔥:一把}{薑:適量}{辣椒:4-5根}{蒜頭:5顆}{冰糖:1大匙}{醬油:3 大匙}{白胡椒粉:2茶匙}{八角.花椒:適量}{肉寇.草果:適量}{胡椒粒 .桂皮:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276305/large_81f1a429e479e31a.jpg,https://icook.tw/recipes/276305
滷豆干,{薄豆干:600g}{蒜頭:6瓣}{辣椒:1個}{家樂福嚴選宜蘭三星蔥:2枝}{水:100ml}{鹽(事前煮豆干用):1茶匙}{曰式鏗魚醬油:6大匙}{米酒:3大匙}{砂糖:1大匙}{白胡椒:1/8匙}{五香粉:1/8匙}{香油:1茶匙}{甘草片:3片}{八角:3個}{桂皮:6g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/274764/large_56ecdcf247097e2d.jpg,https://icook.tw/recipes/274764
香辣滷牛腱【開胃下酒菜】【年菜常備菜】,{牛腱:2 顆}{醬油:180 毫升}{米酒:120 毫升}{蔥:2~3 根}{辣椒:2 根}{辣豆瓣醬:4 大匙}{糖:4 大匙}{市售滷包:1 包}{水:1700 毫升},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271349/large_6185effa75aeeadf.jpg,https://icook.tw/recipes/271349
無水滷五香豆干,{豆干:4斤}{沙拉油:1000cc}{醬油:500cc}{八角:6顆}{月桂葉:3片}{乾辣椒:10根}{冰糖:一小飯碗}{黑糖:3大匙}{五香粉:少許}{麥芽:一大匙}{話梅:6顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/265549/large_154794c48307683f.jpg,https://icook.tw/recipes/265549
滷豆乾小食,{白豆乾:1斤}{葵花油:飯碗8分滿}{醬油:飯碗8分滿}{二號砂糖:飯碗8分滿}{紅辣椒:1條}{八角:2個}{花椒粒:1匙}{五香粉:少許}{蒜頭:3瓣},https://tokyo-kitchen.icook.network/uploads/recipe/cover/264660/large_ec0e20bb8202a935.jpg,https://icook.tw/recipes/264660
不油膩假滷味,{喜愛的青菜:多樣}{喜愛的食材或火鍋料:多樣}{冬粉或麵條:一份}{蒜末:適量}{蔥花或香菜:適量}{辣椒末（可不加）:適量}{甘甜醬油:2匙（喝湯用）}{沙茶（不含油）:1小匙}{味醂:少許}{開水:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/264409/large_a59c516db4d9eb5e.jpg,https://icook.tw/recipes/264409
香滷豆干～是零嘴也是下酒菜,{五香豆干:15個}{食用油:半碗}{醬油:半碗}{醬油膏:一大匙}{冰糖:一大匙}{花椒粒:一匙}{八角:4~5粒}{月桂葉:1~2片}{蒜粒:4~5顆}{薑片:4~5片}{大辣椒:1根},https://tokyo-kitchen.icook.network/uploads/recipe/cover/259708/large_ac4cf0370e08a5d2.jpg,https://icook.tw/recipes/259708
麻辣十三香滷牛腱,{牛腱心:4顆}{青蔥:3-4把}{蒜頭:5-6顆}{薑片:3-4片}{乾辣椒:6-7根}{紹興酒:適量}{麻辣火鍋底料(醬):2大匙}{豆瓣醬:2大匙}{冰糖:適量}{醬油:適量}{花椒:1小匙}{洋蔥:半顆}{八角:2顆}{小茴香:2小匙}{孜然粒:1小匙}{桂皮(肉桂):1小塊}{丁香:2顆}{陳皮或甘草:1片}{白胡椒粒:1小匙}{草果:1顆}{花椒粒:1大匙}{香葉(月桂葉):2片},https://tokyo-kitchen.icook.network/uploads/recipe/cover/263157/large_530c3efa4aba7100.jpg,https://icook.tw/recipes/263157
下酒涼拌豆乾,{豆乾（切小塊）:300g}{辣椒（去籽切末）:1根}{香菜（切小段）:4~5支}{蒜頭（切末）:３辦}{香油:1大匙}{醬油膏:1大匙}{辣豆瓣醬:1大匙}{麻辣醬:1小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/252147/large_f1a8fd85455f47ff.jpg,https://icook.tw/recipes/252147
海帶滷翅腿〞電鍋滷味,{翅腿:8支}{海帶結:300g}{醬油:3大匙}{水:350cc}{白味噌:10g}{五香粉/花椒粉:各1/4小匙}{薑:數片},https://tokyo-kitchen.icook.network/uploads/recipe/cover/249404/large_7e3e5efc7a9edb96.jpg,https://icook.tw/recipes/249404
簡單三步驟 - 醬滷豆干、鳥蛋,{鳥蛋:3斤}{豆干:1斤}{甘草:2-3片}{黑糖:3量杯}{二砂糖:1量杯}{冰糖:半量杯}{水:半量杯}{萬家香壺底油:1量杯}{統一四季醬油:2量杯}{水:6量杯},https://tokyo-kitchen.icook.network/uploads/recipe/cover/248697/large_96bc40e03e937666.jpg,https://icook.tw/recipes/248697
