Cuisine,Ingredients,Image,Url
蘿蔔滷肉,{豬五花:600g}{白蘿蔔:200g}{紅蘿蔔:100g}{蒜頭:5瓣}{醬油:5大匙}{紅冰糖:10g}{水:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277180/large_f5427f7c5c76d479.jpg,https://icook.tw/recipes/277180
不用滷包的滷肉,{豬五花肉:2條}{蒜頭:5顆}{雞蛋:10顆}{八角:8顆}{青蔥:2根}{醬油:300ml}{細砂糖:30克}{白胡椒粉:5克（依口味調整）},https://tokyo-kitchen.icook.network/uploads/recipe/cover/268961/large_af90f6d39f7c97cb.jpg,https://icook.tw/recipes/268961
魯肉飯,{五花肉:1000g}{絞肉:800g}{紅蔥頭（油炸）（紅蔥頭酥:5顆}{紅蔥頭:2顆}{洋蔥:一顆}{香菇:10顆}{蒜頭:1整顆}{蛋:5顆}{白胡椒粉:適量}{五香粉:適量}{蜂蜜:3匙}{冰糖:適量}{醬油:一碗},https://tokyo-kitchen.icook.network/uploads/recipe/cover/263774/large_6f976902fd431919.jpg,https://icook.tw/recipes/263774
魯肉燥,{豬絞肉:1000g}{水煮蛋:12顆}{蒜頭:隨意}{紅蔥頭:隨意}{八角:2~4顆}{蔥段:隨意}{醬油:200cc}{熱水:750cc}{冰糖:50g}{白胡椒粉:少許}{油:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/262346/large_4a3e0f0d750c0a23.jpg,https://icook.tw/recipes/262346
蘿蔔滷肉（清爽不油膩的滷五花肉）,{紅蘿蔔:2根}{薑:一小塊}{蔥:2支}{五花肉:一塊（約250g)}{豆皮:4片}{水:1000cc}{醬油:5大匙}{米酒:2大匙}{糖（冰糖或砂糖都可以）:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/256167/large_9e7c478c652ff02f.jpg,https://icook.tw/recipes/256167
香滷牛肉,{牛腱:1~2顆}{蒜頭:1大顆}{薑小塊:5公分}{滷包:1}{青葱:3支}{醬油:50-70cc}{58高梁酒:50-60cc}{月桂葉:2片}{八角:3粒},https://tokyo-kitchen.icook.network/uploads/recipe/cover/250455/large_6e45ec8ff74efe69.jpg,https://icook.tw/recipes/250455
一次完成（五香滷肉+肉燥）,{梅花肉:300克}{絞肉:300克}{青蔥:2枝}{蒜頭:數瓣}{兩種醬油:各2匙}{醬油膏:2匙}{砂糖:2匙}{五香粉:適量}{白胡椒粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/248931/large_700feb7e5be047b7.jpg,https://icook.tw/recipes/248931
香滷牛腱「鍋寶壓力鍋」,{牛腱:1條}{滷包:1個}{蔥:2根}{辣椒:1根}{蒜頭:7顆}{薑片:6片}{醬油:量杯2杯}{米酒:量杯1/4杯}{水:量杯6杯}{糖:1匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/248167/large_e83e1f40457eae43.jpg,https://icook.tw/recipes/248167
㊙️滷牛腱【電鍋版】,{牛腱心:2副}{蘋果帶皮:1/3顆}{蔥:1支}{蒜頭:6瓣}{小辣椒:1支}{市售滷包:1包}{月桂葉:2～3片}{薑片:3片}{乾香菇:6～8朵}{幼齒滷汁(上一次的滷汁):1/2碗}{柴燒醬油:100CC}{紹興酒:30CC}{米酒:30CC}{水:500CC}{冰糖:2.5大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/247888/large_5b9850703614a7b8.jpg,https://icook.tw/recipes/247888
紅燒牛腩,{紅蘿蔔:350g}{洋葱:250g}{牛肋條:520g}{葱:1根}{辣椒:1根}{薑:數片}{八角:1個}{辣豆瓣醬:2大匙}{醬油:3大匙}{糖:1大匙}{米酒:1大匙}{水:蓋過食材為準},https://tokyo-kitchen.icook.network/uploads/recipe/cover/247661/large_aa9921493ed2fd0a.jpg,https://icook.tw/recipes/247661
