Cuisine,Ingredients,Image,Url
酥炸椒鹽板豆腐,{板豆腐:2塊}{蒜末:5-6顆}{蔥末:2棵}{辣椒:少許}{胡椒鹽:適量}{七味粉:少許（可無）},https://tokyo-kitchen.icook.network/uploads/recipe/cover/219357/large_5d110b9f980d7eac.jpg,https://icook.tw/recipes/219357
三步驟料理鹽酥雞,{雞胸:1副}{地瓜粉:適量}{醬油:1大匙}{蠔油:1大匙}{米酒:1大匙}{白砂糖:1/2大匙}{五香粉:1/4茶匙}{蔥:1支}{薑:3片}{蒜:2瓣},https://tokyo-kitchen.icook.network/uploads/recipe/cover/114964/large_452adf446caa9b8c.jpg,https://icook.tw/recipes/114964
日式炸豬排,{豬肉:4片}{蛋:2個}{低筋麵粉:適量}{麵包粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/281224/large_1e6051c22aa1e404.jpg,https://icook.tw/recipes/281224
水牛城炸雞,{雞翅、小棒腿:適量}{低筋麵粉:少許}{紅椒粉:少許}{甜辣醬:100g}{奶油:50g}{細砂糖:少許}{鹽巴:少許}{紅椒粉:少許}{黑胡椒:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277908/large_b9773a22688358bb.jpg,https://icook.tw/recipes/277908
蒜香雞塊,{雞胸肉:1付(330g)}{日清炸粉（醬油蒜頭風味）:0.5包}{水:50cc},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271161/large_a895ed73ee8f8cbc.jpg,https://icook.tw/recipes/271161
炸魚餅,{虱目魚肉:427g}{竹筍(去殼）:125g}{麵麩:10粒}{牛奶:80cc}{中型蛋:1個}{麵粉:2大匙}{鹽、胡椒:適量}{七味粉或辣椒粉:適量}{綜合乾燥香草:1小匙}{麵粉:2大匙}{蛋:1個}{麵包粉:4大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/269869/large_6c39ec0bfdbe94d2.jpg,https://icook.tw/recipes/269869
香檸優格炸雞,{去骨雞腿肉:600克}{蒜泥:1/2大匙}{薑泥:一小匙}{檸檬皮:一顆}{檸檬汁:一大匙}{台式醬油:一大匙}{日式昆布醬油:一大匙}{米酒:一大匙}{味霖:一大匙}{無糖希臘優格(後加):兩大匙}{太白粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/269709/large_b7dd85a7b44271b7.jpg,https://icook.tw/recipes/269709
台式鹹酥雞,{雞胸肉:2塊}{淡口醬油:1匙}{米酒:半瓶蓋}{白胡椒粉:適量}{五香粉:適量}{鹽酥雞粉:適量}{辣椒粉:依喜愛}{蛋液:半顆}{炸排粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/267985/large_f998334203e3d121.jpg,https://icook.tw/recipes/267985
起司豬排,{梅花火鍋豬肉片:30片}{切達起司:5-6片}{麵粉:適量}{蛋:2顆}{麵包粉:適量}{炸油:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/265378/large_fbc88196a31f6d9b.jpg,https://icook.tw/recipes/265378
韓式辣醬炸雞,{雞（切成8-10件左右）:1/2 隻}{牛奶:300 毫升}{鹽:1/2 茶匙}{油:900 毫升}{韓式辣醬:1.5 湯匙}{醬油:1 湯匙}{蒜末:1 湯匙}{洋蔥（切碎）:1 湯匙}{粟米糖漿:1 湯匙}{糖:1 湯匙}{黑胡椒粉:1 茶匙}{水:3 湯匙}{麵粉:120 克}{粟粉:1 湯匙}{雞蛋:1 隻}{花生碎或杏仁粒（可略）:1 湯匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/264110/large_34cd3aa95b15b723.jpg,https://icook.tw/recipes/264110
