Cuisine,Ingredients,Image,Url
蒜香蜜汁烤雞翅,{雞翅:3付}{蒜頭:5-6瓣}{米酒:1小匙}{醬油:1大匙}{麥芽糖:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/216486/large_d061e60424b0bef6.jpg,https://icook.tw/recipes/216486
綜合雞肉串燒,{去骨雞腿:4片}{起士明太子醬:適量}{蔥白:適量}{檸檬:適量}{七味唐辛子粉:適量}{米酒或清酒:1大匙}{海鹽:1大匙}{醬油膏:2大匙}{米酒或清酒:2大匙}{味醂:1大匙}{水果醋:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/170303/large_28d9a38500634e51.jpg,https://icook.tw/recipes/170303
燒烤味增秋葵透抽捲,{透抽:1尾}{黃秋葵:6個}{味增燒烤醬:適量}{白芝麻:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/169048/large_ab1125dcb9413c31.jpg,https://icook.tw/recipes/169048
沙嗲烤雞肉串,{雞肉:600克}{沙嗲醬:1小匙}{醬油:1小匙}{糖:1小匙}{香油:1大匙}{白胡椒粉:少許}{奶油:25克}{蒜末:1小匙}{沙嗲醬:1大匙}{花生醬:2小匙}{豆瓣醬（可省略）:1小匙}{糖:1大匙}{水:120毫升}{椰漿:120毫升},https://tokyo-kitchen.icook.network/uploads/recipe/cover/155271/large_0e424d85d9b02710.jpg,https://icook.tw/recipes/155271
辣烤魷魚,{魷魚:2尾},https://tokyo-kitchen.icook.network/uploads/recipe/cover/143959/large_db8cb61cf53e7619.jpg,https://icook.tw/recipes/143959
口感絕佳的蔬菜牛肉捲,{牛肉片:10~12片}{小黃瓜:一條}{紅蘿蔔:半條}{玉米筍:一盒}{金針菇:半包}{蔥:一把}{壽喜燒醬:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/99030/large_837df5f7278a3639.jpg,https://icook.tw/recipes/99030
甜柿烤肉串,{火鍋白肉片:6-7 片}{甜柿:1 顆}{百里香:適量}{鹽:適量}{黑胡椒:適量}{太白粉:少許}{油:1 茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/90086/large_25b187b33cf979f0.jpg,https://icook.tw/recipes/90086
鳳梨串燒雞,{新鮮鳳梨:1/4顆}{去骨雞腿:2-3隻}{]醬油:1大匙}{]素蠔油:1大匙}{]米酒:1大匙}{]味霖:1大匙}{]鳳梨切小丁:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/32942/large_ca594ffda2968a34.jpg,https://icook.tw/recipes/32942
芥末果醬烤肉串,{紅蘿蔔:1/2條}{小黃瓜:1條}{洋蔥:1/2個}{青椒:1個}{玉米筍:數根}{里肌肉片:3片}{德式香腸:2條}{醬油:2大匙}{紅酒醋:1大匙}{黃色芥末醬:1大匙}{草莓果醬:1大匙}{黑胡椒:適量}{薑粉:適量}{百里香:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/28468/large_21224d03754778e9.jpg,https://icook.tw/recipes/28468
烤彩椒雞肉串,{去骨雞腿肉:2片}{紅椒:半顆}{黃椒:半顆}{小番茄:5顆}{醬油:3大匙}{蒜末:1大匙}{洋蔥末:1大匙}{味霖:1大匙}{糖:1大匙}{水:2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/268992/large_74d64eff48b2e97f.jpg,https://icook.tw/recipes/268992
柚子烤肉醃醬【中秋節料理】【健康無負擔】,{柚子汁 (或柚子泥):8 大匙}{醬油:2 大匙}{糖 (或蜂蜜):2 小匙}{蒜末:2 小匙}{烏醋:1/2 小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/268495/large_f9388929feb48c32.jpg,https://icook.tw/recipes/268495
