Cuisine,Ingredients,Image,Url
咖哩雞肉烤飯,{白飯:2-3碗}{洋蔥(切碎):1/4個}{雞肉:250克}{磨菇:200克}{日式咖哩磚:1塊}{起司碎:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/226795/large_4387ba2b4e806edb.jpg,https://icook.tw/recipes/226795
焗烤香腸飯,{隔夜飯:1又1/2碗}{德國香腸:1條}{洋菇:2朵}{洋蔥:1/5顆}{綠花椰菜:20g}{乳酪絲:40g}{起司:20g}{無鹽奶油:少許}{黑胡椒:少許}{鹽:1小匙}{蕃茄醬:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/57173/large_ba86f06910b38d1a.jpg,https://icook.tw/recipes/57173
不用麵粉的披薩,{花椰菜:1顆}{臘腸:3片}{鳳梨:1片}{火腿:3片}{蘑菇:適量}{小番茄:適量}{雞蛋:1顆}{莫札瑞拉起司絲:70克}{義式番茄醬:1大匙}{鹽巴:1/2茶匙}{黑胡椒:1/2茶匙}{起司片:3片}{起司粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276730/large_ae517d063617da67.jpg,https://icook.tw/recipes/276730
蒜泥奶油起司烤龍蝦,{龍蝦（共約900g):2尾}{無鹽奶油:30g}{蒜頭:5瓣}{鹽:1/2茶匙}{黑胡椒粉:少許}{起司片:3片}{檸檬:1/2顆}{甜椒（紅、黃、綠）:各半顆}{小洋蔥:1顆}{青豆仁:15g}{鹽:1/3茶匙}{黑胡椒粉:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/248840/large_acd58084fd882755.jpg,https://icook.tw/recipes/248840
【影片】芝士烤豬排飯 【老娘的草根飯堂】,{冷飯 （看你飯量）:1.5飯碗}{蛋 （炒飯用）:2隻}{鹽  （炒飯用）:半小匙}{豬扒:1塊}{洋蔥:半個}{蕃茄:2個}{茄膏 （醬汁用）:1大匙}{糖 （醬汁用）:2小匙}{鹽 （醬汁用）:半小匙}{水  （醬汁用）:3大匙}{麵粉  （麵粉水用）:1大匙}{水  （麵粉水用）:2大匙}{蛋 （炸豬扒用）:1隻}{麵粉 （炸豬扒用）:小半碗}{麵包糠:小半碗}{芝士碎:隨喜},https://tokyo-kitchen.icook.network/uploads/recipe/cover/247810/large_2aaea1f145c142c6.jpg,https://icook.tw/recipes/247810
大人小孩都愛吃《焗烤馬鈴薯泥》零失敗料理,{馬鈴薯:2顆}{紅蘿蔔:1/4顆}{洋蔥:1/4顆}{雞蛋:1顆}{起士:適量}{鹽巴:適量}{黑胡椒:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/245523/large_40903aa24eaba1dd.jpg,https://icook.tw/recipes/245523
油漬番茄Mozzarella雞肉焗烤麵,{筆尖麵:220g}{蒜頭(切末):3~6瓣}{小顆洋蔥(切丁):1/2顆}{雞胸肉(用少許鹽巴抓醃一下):90g(約半副雞胸}{義大利麵醬(番茄口味):150~300ml}{油漬番茄乾(油濾掉.可切小塊:隨意}{Mozzarella起司(切條:1~2球}{帕馬森起司(刨屑):1/3米杯}{鹽巴:適量}{黑胡椒:適量}{新鮮巴西里(裝飾用):適量(可省略)},https://tokyo-kitchen.icook.network/uploads/recipe/cover/237351/large_b7ba4adbf65c90d4.jpg,https://icook.tw/recipes/237351
焗烤花椰菜雞絲（影片）,{雞胸肉:一片}{花椰菜:100公克}{刨絲起司:60公克}{雞蛋:1顆}{牛奶:50c.c.}{鹽:少許}{黑胡椒:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/243796/large_2436cc715a5b125e.jpg,https://icook.tw/recipes/243796
焗烤奶油螺旋麵🧀,{螺旋麵/通心粉:一包}{雞胸肉:兩塊切丁}{干貝:四顆}{蟹味棒:6條}{洋蔥:半顆}{蘑菇:10朵}{毛豆:一碗}{紅蘿蔔:一條切塊}{玉米筍:8條切絲}{蒜末:6顆}{無鹽奶油:半塊}{麵粉:一杯}{牛奶:一杯}{鹽:適量}{黑胡椒:適量}{市售起士白醬:一罐}{乳酪絲:依個人喜好},https://tokyo-kitchen.icook.network/uploads/recipe/cover/243621/large_4aea858078ef5174.jpg,https://icook.tw/recipes/243621
焗烤雞排千層麵,{無骨雞腿排:２片}{免煮千層麵:２片}{洋蔥（切絲）:1/4顆}{紅彩椒（切絲）:1/4顆}{黃彩（切絲）:1/4顆}{起士絲:１００g}{市售紅醬:４大匙}{番茄醬:１大匙}{糖:１小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/242999/large_ad533f42fdf12fc1.jpg,https://icook.tw/recipes/242999
