Cuisine,Ingredients,Image,Url
《韓國中秋食譜》 芝麻葉煎餅 깻잎전,{芝麻葉（用剪刀剪去葉莖）:30 片}{豬絞肉:160 克}{洋葱:1/4 個}{甘筍（大約40克）:1/4 條}{京葱（大約25克）:1/4 條}{豆腐:150 克}{乾冬菇（先用熱水浸軟）:6 隻}{乾木耳（用熱水浸軟）:4 隻}{韮菜:70 克}{紅辣椒（裝飾用）:1 隻}{雞蛋:3 隻}{麵粉大約:5 湯匙}{糖:1 茶匙}{鹽:1/4 茶匙}{醬油:1 茶匙}{麻油:1 茶匙}{煮食酒:1 茶匙}{芝蔴:1 湯匙}{麻油:1/2 湯匙}{糖:1 茶匙}{醬油:1 湯匙}{蒜末:1 茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/267064/large_f7e2f900ecdb9b9d.jpg,https://icook.tw/recipes/267064
南瓜煎餅,{南瓜絲:180g}{小黃瓜絲:30g}{火腿絲:30g}{蔥末:少許}{芹菜末:少許}{中筋麵粉:100g}{太白粉:5g}{水:100ml}{塩:1匙}{白胡椒粉:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/261837/large_a61247ac982d7899.jpg,https://icook.tw/recipes/261837
絲絲入扣乳酪餅,,https://tokyo-kitchen.icook.network/uploads/recipe/cover/252914/large_fb01f879570f4cd9.jpg,https://icook.tw/recipes/252914
絲瓜吻仔魚煎餅,,https://tokyo-kitchen.icook.network/uploads/recipe/cover/252707/large_faed962eb4affc7d.jpg,https://icook.tw/recipes/252707
韓式泡菜煎餅❤️兩種材料成就不簡單的美味,{泡菜:3湯匙}{中筋麵粉:5湯匙}{飲用水:適量}{鹽巴:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/250687/large_6ceea2098f17cc19.jpg,https://icook.tw/recipes/250687
綠豆煎餅 綠豆海鮮煎餅 綠豆湯加工,{綠豆湯:幾匙}{蝦皮:適量}{胡椒:少許}{薑粉:少許}{中筋麵粉:幾匙}{全麥麵粉:幾匙}{鹽:少許}{全蛋:１顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/250541/large_3f4c2ae0df77a1c1.jpg,https://icook.tw/recipes/250541
泡菜煎餅,{韓式泡菜:250g}{蔥:1根}{鮪魚罐頭:1罐}{雞蛋:2顆}{中筋麵粉:150g}{泡菜汁:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/250104/large_9e8395140da7fc7f.jpg,https://icook.tw/recipes/250104
紅蘿蔔起司煎餅＿護眼早餐,{洋蔥:半顆}{紅蘿蔔:1根}{起司絲:40g}{鹽和黑胡椒:適量}{麵粉:150g}{泡打粉:1小匙}{砂糖:1小匙}{雞蛋:1顆}{牛奶:180ml},https://tokyo-kitchen.icook.network/uploads/recipe/cover/244434/large_2d00f62fb90aa259.jpg,https://icook.tw/recipes/244434
紅蘿蔔青豆蛋餅＊大人小孩沒法抗拒＊,{紅蘿蔔:314克}{冷凍青豆:100克}{高筋粉:80克}{低筋粉:20克}{太白粉:35克}{蛋:1顆}{室溫水:160 cc}{胡椒粉:少許}{鹽:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/247905/large_b7e51c175077dc97.jpg,https://icook.tw/recipes/247905
韓式肉片煎餅 (露營OK),{韭菜 (切3公分段):50g}{洋蔥 (切絲):50g}{薄肉片 (切小片):50g}{蛋:1個}{水:100cc}{鹽:3g}{低筋麵粉:60g}{片栗粉或太白粉:40g}{醬油:1大匙}{醋 (自行調整酸度):1/2 大匙}{砂糖、辣椒醬、香油:各1/2 小匙}{白芝麻:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/247559/large_ccadd4478c176d96.jpg,https://icook.tw/recipes/247559
芋頭煎餅,{芋頭:１斤}{糖:６０g}{白芝麻:１大匙}{米酒:１大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/247295/large_71613df2e2f0dc4b.jpg,https://icook.tw/recipes/247295
韓式牡犡煎餅 굴전,{牡犡 （大約9隻）:230克}{麵粉:100克}{雞蛋，打發好:3隻}{葱，切粒:4條}{紅辣椒切粒（可略）:1條}{醬油:1湯匙}{水:1湯匙}{白醋:1茶匙}{糖:1/2茶匙}{黑椒:少許}{紅椒粉:¼茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/247056/large_d1864a4fb9a63016.jpg,https://icook.tw/recipes/247056
鮪魚蔬菜煎餅,{鮪魚罐頭:一罐}{高麗菜丁:一大碗}{韭菜丁:一大碗}{紅蘿蔔絲:適量}{櫻花蝦:3大匙}{鹽巴:適量}{胡椒粉:適量}{蔥花:少許}{低筋麵粉:2杯}{開水:2杯}{雞蛋:2顆}{植物油:2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/246962/large_9bf2ba1d95dc45e5.jpg,https://icook.tw/recipes/246962
［一人開飯］韓式鮪魚煎餅,{鮪魚罐頭（有玉米）:1罐}{蔥:2條}{紅蘿蔔:1/3條}{洋蔥:1/3顆}{綠/紅大辣椒:各1條}{鹽巴:適量}{韓式煎餅粉:5湯匙}{韓式香油:滴三下}{醬油:3匙}{糖:1/2匙}{醋:1/3匙}{香油:滴一下},https://tokyo-kitchen.icook.network/uploads/recipe/cover/246874/large_f725bf822fde15e3.jpg,https://icook.tw/recipes/246874
