Cuisine,Ingredients,Image,Url
金沙豆腐（無蛋純素）,{木棉豆腐:1盒（約400公克）}{紅蘿蔔（小條）:約3分之1條}{白蘿蔔（小條）:約3分之1條}{醬油:2小匙}{料理酒（可省）:2小匙}{蜂蜜:2小匙}{低筋麵粉（煎豆腐用）:適量}{沙拉油（煎豆腐用）:2大匙}{香草葉（裝飾用）:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/91111/large_5e26217c895fddae.jpg,https://icook.tw/recipes/91111
黃金菠菜蛋捲,{菠菜:150g}{海苔片:2片}{雞蛋:2顆}{鹽巴:1/6茶匙}{玉米粉水:1茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275463/large_18c4cc1732880138.jpg,https://icook.tw/recipes/275463
韓式炒年糕（素食，無麩質）,{年糕:1包}{青椒:1個}{香菇:3個}{培根🥓（素食者可不用）:2條}{魚乾（素食者可不用）:5條}{柴魚片（素食者可不用）:3湯匙}{泡菜:半碗}{薑:1片}{蒜頭:2瓣}{小辣椒🌶️:1條}{蔥:1根}{韓式辣醬:1湯匙}{鹽:1茶匙}{醬油:2湯匙}{糖:1茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/273033/large_bccc2686318f7551.jpg,https://icook.tw/recipes/273033
麻辣蕃茄豆腐鍋~五辛素,{牛番茄:3顆}{板豆腐一大塊:400g}{草菇(或自己喜歡的任何菇):1杯}{蔥:3支}{油:1大匙}{大蒜:3粒}{水或高湯:500ml}{麻辣烤肉醬或辣油辣椒醬:1.5-2大匙}{醬油:1.5大匙}{烏醋(今天放紅酒醋):3大匙}{砂糖:1小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/272725/large_9b65c1c0f79f5146.jpg,https://icook.tw/recipes/272725
金沙茭白筍,{茭白筍:6支}{鹹蛋:2顆}{蒜末:2瓣}{辣椒末:1根}{蔥花:少許}{植物油:適量}{糖:1茶匙}{水:2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/265848/large_3a91d3edf93aac31.jpg,https://icook.tw/recipes/265848
絲瓜燴杏菇,{絲瓜:1條}{杏鮑菇:2根}{薑:1小塊}{鹽巴:1小匙}{枸杞:1小把}{食用油:1小匙}{水:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270613/large_802d7762cf2cbeee.jpg,https://icook.tw/recipes/270613
秋葵炒蛋,{秋葵:6根}{雞蛋:3顆}{鹽巴:1/2小匙}{胡椒粉:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271356/large_8f97162f0697f8f8.jpg,https://icook.tw/recipes/271356
新鮮野菜糕,{大白菜(3-4片）:200g}{四季豆:12根}{杏鮑菇:150g}{彩椒（紅、黃）:各1/2顆}{紅酒醋:適量}{洋菜粉:3g}{素高湯:450ml}{鹽、胡椒:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271098/large_c1cf7ab9dd5e4836.jpg,https://icook.tw/recipes/271098
紫米芋頭紅豆湯,{紅豆:210g}{芋頭:1.1Kg}{紫米:100g}{糖:5大匙}{鹽:1/4匙}{水:3L}{椰奶:400ml},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270910/large_cf31fff0af4df27d.jpg,https://icook.tw/recipes/270910
蔬菜豆腐烘蛋,{全蛋液:4顆份}{嫩豆腐:150g}{鴻禧菇:30g}{豌豆仁:30g}{紅蘿蔔:20g}{日式醬油:1茶匙}{味醂:1大匙}{日式醬油:2茶匙}{味醂:2茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270565/large_0c32bea76a0cdf22.jpg,https://icook.tw/recipes/270565
