Cuisine,Ingredients,Image,Url
韓式泡菜,{山東大白菜:約1800~1900g}{蔥（or大蔥):75g}{韭菜:75g}{白蘿蔔:150g}{紅蘿蔔:75g}{蒜泥:75g}{薑泥:25g}{韓國辣椒粉:50~60g}{魚露:約80ml}{細海鹽:約1大匙}{糖:約3大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/66576/large_7f4a92cd17a90d29.jpg,https://icook.tw/recipes/66576
常備菜：醋漬蘿蔔絲,{白蘿蔔絲：:150 g}{紅蘿蔔絲：:30 g}{糯米醋：:50 c.c.}{糖：:6 小匙}{鹽：:0.5 小匙}{橙皮（可省略）：:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/279734/large_e5c96ec88cda99b1.jpg,https://icook.tw/recipes/279734
涼拌小黃瓜（快速不沾手）,{小黃瓜:1條}{蒜:4瓣}{薑:4片}{辣椒(大條的）:半條}{鹽:2小匙}{醋:1小匙}{糖:1小匙}{香油:2小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/279536/large_76a4b2d6d91c9408.jpg,https://icook.tw/recipes/279536
韓式涼拌白蘿蔔,{白蘿蔔:半根}{蒜蓉:一大匙}{薑泥:一小匙}{白砂糖:一小匙}{魚露:一大匙}{蔥花:一大匙}{韓式辣椒粉:一大匙}{鹽:兩大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277943/large_5c271b1eaa951a11.jpg,https://icook.tw/recipes/277943
白蘿蔔泡菜,{小白蘿蔔:2小條}{大辣椒:1條}{蒜頭:3瓣}{烏醋:4大匙}{糖:1大匙}{鹽:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/244312/large_0585a404992ddd0c.jpg,https://icook.tw/recipes/244312
黃金泡菜 台式泡菜~高麗菜/養樂多版,{高麗菜切大片:1000g}{南瓜去皮切片蒸熟搗泥:50g}{紅辣椒切絲:2條}{紅蘿蔔絲:50g}{大蒜切末:30g}{養樂多一瓶:100ml}{白醋:100ml}{高麗菜脫水用的鹽:2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276851/large_87bfd35d386355b1.jpg,https://icook.tw/recipes/276851
醃辣蘿蔔,{白玉蘿蔔:1.5斤}{鹽:5大匙}{辣椒醬:1大匙}{辣豆瓣醬:3大匙}{高粱醋:2大匙}{米酒:2大匙}{醬油:2大匙}{香油:3大匙}{砂糖:2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276793/large_0940cca7d03c0019.jpg,https://icook.tw/recipes/276793
豆瓣醃蘿蔔,{白玉蘿蔔:1000g}{鹽:1大匙20g}{冰糖或糖:150g}{白醋:120cc}{清酒或米酒:60cc}{東成豆瓣醬:3大匙60g}{香油:1大匙}{魚露:1小匙}{辣椒（切小段）:1根}{月桂葉:2片},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276619/large_edfe56160d57f49e.jpg,https://icook.tw/recipes/276619
超簡易台式醃蘿蔔~酸甜、脆口,{蘿蔔:1300克}{鹽:65克}{胡蘿蔔:100克}{鹽:3克}{糯米醋:250克}{上白糖(或細砂糖):217克}{辣椒:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275529/large_0d63d86767577ec4.jpg,https://icook.tw/recipes/275529
韓式泡菜,{台式冬白菜:5顆}{紅蘿蔔:1條}{白蘿蔔:1條}{韭菜:1把}{洋葱:1顆}{小蘋果:2顆}{水梨:1顆}{薑:1大塊}{蒜頭:1大把}{鹽巴:1大匙}{紅辣椒（辣的）:5根}{紅辣椒（不辣的）:20根}{麻油:1大匙}{砂糖:1碗}{白醋:2碗},https://tokyo-kitchen.icook.network/uploads/recipe/cover/274653/large_64064cb25847eac1.jpg,https://icook.tw/recipes/274653
香柚梅子醃蘿蔔,{白蘿蔔:一條}{配色紅蘿蔔:少許}{話梅:12顆}{水:250cc}{壽司醋:150cc}{紅砂糖:7-8大匙}{酸梅粉:2-3匙}{蜂蜜:50cc}{鹽:1/4匙}{柚子肉:4片}{鹽:一大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/267719/large_c8314a6244276c0a.jpg,https://icook.tw/recipes/267719
涼拌蒜辣小黃瓜,{小黃瓜:4根}{蒜頭:5-6顆}{辣椒:1根}{鹽:1小匙}{壽司醋:2匙}{紅砂糖:2-3匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/266949/large_291a23af7deeea0c.jpg,https://icook.tw/recipes/266949
三色蔬菜甘醋漬,{小黃瓜:3條}{紅蘿蔔:1條}{洋蔥:1/2顆}{白醋:200ml}{涼開水:200ml}{砂糖:3大匙}{鹽:1茶匙}{月桂葉:1片}{辣椒:2根}{大蒜:1瓣},https://tokyo-kitchen.icook.network/uploads/recipe/cover/251163/large_df038528f68db29b.jpg,https://icook.tw/recipes/251163
自製脆瓜,{小黃瓜:700克}{醬油:1杯}{白醋:3/4杯}{糖:3/4杯},https://tokyo-kitchen.icook.network/uploads/recipe/cover/262421/large_113051d813508bd0.jpg,https://icook.tw/recipes/262421
酸甜開胃《梅子番茄》,{番茄:70顆}{酸梅:50g}{蜂蜜 （隨喜）:適量}{冰糖 （隨喜）:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/258327/large_07d4f462a577d2c8.jpg,https://icook.tw/recipes/258327
醃製黃金蜆,{黃金蜆:１斤}{蒜頭:４小辦}{辣椒:２根}{薑片:25g}{醬油:200ml}{米酒:100ml}{烏醋:100ml}{糖:50g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/255041/large_c3642e2703e17f18.jpg,https://icook.tw/recipes/255041
醃嫩薑,{嫩薑:500克}{高粱醋:150cc}{白醋:100cc}{細砂糖:80克}{蜂蜜:15克}{鹽:3克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/254626/large_ffcdae51fed7b87b.jpg,https://icook.tw/recipes/254626
醃黃蘿蔔(咖哩粉版),{白蘿蔔:1根}{鹽:2茶匙}{咖哩粉(淡):2茶匙}{米醋:2大匙}{糖:3大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/254506/large_62419c0cef68b63e.jpg,https://icook.tw/recipes/254506
醃鳳梨豆醬～全素,{鳳梨:600g}{糖:150g}{鹽:75g}{黃豆粕:50g}{甘草片:4~5片}{6號瓶:1個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/254254/large_a3cf3b7ffbfedd33.jpg,https://icook.tw/recipes/254254
Q梅,{梅子:400克}{鹽:適量}{二砂糖:適量}{TGM大馬士革鋼廚具刀:1個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/253115/large_759e7aaef9080091.jpg,https://icook.tw/recipes/253115
柚子蘿蔔,{白蘿蔔:160g}{鹽:1/2茶匙}{柚子果醬:1大匙}{白醋:1茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/250860/large_ed6bd8ae5f70438e.jpg,https://icook.tw/recipes/250860
夏涼涼💦醋泡藕片,{蓮藕:一截}{醋:1/2杯}{糖:1/2杯}{清水:1/2杯}{辣椒:少許}{蒜頭:少許}{鹽巴:少許}{乾淨的玻璃罐子:一個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/251068/large_2862b6bcc597b296.jpg,https://icook.tw/recipes/251068
脆梅,{梅子:900克}{糖:900克}{水:900克}{ANKOMN 無耗電真空保鮮盒:1個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/249579/large_d59f4f3d7f84c0cc.jpg,https://icook.tw/recipes/249579
紫蘇梅,{青梅:10斤}{鹽:300g}{新鮮紫蘇葉:300g}{砂糖:2公斤}{水:600g}{砂糖:500g}{細粒冰糖:500g}{細粒冰糖:2公斤},https://tokyo-kitchen.icook.network/uploads/recipe/cover/249215/large_337e6dff4b0810f9.jpg,https://icook.tw/recipes/249215
[港式泡菜]簡單開胃菜 醃蘿蔔小黃瓜,{白蘿蔔:600g}{紅蘿蔔:120g}{小黃瓜:50g}{嫩薑:40g}{紅辣椒(可免):1條}{鹽:適量}{糖:3大匙}{白醋:6大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/248950/large_e27b59d981200068.jpg,https://icook.tw/recipes/248950
Dylanama ♥ 醃大頭菜,{大頭菜:1個}{辣椒:1支}{鹽:1大匙}{黃豆醬:5大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/248953/large_f00871f95cb2f002.jpg,https://icook.tw/recipes/248953
開胃小菜-芥末小黃瓜,{小黃瓜:1200g}{松井芥末粉:20g}{鹽巴:20g}{白糖:180g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/248773/large_50dc2af4fca6ca8e.jpg,https://icook.tw/recipes/248773
黃金泡菜,{山東白菜:半顆}{鹽:3匙}{紅蘿蔔A:60g}{紅蘿蔔B:100g}{蒜頭:5瓣}{麻油辣腐乳:3塊}{糖:70g}{醋:100g}{味醂:20g}{香油:30g}{辣油:20g}{辣椒粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/247811/large_74d70b6d2a4a3407.jpg,https://icook.tw/recipes/247811
阿婆的古早味醃酸梅(軟梅),{梅子:10斤}{鹽:半斤}{冰糖(大顆的)  分3~4次加:10斤},https://tokyo-kitchen.icook.network/uploads/recipe/cover/247804/large_4367d09a2e89176a.jpg,https://icook.tw/recipes/247804
下酒必備！鹹蜆仔涼拌🍻,{黃金蜆:ㄧ斤（600克）}{米酒:80克（半杯量米杯）}{醬油:90克（半杯量米杯）}{辣椒:適量（2小條）}{蒜頭:適量（3瓣）}{梅子:適量（2-3顆）},https://tokyo-kitchen.icook.network/uploads/recipe/cover/247398/large_61febaf263c37a08.jpg,https://icook.tw/recipes/247398
［留學生·異國］自製韓式泡菜,{大白菜:2顆}{韭菜:2把}{薑:2小塊}{蒜:3顆}{白米:1杯}{內鍋:8杯}{外鍋水:1杯}{蘋果:2顆}{水梨:2顆}{白蘿蔔:0.5條}{紅蘿蔔:2根}{韓式辣粉:250g}{鹽巴:適量}{魚露:小瓶1罐},https://tokyo-kitchen.icook.network/uploads/recipe/cover/245264/large_70fad1906409d49a.jpg,https://icook.tw/recipes/245264
韓式泡菜,{山東白菜:半顆}{鹽:200克}{糯米粉:50克}{水:350毫升}{辣椒:2根}{大蒜:9瓣}{薑:30克}{水梨:1顆}{韓式辣椒粉:150克}{韓國魚露:30克}{砂糖:45克}{韭菜:3支}{蔥:3支}{blendtec食物調理機:1台}{ANKOMN無耗電真空保鮮盒:1盒}{DANSK單柄牛奶鍋:1個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/243437/large_60613539948867fc.jpg,https://icook.tw/recipes/243437
黃金泡菜,{高麗菜:400克}{鹽:20克}{紅蘿蔔:100克}{蒜頭:4瓣}{白芝麻醬:15克}{味霖:15毫升}{白醋:75毫升}{糖:45克}{韓國辣椒粉:5克}{無糖花生粉:10克}{blendtec 食物調理機:1台}{ANKOMN 無耗電真空保鮮盒:1個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/243425/large_fa306d36be5ef5ea.jpg,https://icook.tw/recipes/243425
<冬天高麗菜食譜>台式泡菜,{高麗菜:一顆}{胡蘿蔔絲:一根份}{鹽巴:一大匙}{糯米醋:300克}{糖:200克}{水:600克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/238745/large_2f1213448955de44.jpg,https://icook.tw/recipes/238745
鬼怪之韓式炸雞醃蘿蔔,{白蘿蔔:1/2條}{白醋:1/2杯}{清水:1/2杯}{砂糖:1/2杯}{鹽巴:1/2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/237526/large_0fe14543dbbad0bd.jpg,https://icook.tw/recipes/237526
涼拌小菜：柚香白蘿蔔片,{白蘿蔔:1根}{鹽:3大匙}{糖:1大匙}{柚子醬:3大匙}{醋:1小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/237117/large_632920ed8a09c556.jpg,https://icook.tw/recipes/237117
台式泡菜,{高麗菜（大顆）:1顆}{紅蘿蔔:1根}{辣椒:2根}{蒜頭:五片}{鹽巴:60克}{砂糖:60克}{白醋:200cc},https://tokyo-kitchen.icook.network/uploads/recipe/cover/236928/large_d4aa8c229769a75f.jpg,https://icook.tw/recipes/236928
廣東泡菜蘿蔔泡菜～酸甜脆口好滋味,{白蘿蔔:1條}{紅蘿蔔:1/3條}{小黃瓜:1條}{紅辣椒:一條}{鹽:1大匙}{薑片:5片}{糖:3大匙}{醋:3大匙}{水:3大匙}{鹽少許(提味用):1/2小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/233780/large_45c589c38ea33e58.jpg,https://icook.tw/recipes/233780
韓式泡菜,{山東大白菜（約四公斤）:3顆}{鹽:1-2匙（一顆）}{韓式辣椒粉（粗）:1.5碗}{蒜頭:半碗}{老薑:2根}{蘋果:一顆}{水梨:一顆}{洋蔥:一顆}{魚露（泰式）也可以韓式魚露:一碗}{蒜:五根}{紅蘿蔔:一根}{白蘿蔔:半根}{蔥:五根}{水:六碗}{糯米:一碗}{白糖:半碗},https://tokyo-kitchen.icook.network/uploads/recipe/cover/232878/large_5e4e9fbd31a33ee9.jpg,https://icook.tw/recipes/232878
韓式泡菜(整顆),{山東大白菜:1顆（約2斤半）}{白蘿蔔:400克}{紅蘿蔔:50克}{青蔥:約十枝}{韓國辣椒粉:100克}{鹽:1茶匙}{鹽(塗抹大白菜用):約100克}{蘋果:半顆}{水梨:半顆}{洋蔥:半顆}{蒜頭:7大顆}{薑:一小段}{魚露:五大匙}{果糖(或糖):3大匙}{水:500ml}{糯米粉:2大匙}{黑糖:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/229186/large_155c531d2983a694.jpg,https://icook.tw/recipes/229186
醃小黃瓜,{小黃瓜:3條}{鹽巴:1.5小匙}{中型蒜頭:5顆}{冰糖:1.5大匙}{香油:1.5大匙}{醋:1.5大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/223438/large_43a234c90ab07b10.jpg,https://icook.tw/recipes/223438
(超簡單)韓式泡菜,{大白菜:半顆}{鹽巴:半碗}{蔥(斜切):兩株}{胡蘿蔔絲:少許}{韓式辣椒粉:半碗}{魚露:1/4碗}{糖:兩湯匙}{洋蔥:半顆}{蒜頭:5顆}{薑(去皮):一小塊}{水梨/蘋果/奇異果/鳳梨 擇一:半碗}{白飯:兩湯匙}{水:半碗},https://tokyo-kitchen.icook.network/uploads/recipe/cover/216460/large_c9fd266c706b0985.jpg,https://icook.tw/recipes/216460
[韓式醃蘿蔔]做法簡單的開胃小菜,{白蘿蔔:400g}{水:200g}{醋:4大匙}{鹽:1大匙}{白砂糖:4大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/212005/large_9b59f3cf237b1014.jpg,https://icook.tw/recipes/212005
不用醃製的好吃脆瓜,{小黃瓜:1斤}{醬油:200g}{黑醋:180g}{糖:180g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/210370/large_95b31716d59d0d1b.jpg,https://icook.tw/recipes/210370
蒜香醉醃鹹蛤蜊【免開伙下酒菜】,{蛤蜊（1斤）:600g}{青蔥:2支}{辣椒:2根}{大蒜:15瓣}{薑片:6片}{醬油:6大匙}{米酒:4大匙}{紹興酒:2大匙}{味醂:2大匙}{香油:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/209410/large_9ae44f644c4de3e8.jpg,https://icook.tw/recipes/209410
韓式柚香蘿蔔,{白蘿蔔:半條}{鹽:2小匙}{糖:1大匙}{水果醋(或白醋/米醋):2大匙}{柚子醬:0.5大匙}{水:3大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/208878/large_541b65bd17f724d3.jpg,https://icook.tw/recipes/208878
日式醃漬蔬菜(浅漬け),{小黃瓜:2條}{日式高湯:200cc}{鹽:2小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/205975/large_ec5ca41566b64f93.jpg,https://icook.tw/recipes/205975
韓式醬漬洋蔥--양파짱아지,{洋蔥:4-5顆}{辣椒:2條}{水:4}{醬油:2}{醋:1.5}{糖:1},https://tokyo-kitchen.icook.network/uploads/recipe/cover/204258/large_2b3aaaef18807e64.jpg,https://icook.tw/recipes/204258
糖漬脆醃小黃瓜 簡易懶人做法,{小黃瓜:2條}{糖:1大匙}{高粱酒醋(或米醋):1大匙}{糖:1大匙}{鹽:少於1/4小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/204026/large_8c3c1d5a996f8081.jpg,https://icook.tw/recipes/204026
▫️超開胃▫️糖醋漬洋蔥,{洋蔥:中型1顆}{醬油:4大匙}{冷開水:4大匙}{醋:2大匙}{糖:2.5小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/200124/large_114a45f8e80b5634.jpg,https://icook.tw/recipes/200124
💯獨家《台式泡菜》簡單料理好吃😋,{高麗菜:半顆}{紅蘿蔔絲（量自己斟酌）:少許}{工研壽司醋:150cc}{蒜頭一大顆（束）:約6-7瓣}{辣椒（朝天椒）:一根}{白砂糖:65g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/197422/large_1691a48126f5e8c0.jpg,https://icook.tw/recipes/197422
自製脆梅,{青梅:10斤}{鹽巴:600g}{砂糖:2000g}{水:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/196407/large_ad5cace4958fd2c9.jpg,https://icook.tw/recipes/196407
韓式泡菜,{山東大白菜:350g}{白蘿蔔絲:35g}{紅蘿蔔絲:35g}{鹽巴:10g}{雪梨(或蘋果):35g}{蒜末:3g}{薑末:2g}{韭菜:65g}{蔥:20g}{韓國辣椒粉:50g}{鹽巴:16g}{糖:10g}{韓國魚露:10g}{糯米粉:7g}{熱開水:28g}{蝦米(或蝦醬):7g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/196271/large_5bb13b87f985f97e.jpg,https://icook.tw/recipes/196271
台式泡菜,{高麗菜:1750g}{鹽:30g}{醋:180cc}{糖:100g}{蒜末:60g}{辣椒切小段:10g}{紅蘿蔔(一根）:160g}{鹽:3g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/195763/large_021cc7270b171d11.jpg,https://icook.tw/recipes/195763
