Cuisine,Ingredients,Image,Url
麻油雞麵線,{雞腿肉:300-400g}{蛋:2顆}{紅棗:6-8顆}{老薑:1小塊}{米酒:2米杯}{水:2米杯}{麵線:1把}{麻油:1-2大匙}{一般食用油:0.5大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/174034/large_acd7083f8b88b46a.jpg,https://icook.tw/recipes/174034
(超快速+超簡單) 蕃茄煨麵,{麵:2球}{豬五花肉片:150g}{小蕃茄:10顆}{青蔥:2支}{鹽巴:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/97974/large_da0ad23889b5a869.jpg,https://icook.tw/recipes/97974
麻婆豆腐拌麵,{豬絞肉:150g}{板豆腐:一塊}{蔥薑蒜:等量}{辣油:兩大匙}{花椒粒:一小匙}{橄欖油:一大匙}{醬油:兩大匙}{水:少許}{白胡椒:少許}{白麵條:兩人份},https://tokyo-kitchen.icook.network/uploads/recipe/cover/279102/large_62208a8d9374d80c.jpg,https://icook.tw/recipes/279102
高麗菜豬肉水餃,{高麗菜:1/4顆}{豬絞肉(胛心肉):1斤}{鹽:3.5匙}{糖:1大匙}{薑泥:1大匙}{蔥:1小碗}{蠔油:1大匙}{紹興酒或米酒:2.5瓶蓋}{香油:2匙}{白胡椒粉:少許}{水餃皮(大張):50張},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278099/large_01209300312bed1b.jpg,https://icook.tw/recipes/278099
低卡《高麗菜雞肉水餃》,{高麗菜:500g}{雞胸肉:500g}{韭菜:50g}{鹽:1大匙+1/4小匙}{香油(白芝麻油):1大匙}{白胡椒粉:適量}{蒜頭:1瓣(磨成泥)}{米酒:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277634/large_4ca2758564aea74e.jpg,https://icook.tw/recipes/277634
自製手捍水餃皮,{高筋粉:125克}{低筋粉:125克}{室溫水:約135-140克}{鹽:少許}{橄欖油:約 1茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275439/large_3d04302a1ee00656.jpg,https://icook.tw/recipes/275439
餛飩皮起司鮪魚玉米餃,{餛飩皮:1/3包}{鮪魚罐頭:一罐}{玉米粒:半碗}{起司:適量}{黑胡椒:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275021/large_cd885deaabbc3346.jpg,https://icook.tw/recipes/275021
高麗菜豬肉水餃 (含麵皮製作),{豬絞肉(細):290-300g}{蔥:1-2支}{高麗菜:1/8顆}{薑泥:少許}{冷水:100ml}{鹽:適量}{白胡椒:適量}{米酒:少許}{香油:5-6滴}{中筋麵粉:400g}{冷水:110ml}{鹽:少許}{橄欖油:2-3滴},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271734/large_14a7a60a226e7810.jpg,https://icook.tw/recipes/271734
蔬食水晶餃,{澄粉:75g}{樹薯粉:75g}{滾水:150g}{蛋:1顆}{青江菜:半份}{番茄:一小顆}{蔬菜油:1t}{胡椒粉:1t}{醬油膏:1T}{鹽:1/4t},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271488/large_26af150f1fe20a1d.jpg,https://icook.tw/recipes/271488
煎餃,{水餃皮:30～35片}{豬絞肉:200克}{高麗菜:1/4顆}{蔥:1根}{麵粉:適量}{水:適量}{薑:1小匙（5～10克）}{蒜頭:1小匙（1～2瓣）}{醬油:1小匙}{米酒:1小匙}{胡椒鹽:適量}{高湯（或水）:1～2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270138/large_d115dfb5504dd9ba.jpg,https://icook.tw/recipes/270138
手工水餃-高麗菜、白韭菜,{豬絞肉-可選胛心肉:1000公克}{高麗菜、白韭菜:半顆～1顆、1束}{青蔥:5、6根}{老薑:1小塊}{鹽巴:1/4茶匙}{高鮮味精:1/4茶匙或不加}{白芝麻香油:少許}{黑胡椒粉:少許}{水餃皮:約80張},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270281/large_3fd73bec64d7125e.jpg,https://icook.tw/recipes/270281
