Cuisine,Ingredients,Image,Url
沖繩黑糖紅豆水羊羹,{豆沙泥（無油）:400g}{沖繩黑糖:80g}{水:520ml}{寒天粉:4~6g}{鹽:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276362/large_43ecd87aa6358720.jpg,https://icook.tw/recipes/276362
紫米芋頭紅豆湯,{紅豆:210g}{芋頭:1.1Kg}{紫米:100g}{糖:5大匙}{鹽:1/4匙}{水:3L}{椰奶:400ml},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270910/large_cf31fff0af4df27d.jpg,https://icook.tw/recipes/270910
紅豆湯圓,{紅豆:1米杯}{水:適量}{糖:適量}{糯米粉:100克（約兩百毫升}{水:100毫升},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270024/large_fdc9a888a50ffbed.jpg,https://icook.tw/recipes/270024
南瓜湯圓°紅豆紫米湯,{紅豆:1杯}{紫糯米:1/2杯}{黑糖:適量}{糯米粉:適量}{白糖粉:適量}{南瓜泥:適量}{抹茶粉:3g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270090/large_fcb50e1632565861.jpg,https://icook.tw/recipes/270090
【寶寶食譜】地瓜圓紅豆湯,{蒸熟地瓜泥:100g}{樹薯粉:30g}{日本太白粉:10g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/269846/large_3e4965d808d8c44b.jpg,https://icook.tw/recipes/269846
薏仁紅豆湯（素食可）,{薏仁:1米杯}{紅豆:半米杯}{紅棗:4顆}{冰糖:20g}{水:半鍋},https://tokyo-kitchen.icook.network/uploads/recipe/cover/268042/large_937c65373e138edc.jpg,https://icook.tw/recipes/268042
月餅甜點－萬用紅豆豆沙餡【純天然無添加】,{紅豆:150 克}{食用油:3 大匙}{二砂糖（或黑糖）:50 克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/261237/large_6bb8a678cb1123b0.jpg,https://icook.tw/recipes/261237
焦糖爆米花,{玉米粒:160克}{二砂糖:120克}{無鹽奶油:60克}{LE CREUSET煎鍋:1個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/258572/large_16d99ed5a826f852.jpg,https://icook.tw/recipes/258572
地瓜紅豆栗子羊羹,{洋菜粉:6g}{水:600cc}{地瓜泥:60g}{紅豆粒:340g}{栗子:6顆}{糖:2.5大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/252487/large_877c0635fe335755.jpg,https://icook.tw/recipes/252487
黑糖蜜紅豆,{紅豆:500g}{水:1000g}{黑糖:250g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/250715/large_94d992d0c30289ce.jpg,https://icook.tw/recipes/250715
黃金玉米蝦仁,{蝦:11尾}{玉米罐:1罐}{橄欖油:1大匙}{葱:3支}{鹽巴:少許}{黑胡椒粉:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/250167/large_9d328ba7a21b863d.jpg,https://icook.tw/recipes/250167
紅豆泥（無油少糖）,{紅豆:200克}{砂糖:60克}{鹽:1/4茶匙}{水:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/249121/large_b7efb5719fb8045c.jpg,https://icook.tw/recipes/249121
