Cuisine,Ingredients,Image,Url
蛋酥滷白菜,{白菜:1顆}{蛋:2顆}{木耳絲:100 g}{紅蘿蔔絲:100 g}{乾香菇絲（泡軟）:50 g}{蔥段:20 g}{辣椒丁:10 g}{蒜末:10g}{香菇水:100 ml}{高湯:500 ml}{鹽:1 茶匙}{糖:1 茶匙}{胡椒粉:1 茶匙}{太白粉水:1 大匙}{香油:2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/238650/large_abaa1c45080bfb39.jpg,https://icook.tw/recipes/238650
滷白菜,{白菜:1顆}{紅蘿蔔:30公克}{黑木耳:100公克}{乾香菇:6公克}{蔥:二支}{乾蝦米:2大匙}{扁魚乾:20公克}{豬肉絲:150公克}{炸豬皮(蹦皮):35公克}{醬油:2大匙}{糖:1/2小匙}{鹽:1/2小匙}{白胡椒粉:1/4小匙}{香油:1/2小匙}{米酒:1小匙}{1小匙:1大匙}{太白粉:1大匙}{水:2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278016/large_f914cecbd0af0bf1.jpg,https://icook.tw/recipes/278016
菠菜小餐包,{高筋麵粉:150 g}{水:85 g}{新鮮酵母:15 g}{高筋麵粉:350 g}{菠菜汁(菜:水=1:1):150 g}{糖:40 g}{鹽:5 g}{蛋:50 g}{酸奶 (可用奶油取代):50 g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277073/large_894d847090aecf01.jpg,https://icook.tw/recipes/277073
菠菜煎餅大版燒,{蔬菜肉餡:一碗}{菠菜:3把}{雞蛋:一顆}{玉米粉(加入雞蛋:一茶匙}{鹽(加入雞蛋:少許}{柴魚片(表面:適量}{白芝麻粒(表面:適量}{美奶滋:適量}{蠔油:一湯匙}{味霖:一湯匙}{貳砂糖:一茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277040/large_2e0fa7d43bab8133.jpg,https://icook.tw/recipes/277040
黃金泡菜 台式泡菜~高麗菜/養樂多版,{高麗菜切大片:1000g}{南瓜去皮切片蒸熟搗泥:50g}{紅辣椒切絲:2條}{紅蘿蔔絲:50g}{大蒜切末:30g}{養樂多一瓶:100ml}{白醋:100ml}{高麗菜脫水用的鹽:2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276851/large_87bfd35d386355b1.jpg,https://icook.tw/recipes/276851
黃金菠菜蛋捲,{菠菜:150g}{海苔片:2片}{雞蛋:2顆}{鹽巴:1/6茶匙}{玉米粉水:1茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275463/large_18c4cc1732880138.jpg,https://icook.tw/recipes/275463
👩🏻‍🍳高麗菜滷-一鍋全家飽,{高麗菜:適量}{紅蘿蔔:8片}{乾香菇:8朵}{薑:5片}{豆皮:適量}{油蔥酥:適量}{雞湯塊:半塊}{蒜頭:4瓣}{蔥:3束}{醬油:三湯匙}{香油:一湯匙}{烏醋:二湯匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276728/large_0ca2e4fbfe9ae533.jpg,https://icook.tw/recipes/276728
古早味碰皮白菜魯,{白菜:2顆}{扁魚/蝦米:適量}{碰皮(炸豬皮):1包}{蒜末:1茶匙}{鹽巴:少許}{香油:適量}{豬骨:600克}{水:800cc},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276297/large_bb7260258ab85563.jpg,https://icook.tw/recipes/276297
金華火腿燉白菜雞湯【古早味】,{切塊雞肉:1/2隻}{雞腳:10支}{金華火腿:60克}{結球白菜:1顆}{薑片:3～5片}{米酒:10CC}{海鹽:酌量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/268647/large_242587a755b7039c.jpg,https://icook.tw/recipes/268647
韓式白菜燉豬前腿肉 배추앞다릿살씸,{豬前腿肉:400 g}{韓國白菜 （津菜）:800 g}{紅椒:1 隻}{洋蔥:1/2 個}{鹽:1 茶匙}{糖:1 茶匙}{醬油:1.5 湯匙}{韓式味噌醬:1.5湯匙}{韓式辣醬:1 茶匙}{醬油:1.5 湯匙}{麻油:1 茶匙}{韓國燒酒:1 湯匙}{糖:1 茶匙}{薑汁:1 茶匙}{蒜末:1 湯匙}{芝麻:1.5 湯匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275390/large_fafba04995a98198.jpg,https://icook.tw/recipes/275390
