Cuisine,Ingredients,Image,Url
溏心蛋,{雞蛋:10個}{醬油:1量米杯}{開水:3量米杯}{.二砂糖1/2量米杯:約65g}{八角:2個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/214047/large_bc0fc5008d46574b.jpg,https://icook.tw/recipes/214047
黃金菠菜蛋捲,{菠菜:150g}{海苔片:2片}{雞蛋:2顆}{鹽巴:1/6茶匙}{玉米粉水:1茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275463/large_18c4cc1732880138.jpg,https://icook.tw/recipes/275463
《秋葵紅蘿蔔蛋捲》,{雞蛋:4顆}{秋葵:約6~8支}{紅蘿蔔絲:少許}{鹽:少許}{五香粉:少許(可省略)}{食用油:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/274692/large_36ae074b46c61e51.jpg,https://icook.tw/recipes/274692
かにの自製鹹鴨蛋,{生鴨蛋:約10顆}{鹽巴:100g}{白開水:400ml}{米酒（或其他白酒）:20ml}{空容器（要有蓋子）:一個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270135/large_0f954da5ffefb38a.jpg,https://icook.tw/recipes/270135
蘑菇菠菜起司蛋餅,{洋菇:8顆}{菠菜:3小把}{蔥花:1-2根}{鹽:適量}{黑胡椒:適量}{蔥花蛋餅:2片}{起司片:2片}{橄欖油:適量}{雞蛋:2顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/274459/large_8ee6e1b21526785a.jpg,https://icook.tw/recipes/274459
茶香溏心蛋,,https://tokyo-kitchen.icook.network/uploads/recipe/cover/259156/large_29410e0c9ca77c87.jpg,https://icook.tw/recipes/259156
五分鐘快速出好菜-滑蛋蝦仁,{蝦仁:約15隻}{雞蛋:三顆}{太白粉水:少許}{鹽:少許}{油:少許}{蔥花:少許}{米酒:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/273976/large_543489da0a5d25c2.jpg,https://icook.tw/recipes/273976
時雨滑蛋牛肉,{牛肉片:200g}{日本水菜:150g}{雞蛋:1顆}{薑絲:10g}{米酒:3大匙}{糖:1.5大匙}{醬油:1.5大匙}{水:1.5大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271422/large_30f9a2e593ca0fea.jpg,https://icook.tw/recipes/271422
金沙茭白筍,{茭白筍:6支}{鹹蛋:2顆}{蒜末:2瓣}{辣椒末:1根}{蔥花:少許}{植物油:適量}{糖:1茶匙}{水:2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/265848/large_3a91d3edf93aac31.jpg,https://icook.tw/recipes/265848
滷溏心蛋♥（電鍋煮蛋版）,{蛋:4個}{水:30cc}{醬油/味醂:各60cc}{冷開水:180cc},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271670/large_a55547088079c3fd.jpg,https://icook.tw/recipes/271670
秋葵炒蛋,{秋葵:6根}{雞蛋:3顆}{鹽巴:1/2小匙}{胡椒粉:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271356/large_8f97162f0697f8f8.jpg,https://icook.tw/recipes/271356
親子丼 （輕鬆上桌🐔🥚）,{雞肉:300g}{雞蛋:3顆}{洋蔥:半顆}{高湯:250cc}{醬油:20cc}{味霖:7cc}{蔥絲:適量}{海苔:適量}{酒:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271082/large_e5a6b7cecf58c5c9.jpg,https://icook.tw/recipes/271082
蔬菜豆腐烘蛋,{全蛋液:4顆份}{嫩豆腐:150g}{鴻禧菇:30g}{豌豆仁:30g}{紅蘿蔔:20g}{日式醬油:1茶匙}{味醂:1大匙}{日式醬油:2茶匙}{味醂:2茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270565/large_0c32bea76a0cdf22.jpg,https://icook.tw/recipes/270565
