Cuisine,Ingredients,Image,Url
五步驟麻油雞！零廚藝手工麻油麵線,{土雞腿兩隻:1300g}{老薑:300g}{米酒:2瓶}{黑麻油:80g}{【雞肉沾醬】醬油膏:適量}{【雞肉沾醬】番茄醬:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/58356/large_796a91fb38570abc.jpg,https://icook.tw/recipes/58356
聖誕火雞大餐囉～,{進口火雞（5.5～6.6公斤）:1隻}{匈牙利紅椒粉（醃料）:2大匙}{黑糖（醃料）:2大匙}{胡荽粉（醃料）:1大匙}{肉桂粉（醃料）:1/2大匙}{丁香粉（醃料）:1大匙}{鹽（醃料）:1大匙}{粗黑胡椒粉（醃料）:1大匙}{橄欖油（抹雞內外用）:約6大匙}{洋蔥:2粒}{蘋果:2粒}{紅葱頭:10粒}{西芹:4片葉}{進口馬鈴薯:3粒}{蘑菇:15粒}{南瓜:半粒}{去皮栗子:15粒}{棉線:一段}{布袋針:1支},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278898/large_d0751b144dbeff03.jpg,https://icook.tw/recipes/278898
香草烤全雞,{全雞（約1.5公斤左右）:1隻}{鹽:2茶匙}{黑胡椒粉:1茶匙}{蒜頭:1整顆}{百里香:適量}{紅蘿蔔:1根}{洋蔥:1顆}{橄欖油:2-3湯匙}{小馬鈴:250g}{百里香:適量}{蒜末:2瓣量}{鹽:1茶匙}{黑胡椒粉:少許}{橄欖油:適量}{甜玉米:1根}{鹽:1/2茶匙}{黑胡椒粉:少許}{無鹽奶油:15g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278772/large_35e2685c1146c286.jpg,https://icook.tw/recipes/278772
烤箱版的豆乳雞,{去骨腿排:1個}{豆腐乳:2小塊}{味醂:2湯匙}{醬油:5湯匙}{辣椒:1根}{蒜頭:10g}{胡椒粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278224/large_ed406068a40af214.jpg,https://icook.tw/recipes/278224
水牛城炸雞,{雞翅、小棒腿:適量}{低筋麵粉:少許}{紅椒粉:少許}{甜辣醬:100g}{奶油:50g}{細砂糖:少許}{鹽巴:少許}{紅椒粉:少許}{黑胡椒:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277908/large_b9773a22688358bb.jpg,https://icook.tw/recipes/277908
免炸雞米花,{雞胸肉:250公克}{多力多滋:100公克}{蛋:2個}{低筋或中筋麵粉:50公克}{鹽:1/4小匙}{黑胡椒粗粒:1/4小匙}{白酒或米酒:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276777/large_96648a8f56975496.jpg,https://icook.tw/recipes/276777
毛豆仁煸雞丁,{雞肉丁:300g}{熟毛豆仁:70g}{辣椒:5g}{蒜頭:1瓣}{橄欖油:1大匙}{鹽:1/4小匙}{水:1大匙}{食用油:少許}{鹽:1/8小匙或少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276696/large_fba71ed7e1688216.jpg,https://icook.tw/recipes/276696
減肥聖品：好嫩好多汁雞胸肉片,{雞胸肉:一片}{鹽:適量}{胡椒:適量}{乾辣椒片:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276495/large_871eb0c55496b772.jpg,https://icook.tw/recipes/276495
🎄聖誕大餐🎄檸檬烤雞腿排,{去骨雞腿排:4-5片}{牛蕃茄:2顆}{球芽甘藍:15顆}{玉米筍:10根}{芹菜:2根}{蒜頭:10瓣}{鹽巴:適量}{黑胡椒:適量}{迷迭香:適量}{橄欖油:適量}{檸檬:2顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276412/large_44715da5c6c803eb.jpg,https://icook.tw/recipes/276412
雞肉炒筊白筍,{蒜頭:3瓣}{紅蘿蔔:3小片}{木耳:少許}{筊白筍:一包約6根}{雞腿肉:半片}{青蔥:2根}{鹽:適量}{油:少許}{水:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276398/large_38ad500dc4a48d44.jpg,https://icook.tw/recipes/276398
超簡單蜜汁棒棒腿,{棒棒腿:6支}{醬油:5大匙}{細冰糖:2大匙}{水:2/3碗}{油:少許}{熟白芝麻:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276335/large_771716f00228076b.jpg,https://icook.tw/recipes/276335
腐乳豆干炒嫩雞（附腐乳醬作法）,{去骨雞腿肉:400g}{豆干:4片}{馬鈴薯:150g}{紅蘿蔔:75g}{蔥花:少許}{腐乳醬:50ml}{蒜末:1大匙}{薑末:1大匙}{蔥末:1大匙}{辣豆腐乳:2塊}{香油:1茶匙}{砂糖:1茶匙}{開水:100ml}{太白粉水:1茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/255346/large_ecbd36a7838f5e47.jpg,https://icook.tw/recipes/255346
蒜頭蛤蜊雞湯,{土雞腿:1大隻}{蛤蜊:20顆}{蒜頭:15瓣}{水:2200cc}{葵花油:適量}{米酒:少許}{鹽:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/274488/large_7528636a85e20d65.jpg,https://icook.tw/recipes/274488
感恩節·聖誕節餐桌➰蜂蜜檸檬百里香烤雞,{全雞:一隻}{百里香:10g}{奧勒岡:5g}{迷迭香:5g}{橄欖油:適量}{無鹽奶油:50g}{義式香料:少許}{鹽:適量}{檸檬:一顆}{蜂蜜:少許}{蔓越莓醬:適量}{蔬菜:適量}{棉線:20cm}{錫箔紙:2-3張},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275271/large_1f72e18e0a4e613c.jpg,https://icook.tw/recipes/275271
海南雞飯（電鍋版本）,{半隻雞:半隻}{日本米:1量杯}{雞高湯:量杯半杯}{水:量杯半杯}{香茅:兩根}{薑末:適量}{蔥:3根}{蒜末:1顆量}{香油:1匙}{醬油:2匙}{辣椒:2根}{砂糖:1匙}{薑末:2大匙}{青檸:1顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271522/large_1beedcc93edde982.jpg,https://icook.tw/recipes/271522
超簡易料理：蔥薑蒸雞,{去骨雞腿肉：:1 隻}{老薑：:數片}{青蔥：:1 隻}{水：:1 匙}{醬油：:1 匙}{白胡椒：:少許}{鹽：:0.5 小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/273278/large_049d5ef41c4d3f35.jpg,https://icook.tw/recipes/273278
簡易版 - 蒜頭麻油雞,{去骨雞腿:2支}{麻油:50cc}{酒:100cc}{水:蓋過食材}{鹽:4cc}{雞精粉:4cc}{老薑:1大根}{蒜頭:4-5顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/273250/large_9957d4c60c94ff88.jpg,https://icook.tw/recipes/273250
培根炒高麗菜雞肉,{高麗菜:100g}{雞胸肉:100g}{蒜頭:2瓣}{培根:2條}{沙拉醬:1大匙}{鹽巴:適量}{黑胡椒粒:少許}{米酒:1小匙}{胡椒粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/272040/large_9ae6e2fefa4d51ac.jpg,https://icook.tw/recipes/272040
蜜汁雞腿飯 （塔塔醬）,{去骨雞腿:2份}{鹽:少許}{黑胡椒:少許}{低筋麵粉:3大湯匙}{糖（或蜂蜜）:1匙半}{味淋:2匙}{醬油:3匙}{白醋:3匙}{檸檬（喜歡酸，可加可不加）:半顆}{水:少許}{小黃瓜:1條}{洋蔥:半顆}{優格:2湯匙}{沙拉醬:2湯匙}{熟雞蛋:2顆}{糖:半湯匙}{鹽:少許}{黑胡椒:少許}{萵苣（整張捲起來切絲）:2張},https://tokyo-kitchen.icook.network/uploads/recipe/cover/273187/large_58e7b89758cf3b57.jpg,https://icook.tw/recipes/273187
香濃蒜味烤全雞🐓,{蒜頭切丁:4大顆}{蔥綠:5段}{洋蔥:半顆}{迷迭香香料:適量}{奶油:80g}{少許鹽巴:適量}{馬鈴薯:1～2顆}{秋葵:4條}{四季豆:3大條}{奶油:20g}{蒜頭切片:1大顆}{義式香料:適量}{黑胡椒:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/272824/large_081918adbe651deb.jpg,https://icook.tw/recipes/272824
蜂蜜芥末照燒雞腿排-手繪食譜,{去骨雞腿排:1片}{蜂蜜:1小匙}{顆粒芥末籽醬:2小匙}{味醂:1大匙}{醬油:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/272812/large_5214138c9ed8c3a4.jpg,https://icook.tw/recipes/272812
迷迭香烤全雞-薩布雷薩索雞,{薩索雞:一隻}{奶油:50克}{鹽與黑胡椒:少許}{新鮮迷迭香:兩枝}{檸檬:一顆}{紅蘿蔔:半條}{西洋芹:兩枝}{洋蔥:半顆}{洋蔥:半顆}{馬鈴薯:一顆}{地瓜:一條},https://tokyo-kitchen.icook.network/uploads/recipe/cover/272508/large_ae94f391da1092a2.jpg,https://icook.tw/recipes/272508
