Cuisine,Ingredients,Image,Url
三杯豆腐杏鮑菇 減油清爽版,{雞蛋豆腐:1盒}{杏鮑菇:3條}{蒜頭:6瓣}{薑:5-6片}{九層塔:1小碗}{辣椒(配色用可略):5片}{麻油:1大匙}{醬油:2大匙}{米酒:2大匙}{糖:1大匙}{醋:1小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/195854/large_0e3161dc634e1dc5.jpg,https://icook.tw/recipes/195854
五分鐘快速出好菜-滑蛋蝦仁,{蝦仁:約15隻}{雞蛋:三顆}{太白粉水:少許}{鹽:少許}{油:少許}{蔥花:少許}{米酒:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/273976/large_543489da0a5d25c2.jpg,https://icook.tw/recipes/273976
絲瓜燴杏菇,{絲瓜:1條}{杏鮑菇:2根}{薑:1小塊}{鹽巴:1小匙}{枸杞:1小把}{食用油:1小匙}{水:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270613/large_802d7762cf2cbeee.jpg,https://icook.tw/recipes/270613
親子丼 （輕鬆上桌🐔🥚）,{雞肉:300g}{雞蛋:3顆}{洋蔥:半顆}{高湯:250cc}{醬油:20cc}{味霖:7cc}{蔥絲:適量}{海苔:適量}{酒:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271082/large_e5a6b7cecf58c5c9.jpg,https://icook.tw/recipes/271082
不用包的餃子,{豬絞肉:200克}{高麗菜:半顆}{蒜頭:3顆}{韭菜:3根}{薑:1小塊}{水餃皮:24片}{芝麻油:少許}{鹽:4分之1匙}{醬油:2小匙}{料理酒（米酒）:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/269861/large_6f852e552981a980.jpg,https://icook.tw/recipes/269861
蒜香鮭魚炒飯,{米:3杯}{鮭魚:200g}{蒜頭:4瓣}{蛋:4顆}{青蒜尾:2根量}{結球萵苣葉:4葉}{醬油:適量}{白胡椒粉:適量}{塩巴:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/269352/large_39c4fa34750cb6da.jpg,https://icook.tw/recipes/269352
🐟鮭魚豆腐味噌湯,{鮭魚:250g}{豆腐:1盒}{海帶芽:3g}{味噌:1.5大匙}{青蔥:1/2根}{水:600cc}{米酒:2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/268474/large_962c3996b52d9a62.jpg,https://icook.tw/recipes/268474
麻油絲瓜蛤蜊麵線,{絲瓜:一條}{蛤蜊:數十顆}{薑片:三～五片}{手工麵線:兩束}{麻油:少許}{雞蛋:2顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/268161/large_68cc251cc9ff9391.jpg,https://icook.tw/recipes/268161
🇯🇵焼きそば-日式炒麵,{五花肉片:1盒}{高麗菜絲:1/2顆}{紅蘿蔔絲:適量}{洋蔥:適應}{油麵:1包}{日式炒麵醬:150g}{蛋:3顆}{海苔粉:適量}{柴魚、美乃滋:可不加},https://tokyo-kitchen.icook.network/uploads/recipe/cover/267840/large_30b098e318d3ee2c.jpg,https://icook.tw/recipes/267840
川菜｜螞蟻上樹,{冬粉:2把}{豬絞肉:150g}{蒜:5顆}{薑:一顆}{蔥:一把}{香菜:一把}{米酒:1匙}{醬油:1匙}{辣豆瓣醬:1匙}{辣油:1匙}{高湯:500ml},https://tokyo-kitchen.icook.network/uploads/recipe/cover/267282/large_8886766b6ffe20b5.jpg,https://icook.tw/recipes/267282
白豆包炒韮莱花～家常菜,{韮菜花:半斤}{白豆包:4片}{大辣椒:1支}{鹽:適量}{味素（亦可不加）:少許}{炒菜油:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/266927/large_cf3b6645ae2f537e.jpg,https://icook.tw/recipes/266927
揚豆腐～用煎的較實在,{板豆腐:1塊}{蔥花:1大匙}{薑泥:1大匙}{醬油:2大匙}{味醂:2大匙}{開水:1碗}{雞粉:1小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/266908/large_c5a0af931a097744.jpg,https://icook.tw/recipes/266908
乾燒蝦仁 🍤,{蝦草仁:150克}{蒜碎:1大匙}{蔥花:1大匙}{米酒:1大匙}{豆瓣醬:2大匙}{蕃茄醬:1大匙}{米酒:1大匙}{糖:1/2小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/266906/large_7c4e62d4eba6171c.jpg,https://icook.tw/recipes/266906
糯米椒炒豬肉,{豬絞肉:150g}{糯米椒:100g}{豆乾:3片}{大蒜:2瓣}{植物油:2大匙}{醬油:半大匙}{鹽:1/4小匙}{胡椒:適量}{米酒:1大匙}{鹽:1/4小匙}{胡椒:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/263363/large_235a72c0f44ad6c9.jpg,https://icook.tw/recipes/263363
椒鹽韭菜皮蛋,{皮蛋:2顆}{韭菜花:一把}{豆鼓:一大湯匙}{蒜頭:3顆}{辣椒末:適量}{醬油膏:一匙}{椒鹽粉:適量}{白胡椒鹽:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/266798/large_f0824c045981b342.jpg,https://icook.tw/recipes/266798
醋溜土豆，10分鐘就能上桌的開胃菜,{馬鈴薯:2顆}{青椒:1/3顆}{花椒:2大匙(約5g)}{泡(或剝皮辣椒):2根}{素蠔油:2大匙}{黑醋:1.5大匙}{糖:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/266667/large_65ab54368ef45b8d.jpg,https://icook.tw/recipes/266667
豆干炒肉絲,{腰內肉或豬五花:200克}{豆干:6片}{蒜泥:一大匙}{辣椒:一支}{醬油膏:一大匙}{白胡椒粉:適量}{醬油:一大匙}{米酒:兩小匙}{蛋白:少許}{太白粉:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/266306/large_13d0bf89574c3266.jpg,https://icook.tw/recipes/266306
絲瓜蛋麵線,{絲瓜:1條}{白麵線:2束}{蝦米:6-8隻}{蛋:2顆}{蔥:3根}{鹽:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/266406/large_8a31d9068bcda5dd.jpg,https://icook.tw/recipes/266406
鮮蝦炒蘆筍洋蔥,{鮮蝦:6~7隻}{綠蘆筍:10-12根}{洋蔥:1/4個}{鹽巴:1/2紅匙}{黑胡椒粉:少許}{米酒:1大匙}{沙拉油:1大匙}{蒜末:1瓣}{米酒:1/2大匙}{鹽巴:1/3紅匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/257480/large_9eb3a41aa7776a5a.jpg,https://icook.tw/recipes/257480
泰式打拋豬（台式簡易版）,{豬絞肉:430克}{醬油:3大匙}{細砂糖:1大匙}{檸檬汁:1大匙}{米酒:2大匙}{蒜瓣:5-6瓣}{九層塔葉:適量}{小辣椒:1條}{小蕃茄:4顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/265697/large_4b32b280b0c3394c.jpg,https://icook.tw/recipes/265697
麻婆豆腐～開胃下飯料理,{嫩豆腐:一塊}{細絞肉:適量}{蔥:1根}{蒜頭:2粒}{辣豆瓣醬:2匙}{醬油:3匙}{味醂:1大匙}{白胡椒粉:少許}{香油:少許}{水:適量}{太白粉水:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/254174/large_4dcfc2514e7b430d.jpg,https://icook.tw/recipes/254174
健康又美味《鮭魚五穀米炒飯》,{鮭魚(厚度約2.5cm):半輪片}{熟毛豆:碗裝約7分滿}{熟五穀米飯(冷飯):2碗}{海鹽:適量}{黑胡椒:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/263386/large_9fda848d4a9a5fd2.jpg,https://icook.tw/recipes/263386
豆腐鮮蚵,{鮮蚵:1袋}{嫩豆腐:1盒}{乾豆豉:適量}{青蔥:2根}{薑末:適量}{蒜頭:4瓣}{地瓜粉:3～4匙}{醬油:2大匙}{蠔油:1大匙}{米酒:1大匙}{糖:1/2大匙}{溫開水:半碗}{地瓜粉水（勾薄芡用）:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/263257/large_858e4015e5a590cb.jpg,https://icook.tw/recipes/263257
蚵仔煎,{蕃薯粉:30克}{太白粉:15克}{鹽:5克}{水:40毫升}{豬油:15克}{鮮蚵:9顆}{永齡農場 小白菜:1根}{水:90毫升}{味噌:15克}{番茄醬:15克}{糖:15克}{辣椒粉:5克}{太白粉水:適量}{DOMO單紅柄零重力深炒平底鍋:1個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/253720/large_16d30204a9280836.jpg,https://icook.tw/recipes/253720
鍋煎法式鹹蛋糕(露營OK),{洋蔥(切丁):30g}{青椒、黃椒、玉米粒等(切丁):各30g}{小熱狗(切丁):30g}{綠葉蔬菜(切細):3~4葉}{乳酪絲或起司:10g}{融化的奶油:15g}{鬆餅粉:100g}{鮮奶:50g}{蛋:1顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/262786/large_a919430d1b40e2d8.jpg,https://icook.tw/recipes/262786
打拋豬,{豬絞肉:350克}{九層塔:ㄧ把（拳頭大）}{檸檬:適量}{番茄:ㄧ顆}{蒜頭:4瓣}{辣椒:ㄧ根}{蠔油:ㄧ茶匙}{醬油:1又1/4大匙}{魚露:ㄧ茶匙}{味醂:1又1/4匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/262779/large_1971a33d4d4e8115.jpg,https://icook.tw/recipes/262779
黑胡椒洋蔥牛柳,{牛里肌:210g}{洋蔥:1顆}{蒜頭:2瓣}{辣椒:1條}{蔥:2根}{醬油:少許}{黑胡椒醬:2-3湯匙}{鹽:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/262634/large_c164716a9cbc154d.jpg,https://icook.tw/recipes/262634
金沙中卷,{鹹蛋黃:3顆}{透抽:1隻}{米酒:10毫升}{香料共和國白胡椒粉:2克}{鹽:2克}{蛋黃:1顆}{中筋麵粉:45克}{卡士達粉:45克}{蒜頭:2瓣}{蔥:2支}{辣椒:半根}{TGM大馬士革鋼廚具刀:1個}{DOMO單紅柄零重力深炒平底鍋:1個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/255645/large_76b0b3de0f32434e.jpg,https://icook.tw/recipes/255645
藍家小館-一鍋到底洋蔥雞腿肉,{洋蔥:2顆}{去骨雞腿肉:2片}{醬油（醃肉）:適量}{水:適量}{黑胡椒:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/262231/large_3d8fd033309badd6.jpg,https://icook.tw/recipes/262231
