Cuisine,Ingredients,Image,Url
蒜香鮭魚炒飯,{米:3杯}{鮭魚:200g}{蒜頭:4瓣}{蛋:4顆}{青蒜尾:2根量}{結球萵苣葉:4葉}{醬油:適量}{白胡椒粉:適量}{塩巴:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/269352/large_39c4fa34750cb6da.jpg,https://icook.tw/recipes/269352
醬燒嫩豆腐(省錢料理)-手繪食譜,{火鍋豆腐:1盒}{青葱:1根}{嫩薑:3片}{豆瓣醬:1大匙}{醬油:1大匙}{糖:1小匙}{水:120ml}{太白粉水:1/2小匙}{香油:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/253252/large_dc7c3fc89e3124f2.jpg,https://icook.tw/recipes/253252
古早味碰皮白菜魯,{白菜:2顆}{扁魚/蝦米:適量}{碰皮(炸豬皮):1包}{蒜末:1茶匙}{鹽巴:少許}{香油:適量}{豬骨:600克}{水:800cc},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276297/large_bb7260258ab85563.jpg,https://icook.tw/recipes/276297
韓式雜菜,{韓式冬粉:120公克}{菠菜:50公克}{木耳:30公克}{香菇:3-4朵}{紅蘿蔔:30公克}{黃椒:30公克}{洋蔥:50公克}{蒜末:3瓣}{豬肉絲（或牛肉絲）:100公克}{煮冬粉的水:5大匙}{糖:1小匙}{醬油:1小匙}{米酒:1小匙}{黑胡椒粉:1/2小匙}{糖:1小匙}{醬油:2大匙}{拌煮熟冬粉用芝麻油:1大匙}{醬油:2大匙}{糖:1大匙}{韓式芝麻油（或台灣香油）:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275157/large_003878ea139c1962.jpg,https://icook.tw/recipes/275157
滷豆干,{薄豆干:600g}{蒜頭:6瓣}{辣椒:1個}{家樂福嚴選宜蘭三星蔥:2枝}{水:100ml}{鹽(事前煮豆干用):1茶匙}{曰式鏗魚醬油:6大匙}{米酒:3大匙}{砂糖:1大匙}{白胡椒:1/8匙}{五香粉:1/8匙}{香油:1茶匙}{甘草片:3片}{八角:3個}{桂皮:6g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/274764/large_56ecdcf247097e2d.jpg,https://icook.tw/recipes/274764
《秋葵紅蘿蔔蛋捲》,{雞蛋:4顆}{秋葵:約6~8支}{紅蘿蔔絲:少許}{鹽:少許}{五香粉:少許(可省略)}{食用油:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/274692/large_36ae074b46c61e51.jpg,https://icook.tw/recipes/274692
炒包心白菜,{包心白菜:1顆}{紅蘿蔔:適量}{炸豆皮:3片}{梅花肉絲:100g}{紅蔥頭:3顆}{蒜頭:2顆}{乾香菇:5朵}{蝦米:適量}{熱水:100CC}{塩巴:2匙}{白胡椒粉:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270589/large_7eb9064a1bb47a10.jpg,https://icook.tw/recipes/270589
麻婆豆腐,{豆腐:300g}{絞肉:50g}{小辣椒:1條}{花椒:10粒}{蔥:1根}{薑:3片}{醬油:1茶匙}{胡椒粉:適量}{太白粉:2茶匙}{辣椒醬:1湯匙}{鹽:1茶匙}{水:1碗}{味噌:半茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270058/large_6e1008321d99ab10.jpg,https://icook.tw/recipes/270058
大白菜燴麵筋,{大白菜:半顆}{麵筋:適量}{紅蘿蔔:1小塊}{蒜:2粒}{醬油:1-2小匙}{鹽:適量}{太白粉:1小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/269745/large_906d1917ae4964c8.jpg,https://icook.tw/recipes/269745
酸辣泰式打拋豬拌炒泡麵,{豬絞肉:150g}{蒜仁(去膜切片):1 瓣}{紅辣椒(去蒂頭切段):1 根}{小蕃茄(切半):5 顆}{九層塔:1 手把}{泡麵(事先泡軟):1 片}{雞蛋(不要打散):1 顆}{魚露 (調味醬汁):1 茶匙}{細砂糖 (調味醬汁):1 茶匙}{檸檬汁 (調味醬汁):1 匙}{醬油 (調味醬汁):1 大匙}{蠔油 (調味醬汁):1 匙}{高湯 (調味醬汁):2 大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/269008/large_22acce7f1155ac32.jpg,https://icook.tw/recipes/269008
揚豆腐～用煎的較實在,{板豆腐:1塊}{蔥花:1大匙}{薑泥:1大匙}{醬油:2大匙}{味醂:2大匙}{開水:1碗}{雞粉:1小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/266908/large_c5a0af931a097744.jpg,https://icook.tw/recipes/266908
