Cuisine,Ingredients,Image,Url
下酒菜之花椒香辣雞翅,{小雞翅:10隻}{花椒:少許}{香菜:少許}{醬油:2大匙}{米酒:1大匙}{辣椒（去籽）:1根}{糖:1小匙}{水:5大匙}{蒜末:1匙}{醬油:2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/166021/large_0520c82668128f36.jpg,https://icook.tw/recipes/166021
烤箱版的豆乳雞,{去骨腿排:1個}{豆腐乳:2小塊}{味醂:2湯匙}{醬油:5湯匙}{辣椒:1根}{蒜頭:10g}{胡椒粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278224/large_ed406068a40af214.jpg,https://icook.tw/recipes/278224
高麗菜豬肉水餃,{高麗菜:1/4顆}{豬絞肉(胛心肉):1斤}{鹽:3.5匙}{糖:1大匙}{薑泥:1大匙}{蔥:1小碗}{蠔油:1大匙}{紹興酒或米酒:2.5瓶蓋}{香油:2匙}{白胡椒粉:少許}{水餃皮(大張):50張},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278099/large_01209300312bed1b.jpg,https://icook.tw/recipes/278099
水牛城炸雞,{雞翅、小棒腿:適量}{低筋麵粉:少許}{紅椒粉:少許}{甜辣醬:100g}{奶油:50g}{細砂糖:少許}{鹽巴:少許}{紅椒粉:少許}{黑胡椒:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277908/large_b9773a22688358bb.jpg,https://icook.tw/recipes/277908
滷牛腱,{牛腱肉:2大條}{蔥:一把}{薑:適量}{辣椒:4-5根}{蒜頭:5顆}{冰糖:1大匙}{醬油:3 大匙}{白胡椒粉:2茶匙}{八角.花椒:適量}{肉寇.草果:適量}{胡椒粒 .桂皮:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276305/large_81f1a429e479e31a.jpg,https://icook.tw/recipes/276305
菠菜煎餅大版燒,{蔬菜肉餡:一碗}{菠菜:3把}{雞蛋:一顆}{玉米粉(加入雞蛋:一茶匙}{鹽(加入雞蛋:少許}{柴魚片(表面:適量}{白芝麻粒(表面:適量}{美奶滋:適量}{蠔油:一湯匙}{味霖:一湯匙}{貳砂糖:一茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277040/large_2e0fa7d43bab8133.jpg,https://icook.tw/recipes/277040
免炸雞米花,{雞胸肉:250公克}{多力多滋:100公克}{蛋:2個}{低筋或中筋麵粉:50公克}{鹽:1/4小匙}{黑胡椒粗粒:1/4小匙}{白酒或米酒:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276777/large_96648a8f56975496.jpg,https://icook.tw/recipes/276777
檸檬蝦,{鮮蝦:1斤}{檸檬:2顆}{蔥:2支}{米酒:2匙}{糖:6大匙}{胡椒粉:少許}{水:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276689/large_842df6c532fb6c3a.jpg,https://icook.tw/recipes/276689
麻油薑豬肉餃,{小張餃子皮:25張(約225g)}{豬後腿瘦絞肉:250g}{乾薑:1小塊}{醬油:1大匙}{麻油:1小匙}{鹽:1/4小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275270/large_dddcba870c7141aa.jpg,https://icook.tw/recipes/275270
餛飩皮起司鮪魚玉米餃,{餛飩皮:1/3包}{鮪魚罐頭:一罐}{玉米粒:半碗}{起司:適量}{黑胡椒:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275021/large_cd885deaabbc3346.jpg,https://icook.tw/recipes/275021
滷豆干,{薄豆干:600g}{蒜頭:6瓣}{辣椒:1個}{家樂福嚴選宜蘭三星蔥:2枝}{水:100ml}{鹽(事前煮豆干用):1茶匙}{曰式鏗魚醬油:6大匙}{米酒:3大匙}{砂糖:1大匙}{白胡椒:1/8匙}{五香粉:1/8匙}{香油:1茶匙}{甘草片:3片}{八角:3個}{桂皮:6g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/274764/large_56ecdcf247097e2d.jpg,https://icook.tw/recipes/274764
鹽味胡椒豬五花～便當菜、下酒菜,{五花豬肉(去皮):500~800克}{鹽巴:1/4茶匙}{黑胡椒粒:1/4茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/273155/large_34ef3536894d3d00.jpg,https://icook.tw/recipes/273155
滷溏心蛋♥（電鍋煮蛋版）,{蛋:4個}{水:30cc}{醬油/味醂:各60cc}{冷開水:180cc},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271670/large_a55547088079c3fd.jpg,https://icook.tw/recipes/271670
香辣滷牛腱【開胃下酒菜】【年菜常備菜】,{牛腱:2 顆}{醬油:180 毫升}{米酒:120 毫升}{蔥:2~3 根}{辣椒:2 根}{辣豆瓣醬:4 大匙}{糖:4 大匙}{市售滷包:1 包}{水:1700 毫升},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271349/large_6185effa75aeeadf.jpg,https://icook.tw/recipes/271349
香辣滷牛腱 & 醬牛肉-電飯鍋滷煮超簡單,{蒜頭:4辦}{青蔥:2支}{薑片:4~6片}{八角:3～4個}{醬油:1大匙}{老抽:1大匙}{醬油膏:1大匙}{紹興酒:2大匙}{五香粉:1/2大匙}{香辣醬:2大匙}{辣豆瓣醬:2~3大匙}{冰糖 或 白砂糖:2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271410/large_ade2fd6823692f94.jpg,https://icook.tw/recipes/271410
蒜香雞塊,{雞胸肉:1付(330g)}{日清炸粉（醬油蒜頭風味）:0.5包}{水:50cc},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271161/large_a895ed73ee8f8cbc.jpg,https://icook.tw/recipes/271161
韓式辣炒雞翅,{雞翅:10支}{胡椒鹽:適量}{料理酒:1大匙}{韓式辣醬:3大匙}{醬油:1大匙}{水:1大匙}{薑末:1大匙}{蜂蜜:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270295/large_ac1e9fe2eeb63573.jpg,https://icook.tw/recipes/270295
煎餃,{水餃皮:30～35片}{豬絞肉:200克}{高麗菜:1/4顆}{蔥:1根}{麵粉:適量}{水:適量}{薑:1小匙（5～10克）}{蒜頭:1小匙（1～2瓣）}{醬油:1小匙}{米酒:1小匙}{胡椒鹽:適量}{高湯（或水）:1～2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270138/large_d115dfb5504dd9ba.jpg,https://icook.tw/recipes/270138
香烤雞胸肉（無骨鹹酥雞）,{蛋液:一顆}{Costco清雞胸肉:一片}{鹹餅乾:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270014/large_5e1a15d6e7778909.jpg,https://icook.tw/recipes/270014
