Cuisine,Ingredients,Image,Url
**蘿蔔絲餡餅**,{中筋麵粉:200g}{熱滾水:100g}{冷水(依麵粉吸水不同調整):30～60g}{鹽巴:1小搓}{食用油:1匙}{白蘿蔔（剉籤）:1/2條}{蔥花:1小碗}{蝦皮或櫻花蝦:適量}{鹽巴:適量}{白胡椒:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/279340/large_de8fbf87738ba6ff.jpg,https://icook.tw/recipes/279340
古早味起司乳酪蛋糕,{耐高溫乳酪丁:適量}{起司:2片}{蛋黃:3}{鮮奶:35cc}{橄欖油:30cc}{糖:10克}{低筋麵粉:45克}{蛋白:3}{糖:40克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278332/large_65713173cb3b4827.jpg,https://icook.tw/recipes/278332
炊蒸古早味蘿蔔糕(電鍋版),{白蘿蔔:1大條}{蝦米:15g}{香菇:中型5朵}{絞肉:150g~180g}{自製紅蔥酥（油）:3大匙}{在來米粉:600g}{太白粉:20g}{白胡椒粉:1大匙}{鹽:4小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278041/large_8be849afbf90af57.jpg,https://icook.tw/recipes/278041
蘿蔔糕,{蘿蔔:500克}{再來米粉:90克}{太白粉:10克}{鹽:少許}{胡椒:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277941/large_747d420a923ca2af.jpg,https://icook.tw/recipes/277941
起司小餐包,{高筋麵粉:350克}{水:230克}{速發酵母:1克}{高筋麵粉:150克}{水:100克}{奶粉:30克}{細砂糖:40克}{發酵奶油:40克}{鹽:5克}{速發酵母:4克}{起司片:10片}{起司片:5片},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277029/large_c82f7568007f31f7.jpg,https://icook.tw/recipes/277029
白玉蘿蔔糕,{白蘿蔔:1500克}{再來米粉:600克}{水:700客克}{白胡椒粉:1茶匙}{鹽巴:1茶匙}{地瓜粉（太白粉）:60克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276839/large_f931fafb775b59b2.jpg,https://icook.tw/recipes/276839
👩‍🍳帕瑪森起士乳酪麵包,{高筋麵粉:500g}{細砂糖:30g}{鹽:10g}{速發酵母:5g}{牛奶:360g}{無鹽奶油:20g}{內餡:如下}{起士片:10片}{外層:如下}{帕瑪森起士粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276536/large_504cd856424a09de.jpg,https://icook.tw/recipes/276536
瑞士馬鈴薯餅 Rösti,{馬鈴薯:300克}{奶油:10克}{鹽:適量}{黑胡椒:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/272999/large_690f2a6e3794bf47.jpg,https://icook.tw/recipes/272999
混外國血統的蘿蔔糕,{白蘿蔔:720g}{生飲水:440g}{乾香菇:22g}{紅蔥頭:25g}{蒜頭:22g}{洋蔥:100g}{蝦米:25g}{德國香腸:100g}{香油或沙拉油:3大匙}{鹽:1大匙}{白胡椒粉:1小匙}{在來米粉:440g}{生飲水:390g}{砂糖:42g}{香油:8g}{水煮雞蛋:2顆}{香菇:4朵}{蝦米:15g}{鋁製模型:2個}{沙拉油:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/274955/large_3dc83a5868e7cbbe.jpg,https://icook.tw/recipes/274955
蘑菇菠菜起司蛋餅,{洋菇:8顆}{菠菜:3小把}{蔥花:1-2根}{鹽:適量}{黑胡椒:適量}{蔥花蛋餅:2片}{起司片:2片}{橄欖油:適量}{雞蛋:2顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/274459/large_8ee6e1b21526785a.jpg,https://icook.tw/recipes/274459
🇯🇵創意Open吐司～三明治棒！,{吐司:2片}{蛋:1顆}{酪梨:1/4顆}{黑胡椒:些許}{鹽:少許}{牛奶（可略）:50cc}{奶油（可用一般油代替）:少許}{火腿:2片}{生菜:些許}{蛋:1顆}{黃芥末:少許}{鮪魚:1/2罐}{美乃滋:少許}{番茄:1/2顆}{洋蔥:1/4顆}{黑胡椒:些許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/273963/large_27931cc2d4eca08f.jpg,https://icook.tw/recipes/273963
蛋沙拉三明治,,https://tokyo-kitchen.icook.network/uploads/recipe/cover/273101/large_0cdc15f285d1ea69.jpg,https://icook.tw/recipes/273101
溫莎麵包#免基發#簡易省時,{高筋麵粉:300g}{低筋麵粉:33.3g}{細砂糖:33.3g}{奶粉:10g}{鹽巴:5.3g}{蛋黃:26.6g(約2顆)}{水:190-200g}{速發酵母:3.3g}{無鹽奶油:26.6g}{融化無鹽奶油:適量}{糖粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/272826/large_fb1b0dd7f8ca5cd8.jpg,https://icook.tw/recipes/272826
南瓜枸杞小米粥(電鍋版),{小米:80公克}{南瓜 :150公克}{枸杞:15公克}{水:800C.C}{鹽 :1/3小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271964/large_36ca16f365f53f63.jpg,https://icook.tw/recipes/271964
皮蛋瘦肉粥,{米:1米杯}{高湯:9米杯}{豬絞肉:180g}{皮蛋:2顆}{蛋:1顆}{蔥花:適量}{鹽:適量}{胡椒粉:適量}{米酒:5ml}{黑、白胡椒粉:適量}{鹽:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/263622/large_eafcee345a08e93b.jpg,https://icook.tw/recipes/263622
鍋煮奶茶作法,{紅茶葉:2湯匙（10g）}{全脂牛奶:一杯}{水:一杯},https://tokyo-kitchen.icook.network/uploads/recipe/cover/266591/large_d4dd68a2b43db52d.jpg,https://icook.tw/recipes/266591
全麥核桃麵包,{半盤烤盤:1個}{高筋麵粉30%:150g}{水30%:150g}{速發酵母0.12%:0.6g}{全粒粉34%:170g}{鮮奶34%:170g}{高筋麵粉36%:180g}{白砂糖10%:50g}{奶粉4%:20g}{鹽巴2.2%:11g}{速發酵母1%:5g}{鮮奶4%:20g}{無鹽奶油8%:40g}{核桃30%:150g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/265825/large_bff49bf355110b2a.jpg,https://icook.tw/recipes/265825
👩‍🍳奶油香蒜麵包,{高筋麵粉:256g}{低筋麵粉:24g}{牛奶:120g}{全蛋:1個}{無鹽奶油:20g}{鹽:1小匙}{砂糖:15g}{蜂蜜:20g}{酵母粉:4g}{奶油蒜味醬:如下}{無鹽奶油:40g}{鹽:少許}{蒜末:適量}{蒜粉:少許}{麵包上刷料:如下}{全蛋:1個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/265698/large_808526da6ac9d8f6.jpg,https://icook.tw/recipes/265698
烤甜甜圈,{高筋麵粉:200g}{白飯:80g}{鮮奶:70g（包括打飯泥}{速發酵母粉:1.5g}{糖粉:25g}{蛋白:30}{蛋黃:10g}{無鹽奶油:15g（室溫軟化}{蛋黃:10g}{鮮奶:50g}{以上可先拌勻放冰箱備用:如上},https://tokyo-kitchen.icook.network/uploads/recipe/cover/265654/large_a8aed8e0ecea5e89.jpg,https://icook.tw/recipes/265654
桂圓紅棗糯米甜粥,{圓糯米:120g}{水:800g}{桂圓:60g}{紅棗:20g}{黑糖:55g}{米酒:20g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/265597/large_534a1124566743a3.jpg,https://icook.tw/recipes/265597
香菇竹筍南瓜包,{南瓜泥:800g}{糯米粉:700g}{砂糖:4t}{植物油:3t}{水:200-300g}{綠竹筍:1支}{香菇:8朵}{豬絞肉:200g}{蠔油:適量}{油蔥酥:適量}{白胡椒:適量}{醬油:適量}{油:適量}{枸杞:數顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/265019/large_88c691263280295f.jpg,https://icook.tw/recipes/265019
越南春捲,{雙色奶油萵苣:適量}{小黃瓜:適量}{九層塔:適量}{豆芽菜:適量}{紅蘿蔔絲:適量}{蝦仁或五花肉:適量}{紅麵線或米線:適量}{越南春捲皮:一包}{蜂蜜或糖:適量}{蒜頭:適量}{辣椒:適量}{檸檬汁:適量}{魚露:適量}{醋:適量}{食用水:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/264449/large_9b753b9498146ab4.jpg,https://icook.tw/recipes/264449
五彩鮮蔬墨西哥捲【低油高纖便當早餐點心】,{墨西哥玉米餅皮:1張}{海苔:1張}{燙熟放涼黃秋葵:2根}{燙熟放涼玉米筍:2根}{紅蘿蔔絲:15g}{高麗菜絲:60g}{起司片:1片}{蛋皮或蛋皮絲:1顆雞蛋},https://tokyo-kitchen.icook.network/uploads/recipe/cover/264427/large_c616f221b0f50215.jpg,https://icook.tw/recipes/264427
黑豆鮮奶軟餐包,{高筋麵粉:200克}{低筋麵粉:50克}{糖:35克}{奶油:28克}{水:160cc}{鮮奶:20cc}{鹽巴:2克}{酵母粉:1小匙}{黑豆:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/264353/large_21daa6e903b77023.jpg,https://icook.tw/recipes/264353
抹茶鮮蔬蛋捲,,https://tokyo-kitchen.icook.network/uploads/recipe/cover/257931/large_8e4d49933ffaa066.jpg,https://icook.tw/recipes/257931
吐司佐酪梨醬,{吐司:2片}{蛋:2顆}{橄欖油:適量}{酪梨:1顆}{牛番茄(半顆):50g}{洋蔥:1/4顆}{檸檬汁:10cc}{蜂蜜:1匙}{蒜泥:1瓣}{鹽:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/261740/large_070f03a3d3be47c0.jpg,https://icook.tw/recipes/261740
蘿蔔糕炒蛋加香腸,{蘿蔔糕:適量}{香腸:2根}{蛋:2顆}{油:1-2大匙}{蔥:1-2支}{白胡椒粉:適量}{蔭醬油:20g}{清醬油:10g}{熱開水:15g}{糖:適量}{蒜頭:1瓣},https://tokyo-kitchen.icook.network/uploads/recipe/cover/254912/large_64be0d0c22cc9e73.jpg,https://icook.tw/recipes/254912
莧菜起司蛋餅,{中筋麵粉:31g}{日本太白粉:11g}{鮮奶:60g}{莧菜葉:適量}{白胡椒粉:少許}{香菇:3朵}{韭黃:適量}{雞蛋:1顆}{鹽:少許}{起司片:1片},https://tokyo-kitchen.icook.network/uploads/recipe/cover/257892/large_94832d341d8a4845.jpg,https://icook.tw/recipes/257892
自製全麥蛋餅皮,{全麥麵粉:150克}{高筋麵粉:150克}{滾水:150克}{冰水:60克}{鹽巴:6克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/257206/large_56ef4ead192935e6.jpg,https://icook.tw/recipes/257206
芒果雞蛋馬鈴薯起司沙拉~輕食水果沙拉早餐,{芒果切丁:1/2顆}{水煮蛋切半或一開四:2個}{蔥花:1大匙}{帕馬森起士粉:1小匙}{胡椒粉(可省略):少許}{橄欖油:2大匙}{烏醋或紅酒醋或義式陳醋:1~2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/256720/large_4577f576d966ea60.jpg,https://icook.tw/recipes/256720
健康培根蛋吐司,{吐司:4片}{荷包蛋:2顆}{培根:4片}{美生菜:4片（依個人愛好）}{小黃瓜（小條）:1條}{油:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/256991/large_23e9205b390007f0.jpg,https://icook.tw/recipes/256991
