Cuisine,Ingredients,Image,Url
韭菜盒子,{中筋麵粉:600克}{滾水:300毫升}{冷水:150毫升}{韭菜:300克}{豆乾:10片}{冬粉:2把}{蛋:3顆}{蝦皮:50克}{絞肉:150克}{醬油:25克}{香油:10克}{鹽:15克}{香料共和國白胡椒粉:15克}{LE CREUSET煎鍋:1個}{SCANPAN平底鍋:1個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/256385/large_250dad1eeaf7e43f.jpg,https://icook.tw/recipes/256385
酥脆內軟の蔥油酥厚燒餅。平底鍋烘烤做法,{中筋粉:200克}{溫水:115克}{酵母:2克}{鹽:約 2 - 3克}{油:1湯匙}{中筋粉:40克}{油:25克}{蔥切成末:40克}{鹽:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/250708/large_7c9359bb9687a749.jpg,https://icook.tw/recipes/250708
人人稱讚的韭菜盒子，皮薄料多，香噴噴~~,{中筋麵粉:300克}{滾水:150克}{常溫水:50克}{薑:25克}{韭菜:300克}{豆干:100克}{豬絞肉:200克}{蝦皮:15克}{紅蘿蔔:50克}{白芝麻油:1大匙}{醬油膏:3大匙}{白胡椒粉:適量}{醬油:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/245472/large_3f0c1e97666a53ef.jpg,https://icook.tw/recipes/245472
蘿蔔絲餅,{中筋麵粉:500公克}{冷水:300CC}{鹽:1小匙}{豬油:2大匙}{白蘿蔔:1條}{蝦皮:1/2碗}{蔥花:1碗}{雞蛋:3顆}{鹽:2大匙}{白胡椒粉:1大匙}{味精:少許}{香油:2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/248504/large_bb0b051f40432629.jpg,https://icook.tw/recipes/248504
牛肉餡餅,{中筋麵粉:500公克}{胡蘿蔔水:220CC}{冷水:80CC}{沙拉油:1大匙}{牛絞肉:1斤}{蔥末:2根}{薑末:4片}{豬皮凍水:適量}{醬油:1大匙}{米酒:1大匙}{鹽:1小匙}{味精:1小匙}{白胡椒粉:1/2小匙}{香油:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/248019/large_db3059dbe10f854e.jpg,https://icook.tw/recipes/248019
韭菜盒子,{中筋麵粉:500g}{冷水:250CC}{韭菜:1斤}{冬粉:2把}{蝦皮:1/2碗}{雞蛋:2顆}{鹽:2小匙}{白胡椒粉:1小匙}{豬油蔥:3大匙}{豬油(麵皮用):3大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/246905/large_a9d5e8aea7350383.jpg,https://icook.tw/recipes/246905
蔥油餅,{中筋麵粉:900g}{糖:30g}{油:100g}{蔥:300g}{黑胡椒粉:8g}{水:580g}{麵粉:80g}{油:110g}{鹽:30g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/246810/large_eb20c9918ea7fb0a.jpg,https://icook.tw/recipes/246810
香酥蔥油餅（外酥內Q😊）,{中筋麵粉:1杯}{熱水:80cc}{冷水:30cc}{蔥:隨喜}{香油:少許欸}{鹽、胡椒:少許}{油:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/246584/large_f4f8386166213c67.jpg,https://icook.tw/recipes/246584
健康少油蔥油餅,{青蔥:一大把}{中筋麵粉（或稱粉心粉）:300g}{熱水:125g}{冷水:60g}{鹽:5g}{橄欖油（或豬油或沙拉油）:適量}{白胡椒:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/246282/large_af74a1e4d5697f15.jpg,https://icook.tw/recipes/246282
蔥油餅,{中筋麵粉:300g}{鹽:2g}{熱水:150ml}{冷水:90ml}{蔥:一把}{油:3小匙}{鹽:1小匙}{白胡椒:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/237264/large_a791af86ea414527.jpg,https://icook.tw/recipes/237264
