Cuisine,Ingredients,Image,Url
巧莓之曲（巧克力鏡面慕斯+草莓凍）,{蛋白:68g}{砂糖:23g}{檸檬汁:少許}{糖粉:48g}{杏仁粉:53g}{低筋麵粉:14g}{鮮奶:100g}{鮮奶油:75g}{蛋黃:50g}{巧克力60~70%:175g}{金級吉利丁片:8g}{打發鮮奶油:375g}{海藻糖:30g}{砂糖:70g}{草莓果泥:141g}{砂糖:35g}{金級吉利丁片:3g}{水:125g}{葡萄糖漿:15g}{砂糖:250g}{可可粉:60g}{吉利丁片:7g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277724/large_99892555b9617b6d.jpg,https://icook.tw/recipes/277724
荷蘭奶奶的巧克力布朗尼（7吋烤盤）,{63%鈕扣型巧克力:50g}{奶油:110g}{低筋麵粉:80g}{紅糖:150g}{蛋:2顆}{泡打粉:1茶匙}{碎堅果（我習慣用核桃）:110g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277035/large_b30a510ddc67dad8.jpg,https://icook.tw/recipes/277035
超濕潤美式巧克力蛋糕-免磅秤,{中筋麵粉:1又3/4杯}{無糖可可粉:1杯}{糖:1又1/2杯}{無鋁泡打粉:3茶匙}{小蘇打粉:1茶匙}{鹽:1/5茶匙}{大顆的蛋:2顆}{植物油:1/2杯}{牛奶:210 ml}{白醋或檸檬汁:30 ml}{熱的黑咖啡:1杯}{香草精:2茶匙}{黑巧克力塊:100公克}{鮮奶油:3/4杯}{糖(可省):1大匙}{莓果(可省):半杯}{中筋麵粉:225公克}{無糖可可粉:130公克}{糖:150公克}{無鋁泡打粉:15公克}{小蘇打粉:5公克}{鹽:1公克}{大顆蛋:2顆}{植物油:107公克}{牛奶:210公克}{醋或檸檬汁:30公克}{熱咖啡:240公克}{香草精:10公克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275135/large_4648f76bc3bebf6f.jpg,https://icook.tw/recipes/275135
巧克力軟餅乾,{黑糖:90克}{無鹽奶油（融化）:113克}{蛋:1顆}{中筋麵粉:180克}{蘇打粉:7克}{鹽:3克}{香草精:5克}{巧克力豆:150克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/263175/large_e86b5880a13ec8e2.jpg,https://icook.tw/recipes/263175
布朗尼餅乾,{semi-sweet巧克力豆:110g}{中筋麵粉:62g}{無糖可可粉:10g}{泡打粉:1/2茶匙}{鹽:1/8茶匙}{無鹽奶油(室溫軟化):36g}{黑糖:40g}{蛋(室溫):1顆}{香草精:1/2茶匙}{敲碎塊核桃:50g}{巧克力豆:45g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/263184/large_780c4a4b5e95c3e1.jpg,https://icook.tw/recipes/263184
🥂經典巧克力杏仁餅乾 🥂,{無鹽奶油(伊思妮):80g}{糖粉:60g}{常溫蛋:1顆}{低筋麵粉(日本鑽石麵粉):120g}{無糖可可粉:20g}{杏仁片:60g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/263110/large_3e975b18785316ec.jpg,https://icook.tw/recipes/263110
香濃巧克力擠花曲奇餅乾,{無鹽奶油:100克}{無糖可可粉:20克}{低筋麵粉:120克}{砂糖:50克}{蛋黃:1顆}{鹽:1克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/259510/large_c9447f59509dbf4b.jpg,https://icook.tw/recipes/259510
巧克力杏仁餅乾,{杏仁片:100g}{無鹽奶油:160g}{糖:90g}{蛋:一顆}{巧克力粉:60g}{低筋麵粉:220g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/258936/large_92664cc695fb6f57.jpg,https://icook.tw/recipes/258936
巧克力餅乾,{白油(可用無鹽奶油代替):120g}{酥油(可用無鹽奶油代替):200g}{鹽:1g}{糖粉:280g}{奶粉:15g}{水:120g}{高筋麵粉:480g}{低筋麵粉:160g}{可可粉:60g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/256986/large_1d74e4f388189e58.jpg,https://icook.tw/recipes/256986
古典巧克力蛋糕【影片】,{6吋圓模:1個}{蛋黃:3個份}{糖:12g}{無鹽奶油:40g}{鮮奶油:40g}{巧克力(小撇步):82g}{蘭姆酒(可略):1小匙}{無糖可可粉:15g}{低筋麵粉:30g}{蛋白:3個份}{鹽:1小撮}{檸檬汁:5g}{糖:40g}{糖粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/253888/large_f1642ff254be34ed.jpg,https://icook.tw/recipes/253888
巧克力卡士達（爆漿蛋糕核心👍）,{蛋黃:2顆}{鮮奶:180cc}{奶油:20g}{細砂糖:50g}{玉米粉:20g}{可可粉:5g}{鮮奶油:120cc}{萊姆酒:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/250799/large_8b269cfbf10488b9.jpg,https://icook.tw/recipes/250799
香濃巧克力壓模造型餅乾,{無鹽奶油:50克}{低筋麵粉:100克}{無糖可可粉:30克}{糖粉:40克}{蛋:1個}{鹽:1克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/249697/large_2d505ff5b79239ff.jpg,https://icook.tw/recipes/249697
🍫杏仁巧克力餅乾,{細砂糖:100g}{無鹽奶油:100g}{低筋麵粉:160g}{可可粉:20g}{杏仁片（杏仁粒）:100g}{鹽:少許}{鮮奶:10克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/249426/large_02c7e214183eaef3.jpg,https://icook.tw/recipes/249426
巧克力乳酪軟歐麵包,{高筋麵粉:200克}{糖:25克}{鮮奶:125cc}{鹽:3克}{可可粉:25克}{奶油:20克}{酵母粉:1/2小匙}{耐高溫可可豆:適量}{乳酪起司:100克}{糖:30-40克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/249143/large_bfc7ff18d4cf26a1.jpg,https://icook.tw/recipes/249143
