Cuisine,Ingredients,Image,Url
咕咕霍夫耶誕麵包,{高筋麵粉:３００g}{鮮奶:７０g}{水:１３０g}{酵母:3g}{鹽巴:5g}{無鹽奶油:15g}{細糖:25g}{酒漬果乾:150g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/279732/large_51fec3e7c4421bf8.jpg,https://icook.tw/recipes/279732
優格奶香小布利~聖誕節派對點心,{中筋麵粉:400克}{白砂糖:64克}{塩:2克}{奶油:72克}{自製優格:120克}{酵母粉:4克}{奶粉:24克}{蛋:1個}{全蛋液:1個}{芝麻粒:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/279404/large_ec7a3ebc0fb6faf4.jpg,https://icook.tw/recipes/279404
聖誕花圈麵包,{高筋麵粉:200克}{水:90cc}{鮮奶:30cc}{糖:30克}{奶油:15克}{鹽巴:3克}{杏仁片:適量}{蛋液:適量}{能多益:適量}{紅豆沙:適量}{白豆沙:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/279182/large_7474dbc9c09e7d28.jpg,https://icook.tw/recipes/279182
🎄耶誕彩色花圈麵包🎄,{高筋麵粉:250g}{無鹽奶油:30g}{白砂糖:25g}{奶粉:10g}{速發酵母:3g}{鹽:3g}{水:120g}{抹茶粉:5g}{紅趜粉:5g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277548/large_769c0e63f4562c1a.jpg,https://icook.tw/recipes/277548
鹽可頌（海鹽奶油捲）,{高筋麵粉:230g}{低筋麵粉:20g}{細白砂糖:20g}{鹽:3g}{速發酵母:2.5g}{水:160±10ml}{無鹽奶油:10g}{有鹽奶油（內餡）:50g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277494/large_86e295dc6abf94fe.jpg,https://icook.tw/recipes/277494
🎄免油炸版聖誕波提甜甜圈,{低筋麵粉:200g}{糯米粉:80g}{泡打粉:4g}{嫩豆腐:200g}{砂糖:100g}{牛奶:100ml}{蛋:2個}{無鹽奶油:50g}{裝飾:如下}{黑巧克力:適量}{白鈕扣巧克力:適量}{杏仁片:適量}{杏仁果:適量}{裝飾糖霜糖果:適量}{抹茶粉（調色）:適量}{紅麯粉（調色）:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277256/large_ae3229599d3e3fb0.jpg,https://icook.tw/recipes/277256
菠菜小餐包,{高筋麵粉:150 g}{水:85 g}{新鮮酵母:15 g}{高筋麵粉:350 g}{菠菜汁(菜:水=1:1):150 g}{糖:40 g}{鹽:5 g}{蛋:50 g}{酸奶 (可用奶油取代):50 g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277073/large_894d847090aecf01.jpg,https://icook.tw/recipes/277073
起司小餐包,{高筋麵粉:350克}{水:230克}{速發酵母:1克}{高筋麵粉:150克}{水:100克}{奶粉:30克}{細砂糖:40克}{發酵奶油:40克}{鹽:5克}{速發酵母:4克}{起司片:10片}{起司片:5片},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277029/large_c82f7568007f31f7.jpg,https://icook.tw/recipes/277029
👩‍🍳帕瑪森起士乳酪麵包,{高筋麵粉:500g}{細砂糖:30g}{鹽:10g}{速發酵母:5g}{牛奶:360g}{無鹽奶油:20g}{內餡:如下}{起士片:10片}{外層:如下}{帕瑪森起士粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276536/large_504cd856424a09de.jpg,https://icook.tw/recipes/276536
帶骨卡通肉,{低筋麵粉:100g}{無鹽奶油:30g（室溫軟化）}{鮮奶:35g}{糖粉:20g}{高筋麵粉:300}{常溫鮮奶:190g}{蛋黃:一顆}{速發酵母粉:3g}{黑糖粉:35g}{無鹽奶油:35g（室溫軟化）},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275009/large_96665d85fc71f21e.jpg,https://icook.tw/recipes/275009
