Cuisine,Ingredients,Image,Url
日式舒芙蕾+手工果醬,{低筋麵粉:20克}{砂糖:15克}{沙拉油或橄欖油:1/2大匙}{牛奶:1/2大匙}{蛋:1個}{奇異果:500克}{檸檬汁:30克}{砂糖:180克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/279441/large_1ff339a8c2779ed5.jpg,https://icook.tw/recipes/279441
寶可夢燒菓子,{無鹽牛油/奶油:13克}{蛋:25克}{糖:15克}{煉乳:38克}{粟膠/玉米糖膠:15克}{低筋麵粉:125克}{泡打粉:1/4茶匙}{食用色素(紅,黃,橙,藍.啡):適量}{白豆餡:160克}{可可粉:1茶匙}{水:1/2茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277381/large_cff64581031dfdc1.jpg,https://icook.tw/recipes/277381
沖繩黑糖紅豆水羊羹,{豆沙泥（無油）:400g}{沖繩黑糖:80g}{水:520ml}{寒天粉:4~6g}{鹽:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276362/large_43ecd87aa6358720.jpg,https://icook.tw/recipes/276362
蛋黃哥麻糬銅鑼燒,{蛋黃:2個}{蜂蜜:20克}{油:15克}{水:75克}{低筋麵粉:100克}{豉油/醬汁:1/4茶匙}{蛋白:2個}{檸檬汁:幾滴}{糖:35克}{糯米粉:95克}{糖:20克}{水:40克}{白豆蓉:150克}{色素(黃,紅):適量}{黑朱古力/巧克力:適量}{白朱古力/巧克力:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275260/large_b736a8c513af65b1.jpg,https://icook.tw/recipes/275260
【一口銅鑼燒】,{中筋麵粉:60g}{全蛋:一顆}{砂糖:30g}{蜂蜜:1/2大匙}{泡打粉:1/2小匙}{醬油:1/4小匙}{味醂:1/4小匙}{水:30ml}{自製流淚紅豆餡:約180g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/266214/large_52903a4d8c822e78.jpg,https://icook.tw/recipes/266214
地瓜紅豆栗子羊羹,{洋菜粉:6g}{水:600cc}{地瓜泥:60g}{紅豆粒:340g}{栗子:6顆}{糖:2.5大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/252487/large_877c0635fe335755.jpg,https://icook.tw/recipes/252487
超蓬鬆日式梳乎厘班戟【升級版】,{蛋黃:1個}{蛋白:2個}{砂糖:1.5湯匙}{泡打粉:1/4茶匙}{檸檬汁:1/4茶匙}{低筋麵粉（薄力粉）:2湯匙}{牛奶:1湯匙}{牛油:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/250634/large_f6bf1aa35278d302.jpg,https://icook.tw/recipes/250634
♥開動with貓♥櫻花餅,{鹽漬櫻花(泡開瀝乾):12片}{櫻葉(洗淨瀝乾):12朵}{紅豆泥:280g}{水:130g}{紅色食用色素:兩小滴}{白砂糖(上白糖):50g}{低筋麵粉:95g}{白玉粉(糯米粉):5g}{沙拉油(味道淡的植物油):少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/249703/large_bfc99631790fc7e7.jpg,https://icook.tw/recipes/249703
紅豆銅鑼燒,{雞蛋:2個}{低筯麵粉:110g}{奶粉:20g}{牛奶:50ml}{砂糖:15g}{蜜糖:1湯匙}{無鋁泡打粉:1/2茶匙}{紅豆:60g}{水:1800ml}{冰糖:30g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/249012/large_48d9da929c42bd51.jpg,https://icook.tw/recipes/249012
馬鈴薯燉肉,{馬鈴薯:50g}{豬五花肉:100g}{洋葱:1/4顆}{蒟蒻:20g}{紅蘿蔔:50g}{蘆筍:20g}{水:300cc}{柴魚包:1包}{糖:1大匙}{醬油:20cc},https://tokyo-kitchen.icook.network/uploads/recipe/cover/248991/large_d42e70b7d838947b.jpg,https://icook.tw/recipes/248991
