Cuisine,Ingredients,Image,Url
🧡脆皮餅乾卡士達泡芙🧡 (實作影片),{無鹽奶油:35g}{細砂糖:30g}{低筋麵粉:45g}{蛋黃:1個份}{細砂糖a:25g}{牛奶:110g}{玉米粉(或低筋麵粉):8g}{香草豆莢(或香草精1小匙):3cm}{動物性鮮奶油:100g}{細砂糖b:8g}{無鹽奶油:25g}{牛奶(或水):60g}{鹽和糖:各1小撮}{低筋麵粉(或中筋):40g}{全蛋液:2個份},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277559/large_ee3460648baddb8d.jpg,https://icook.tw/recipes/277559
美樂蒂草莓泡芙,{無鹽牛油/奶油:25克}{低筋麵粉:30克}{水:50克}{蛋:1-1.5隻}{淡忌廉/淡奶油:100克}{糖:20克}{草莓香油:1/2茶匙}{白/黃朱古力(巧克力):適量}{黑朱古力(巧克力):適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/268620/large_c291d985e552c8c7.jpg,https://icook.tw/recipes/268620
脆皮冰淇淋泡芙,{無塩奶油:50g}{細砂糖:60g}{杏仁粉:25g}{中筋麵粉:40g}{無塩奶油:50g}{鮮奶:50ml}{水:50ml}{塩:1/4小匙}{中筋麵粉:60g}{全蛋液:100g}{市售冰淇淋:1桶},https://tokyo-kitchen.icook.network/uploads/recipe/cover/248099/large_90614d1bcd56c7fa.jpg,https://icook.tw/recipes/248099
閃電泡芙,{無塩奶油:50g}{水:125ml}{中筋麵粉:75g}{塩:1/4小匙}{全蛋液:100g}{鮮奶油:300ml}{細砂糖:3大匙}{香草精:1小匙}{白巧克力:50g}{苦甜巧克力:50g}{鮮奶油:50ml}{新鮮草莓:數顆}{薄荷葉:數片},https://tokyo-kitchen.icook.network/uploads/recipe/cover/246035/large_ef2e165a4b269fc5.jpg,https://icook.tw/recipes/246035
抹茶泡芙(製作影片),{雞蛋:2 個}{奶油:45 g}{水:100 ml}{麵粉:55 g}{鹽巴:少許}{鮮奶油:200 g}{抹茶粉:15 g}{砂糖:15 g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/224834/large_69d206d64901859c.jpg,https://icook.tw/recipes/224834
草莓小泡芙 輕鬆做不失敗～,{牛奶:230g}{糖:30g}{蛋:1個份}{低筋麵粉:15g}{玉米粉:15g}{無鹽奶油:15g}{香草莢(或香草精1小匙):1/4支}{無鹽奶油:20g}{牛奶(或水):50g}{糖&鹽:各1小撮}{蛋:1個份}{低筋麵粉:25g}{高筋麵粉(見小撇步):15g}{新鮮草莓:數顆}{糖粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/234674/large_1e0921c698bbfdc5.jpg,https://icook.tw/recipes/234674
太妃糖（焦糖）奶油車輪泡芙,{糖粉:適量}{低筋麵粉:40g}{水:60g}{無鹽奶油:25g}{雞蛋:1顆（50g)}{4號珍珠糖:適量}{雞蛋:1顆（50g）}{鮮奶:150g}{砂糖:20g}{玉米粉:15g}{太妃糖醬（焦糖醬）:1大匙}{鮮奶油:100g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/234354/large_383274b3f6221e29.jpg,https://icook.tw/recipes/234354
龍貓原味泡芙皮,{雞蛋:2顆}{無鹽奶油:30g}{鮮奶:90g}{低筋麵粉:60g}{鹽:一小搓},https://tokyo-kitchen.icook.network/uploads/recipe/cover/230986/large_b156a3329bad3e0f.jpg,https://icook.tw/recipes/230986
第一次做就上手：萊姆酒香泡芙,{奶油:30克}{水:300毫升}{低筋麵粉:300克}{蛋:4顆}{鮮奶油:300毫升}{糖:50克}{萊姆酒:10毫升}{香草精:10毫升},https://tokyo-kitchen.icook.network/uploads/recipe/cover/229113/large_9ddf58135c4ab7bb.jpg,https://icook.tw/recipes/229113
泡芙,{水:82g}{奶油:30g}{沙拉油:40g}{鹽:1g}{高筋麵粉:82g}{全蛋:140g（大約3個）}{卡士達:1份},https://tokyo-kitchen.icook.network/uploads/recipe/cover/214780/large_1158b5905afa3344.jpg,https://icook.tw/recipes/214780
檸檬小泡芙,{檸檬汁:25ml}{雞蛋:1顆}{砂糖:40g}{奶油:15g}{檸檬皮屑:1/2顆}{低筋麵粉:25g}{鮮奶:60g}{無鹽奶油:20g}{雞蛋:1顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/211994/large_d190d8e057baa186.jpg,https://icook.tw/recipes/211994
