Cuisine,Ingredients,Image,Url
芋圓,{芋頭:300公克}{地瓜粉:70公克}{太白粉:50公克}{糖:60公克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/279286/large_bd2d491cce45ce31.jpg,https://icook.tw/recipes/279286
天冷來碗❤️地瓜圓黑糖薑茶,{黑糖:3湯匙}{薑:半條}{地瓜:一條}{木薯粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278316/large_d14b6d6e28d8532b.jpg,https://icook.tw/recipes/278316
冬養栗耳甜湯（栗子白木耳）,{栗子:12顆}{白木耳:1朵}{紅棗:12顆}{枸杞:15g}{冰糖:適量}{水:600cc},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271612/large_4394593b3d003c31.jpg,https://icook.tw/recipes/271612
港式養顏糖水 ~ 銀耳南瓜蓮子養血甜湯,{南瓜:半個}{銀耳:1大朵}{紅棗:15粒}{桂圓肉:半碗}{蓮子:1碗},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271588/large_93eb285d1f99c749.jpg,https://icook.tw/recipes/271588
紫米芋頭紅豆湯,{紅豆:210g}{芋頭:1.1Kg}{紫米:100g}{糖:5大匙}{鹽:1/4匙}{水:3L}{椰奶:400ml},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270910/large_cf31fff0af4df27d.jpg,https://icook.tw/recipes/270910
[寵物鮮食食譜] 貓狗木瓜蘋果雪耳湯,{豬骨:300克}{木瓜:300克}{蘋果:250克}{白木耳:10克}{薏仁:20克}{紅棗:5~6顆}{水:2公升},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270493/large_7b823e9f30630413.jpg,https://icook.tw/recipes/270493
核果白木耳湯品-素,{核桃:50g}{腰果:50g}{蓮子:50g}{杏仁(可無):30g}{百合(可無):30g}{白木耳(依自己的喜好):100g}{紅棗(去籽):10-12顆}{枸杞:適量}{紅蘿蔔:150g}{蜜棗:2顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270192/large_92bcc03087d3d552.jpg,https://icook.tw/recipes/270192
紅豆湯圓,{紅豆:1米杯}{水:適量}{糖:適量}{糯米粉:100克（約兩百毫升}{水:100毫升},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270024/large_fdc9a888a50ffbed.jpg,https://icook.tw/recipes/270024
南瓜湯圓°紅豆紫米湯,{紅豆:1杯}{紫糯米:1/2杯}{黑糖:適量}{糯米粉:適量}{白糖粉:適量}{南瓜泥:適量}{抹茶粉:3g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270090/large_fcb50e1632565861.jpg,https://icook.tw/recipes/270090
冰糖紅棗雪梨湯（素食可）,{雪梨:1個}{紅棗:5顆}{枸杞:適量}{冰糖:半米杯},https://tokyo-kitchen.icook.network/uploads/recipe/cover/269554/large_1729e80b827a895e.jpg,https://icook.tw/recipes/269554
