Cuisine,Ingredients,Image,Url
草莓慕絲蛋糕,{草莓:300g}{砂糖:45g}{檸檬汁:1大匙}{鮮奶油:200ml}{白蘭地:1大匙}{吉利丁粉:7克}{水:3大匙}{15公分圓型底分離:1個}{砂糖:20g}{水:40g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/104673/large_4971ea028df18656.jpg,https://icook.tw/recipes/104673
【小貝殼】超容易完美-草莓巧克力蛋糕,{雞蛋:2顆(約100g)}{細砂糖:50g}{低筋麵粉:50g}{可可粉:10g}{無鹽奶油:20g}{水:100g}{細砂糖:50g}{蘭姆酒(或利口酒):適量}{鮮奶油:300g}{細砂糖:15g}{蘭姆酒(或利口酒):2小匙}{草莓:適量}{草莓:適量}{薄荷葉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/281236/large_3570d0bbb2a13b5b.jpg,https://icook.tw/recipes/281236
超easy ♪ 抹茶蒸蛋糕(鬆餅粉),{抹茶粉:1/2小匙}{沙拉油:15g}{蛋:1顆}{牛奶:25g}{無糖優格:25g}{細砂糖:10-15g}{市售鬆餅粉:100g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/280046/large_9fe2213f23be54f2.jpg,https://icook.tw/recipes/280046
咕咕霍夫耶誕麵包,{高筋麵粉:３００g}{鮮奶:７０g}{水:１３０g}{酵母:3g}{鹽巴:5g}{無鹽奶油:15g}{細糖:25g}{酒漬果乾:150g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/279732/large_51fec3e7c4421bf8.jpg,https://icook.tw/recipes/279732
聖誕快樂,{低筋麵粉:150克}{奶油:150克}{糖:120克}{西臘優格:半小瓶}{可可粉:四大匙}{雞蛋:三顆}{泡打粉:一小匙}{苦巧克力:六顆}{糖粉:二大匙}{xo酒:半小杯}{草莓:12顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/279629/large_c33bc3e543228e29.jpg,https://icook.tw/recipes/279629
可可優格杯子蛋糕~ 聖誕節派對點心,{蛋黃:4個}{全蛋:1個}{植物油:60ml}{自製優格:40克}{過篩低粉:55克}{可可粉:10克}{蜂蜜:40克}{冰蛋白:4個}{白砂糖:40克}{檸檬汁:5ml}{杯子模:14個}{擠花袋擠花器:2個}{自製酸奶油:250克}{奶油:90克}{白砂糖:30克}{彩色巧克力米:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278699/large_1df40b68dc75797b.jpg,https://icook.tw/recipes/278699
蠟筆小新生乳酪蛋糕,{消化餅:50克}{無鹽牛油/奶油:20克}{牛奶:100克}{魚膠粉/吉利丁:6克}{忌廉芝士/奶油乳酪:200克}{糖:50克}{檸檬汁:15克}{忌廉/淡奶油:80克}{竹炭粉:適量}{可可粉:適量}{色素(橙,紅,黃):適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278654/large_9634b73e2330cc1a.jpg,https://icook.tw/recipes/278654
優格巧克力聖誕小蛋糕（全蛋）,{雞蛋:3}{低筋麵粉:70克}{橄欖油:30克}{鮮奶:35cc}{糖:35克}{優格巧克力:適量}{蔓越莓:適量}{杏仁片:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278632/large_aa956d8323023fdd.jpg,https://icook.tw/recipes/278632
草莓漸層生乳酪蛋糕【免烤箱、超詳細步驟】,{6 吋活動底蛋糕模具:1 個}{烘焙紙:模具底大小}{消化餅乾:100 克}{奶油:45 克}{奶油乳酪:150 克}{動物性鮮奶油:100 毫升}{原味優格:100 克}{砂糖:20 克}{吉利丁片:7.5 克}{冰水 (軟化吉利丁片用):300 毫升}{新鮮草莓:140 克}{砂糖:30 克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278579/large_027796245142cbc8.jpg,https://icook.tw/recipes/278579
古早味起司乳酪蛋糕,{耐高溫乳酪丁:適量}{起司:2片}{蛋黃:3}{鮮奶:35cc}{橄欖油:30cc}{糖:10克}{低筋麵粉:45克}{蛋白:3}{糖:40克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278332/large_65713173cb3b4827.jpg,https://icook.tw/recipes/278332
黑可可優格千層蛋糕卷～聖誕節派對點心,{全蛋約2-3個:130克}{白砂糖:30克}{低筋麵粉:120克}{黑可可粉:10克}{融化奶油:45克}{自製優格:110克}{鮮奶:200ml}{鮮奶油:200ml}{白砂糖:20克}{濾網:1個}{玉子燒方形不沾鍋:1個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278063/large_7ec4e4eb40db3b2e.jpg,https://icook.tw/recipes/278063
巧莓之曲（巧克力鏡面慕斯+草莓凍）,{蛋白:68g}{砂糖:23g}{檸檬汁:少許}{糖粉:48g}{杏仁粉:53g}{低筋麵粉:14g}{鮮奶:100g}{鮮奶油:75g}{蛋黃:50g}{巧克力60~70%:175g}{金級吉利丁片:8g}{打發鮮奶油:375g}{海藻糖:30g}{砂糖:70g}{草莓果泥:141g}{砂糖:35g}{金級吉利丁片:3g}{水:125g}{葡萄糖漿:15g}{砂糖:250g}{可可粉:60g}{吉利丁片:7g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277724/large_99892555b9617b6d.jpg,https://icook.tw/recipes/277724
【小貝殼】巧克力布朗尼,{苦甜巧克力:110g}{無鹽奶油:120g}{砂糖:105g}{鹽:0.1g}{雞蛋:100g}{咖啡酒:1小匙}{低筋麵粉:50g}{可可粉:10g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277668/large_1b748f568321f2d4.jpg,https://icook.tw/recipes/277668
迷你小熊蛋糕捲,{蛋黃:2顆}{液體植物油:22克}{鮮奶:35克}{低筋麵粉:32克}{可可粉:10克}{蛋白:2顆}{細砂糖:30克}{無鹽奶油:30克}{奶油乳酪:30克}{糖粉:20克}{可可粉:一小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277331/large_44d47fa4821e0d27.jpg,https://icook.tw/recipes/277331
荷蘭奶奶的巧克力布朗尼（7吋烤盤）,{63%鈕扣型巧克力:50g}{奶油:110g}{低筋麵粉:80g}{紅糖:150g}{蛋:2顆}{泡打粉:1茶匙}{碎堅果（我習慣用核桃）:110g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277035/large_b30a510ddc67dad8.jpg,https://icook.tw/recipes/277035
角落生物慕士蛋糕,{忌廉/淡奶油:95克}{無鹽牛油/奶油:10克}{鹽:1/4茶匙}{糖:150克}{水:30克}{蛋:2個}{糖:40克}{低筋麵粉:35克}{粟粉/玉米粉:5克}{油:10克}{香草精:1/2茶匙}{魚膠粉/吉利丁:5克}{飲用水:20克}{忌廉/淡奶油:150克}{焦糖醬:125克}{白朱古力:200克}{黑朱古力:適量}{油性色素(紅,黃,藍):適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275602/large_3dff0e638fab3f52.jpg,https://icook.tw/recipes/275602
超濕潤美式巧克力蛋糕-免磅秤,{中筋麵粉:1又3/4杯}{無糖可可粉:1杯}{糖:1又1/2杯}{無鋁泡打粉:3茶匙}{小蘇打粉:1茶匙}{鹽:1/5茶匙}{大顆的蛋:2顆}{植物油:1/2杯}{牛奶:210 ml}{白醋或檸檬汁:30 ml}{熱的黑咖啡:1杯}{香草精:2茶匙}{黑巧克力塊:100公克}{鮮奶油:3/4杯}{糖(可省):1大匙}{莓果(可省):半杯}{中筋麵粉:225公克}{無糖可可粉:130公克}{糖:150公克}{無鋁泡打粉:15公克}{小蘇打粉:5公克}{鹽:1公克}{大顆蛋:2顆}{植物油:107公克}{牛奶:210公克}{醋或檸檬汁:30公克}{熱咖啡:240公克}{香草精:10公克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275135/large_4648f76bc3bebf6f.jpg,https://icook.tw/recipes/275135
可可戚風蛋糕【影片】,{6吋「非不沾」活動圓模:1個}{蛋黃(大型蛋):3個}{牛奶或水:50g}{植物油(無特殊氣味的):20g}{低筋麵粉:45g}{無糖可可粉:15g}{蛋白(大型蛋):3個}{檸檬汁或白醋:3g}{鹽:1小撮}{細砂糖:43-45g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275165/large_4be95983fe352fda.jpg,https://icook.tw/recipes/275165
貝殼檸香瑪德蓮,{中筋麵粉:120g}{白色細砂糖:80g}{雞蛋:3顆}{無鹽奶油:100g}{泡打粉:一小湯匙}{鹽:一小湯匙}{檸檬汁:一顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275070/large_0d8353b2055f92c8.jpg,https://icook.tw/recipes/275070
熊抱哥木乃伊戚風蛋糕,{蛋白:6隻}{糖:100克}{蛋黃:6隻}{低筋麵粉:80克}{水:80克}{油:80克}{草莓香油:1茶匙}{紅色色素:適量}{藍色色素:適量}{白朱古力/巧克力:適量}{草莓香油:1/2茶匙}{水:1/2湯匙}{朱古力片/巧克力片:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/273069/large_f42d29137f67e6de.jpg,https://icook.tw/recipes/273069
萬聖節 🎃 黑蜘蛛牛奶巧克力 杯子蛋糕,{全蛋:1顆}{蛋黃:3顆}{細砂糖:10克}{葡萄籽油:45克}{牛奶:65cc}{過篩低粉:65克}{無糖可可粉:20克}{蛋白:3顆}{檸檬汁:5cc}{細砂糖:45},https://tokyo-kitchen.icook.network/uploads/recipe/cover/272653/large_b11783b8f2817bd5.jpg,https://icook.tw/recipes/272653
萬聖節 天然百香果南瓜造型🎃杯子蛋糕,{百香果汁:50cc}{細砂糖:30克}{蛋黃:5顆}{葡萄籽油:40克}{過篩低筋麵粉:75克}{蛋白:5顆}{檸檬汁:約10cc}{細砂糖:45克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/272189/large_b3ddb0acbd793619.jpg,https://icook.tw/recipes/272189
可可起司球,{無鹽融化奶油:60g}{蜂蜜:10g}{牛奶:25g}{全蛋(不含蛋殼）:60g}{可可粉:20g}{低筋麵粉:60g}{小蘇打粉:1g}{糖:60g}{高融點起司丁:適量}{檸檬巧克力:適量}{裝飾彩米:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/272292/large_33eb7c281b985e52.jpg,https://icook.tw/recipes/272292
香草蒸蛋糕【電鍋版】,{全蛋:3顆}{白砂糖:120g}{牛奶:90c.c}{沙拉油:75ml}{低筋麵粉:180g}{無鋁泡打粉（一般泡打粉）:3茶匙}{香草精:20c.c},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270962/large_4d4ddcc43dde6bd9.jpg,https://icook.tw/recipes/270962
電鍋蒸蛋糕-巧克力蛋糕（8吋）,{蛋黃:6顆}{油:60g}{巧克力粉:20g}{熱水:75g}{低筋麵粉:95g}{蛋白:6顆}{糖:60g}{鹽:一點點},https://tokyo-kitchen.icook.network/uploads/recipe/cover/269654/large_282c7d1d7d477153.jpg,https://icook.tw/recipes/269654
