Cuisine,Ingredients,Image,Url
超簡易料理：蔥薑蒸雞,{去骨雞腿肉：:1 隻}{老薑：:數片}{青蔥：:1 隻}{水：:1 匙}{醬油：:1 匙}{白胡椒：:少許}{鹽：:0.5 小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/273278/large_049d5ef41c4d3f35.jpg,https://icook.tw/recipes/273278
蛋黃中卷_電鍋料理 年菜冷盤,{中型透抽(中卷):1隻}{毛豆仁:2大匙}{鹹蛋黃:8~10顆}{米酒:1/2小匙}{牙籤:2~3支}{美乃滋:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/72174/large_4da38e3b1b1bdc06.jpg,https://icook.tw/recipes/72174
炊蒸古早味蘿蔔糕(電鍋版),{白蘿蔔:1大條}{蝦米:15g}{香菇:中型5朵}{絞肉:150g~180g}{自製紅蔥酥（油）:3大匙}{在來米粉:600g}{太白粉:20g}{白胡椒粉:1大匙}{鹽:4小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278041/large_8be849afbf90af57.jpg,https://icook.tw/recipes/278041
麻油雞香菇高麗菜飯（電鍋版）,{雞腿肉:一隻}{高麗菜:1/4}{乾香菇:5朵}{薑片:8片}{枸杞:ㄧ湯匙}{麻油:2大匙}{米酒:量米一杯}{水:量米一杯半}{米:兩杯}{鹽:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275227/large_e117583099c3b8e8.jpg,https://icook.tw/recipes/275227
海南雞飯（電鍋版本）,{半隻雞:半隻}{日本米:1量杯}{雞高湯:量杯半杯}{水:量杯半杯}{香茅:兩根}{薑末:適量}{蔥:3根}{蒜末:1顆量}{香油:1匙}{醬油:2匙}{辣椒:2根}{砂糖:1匙}{薑末:2大匙}{青檸:1顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271522/large_1beedcc93edde982.jpg,https://icook.tw/recipes/271522
麻油香菇菜飯【電鍋料理】,{白米:2杯}{老薑:15g}{乾香菇:15g}{高麗菜:250g}{水:1杯}{麻油:2.5大匙}{鹽:1.5茶匙}{米酒:3/4杯},https://tokyo-kitchen.icook.network/uploads/recipe/cover/273676/large_6788d0fc077a4097.jpg,https://icook.tw/recipes/273676
《電鍋料理》蓮藕燉雞湯,{蓮藕:2枝}{雞肉:6塊}{魷魚:半條}{薑片:6片}{水:800C.C}{米酒:適量}{鹽:1小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/273288/large_2a1a89862d99a247.jpg,https://icook.tw/recipes/273288
(大同電鍋)酵母版黑糖糕,{中筋麵粉:105g}{樹薯粉或太白粉:20g}{白玫瑰速發乾酵母:1.2g}{奧莉塔玄米油:10g}{6吋蛋糕模:1個}{沖繩黑糖:40g-60g}{清水:45g}{蜂蜜:10g}{冷水:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/273323/large_552fd216386c5954.jpg,https://icook.tw/recipes/273323
清燉牛肉湯（電子壓力鍋）,{牛楠(Brisket):1614克}{薑片:2片}{青蔥:2把}{八角:2個}{小紅蘿蔔:20-30根}{花椒粒（三隻手指抓起的份量）:一小把}{胡椒粒（三隻手指抓起的份量）:一小把}{月桂葉:2片}{洋蔥:1顆}{鹽巴:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/272662/large_8b364e5cd9ed228d.jpg,https://icook.tw/recipes/272662
超暖、簡易電鍋版~新加坡肉骨茶,{豬小排:530克}{新加坡肉骨茶香料包:1包}{蒜頭:4~5顆}{白胡椒粉:1/4茶匙或少許}{鹽巴:酌量}{高鮮味素:酌量或不加}{水:約6~8碗水},https://tokyo-kitchen.icook.network/uploads/recipe/cover/272233/large_e9788e824306e6c1.jpg,https://icook.tw/recipes/272233
南瓜枸杞小米粥(電鍋版),{小米:80公克}{南瓜 :150公克}{枸杞:15公克}{水:800C.C}{鹽 :1/3小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271964/large_36ca16f365f53f63.jpg,https://icook.tw/recipes/271964
家鄉味鹹飯（電鍋版）,{蔥:一根}{胡蘿蔔:3/1依個人喜好}{五花肉或三層肉:半斤多}{乾香菇:8-10朵}{干貝:適量}{蛤蜊:一斤}{高麗菜:4/1顆}{白米:3-4杯},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271912/large_c81eb544a7603c31.jpg,https://icook.tw/recipes/271912
山藥排骨湯（電鍋料理）,{山藥:1段}{排骨:5塊}{蒜頭:8瓣}{薑:4片}{鹽:酌量}{水:酌量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271815/large_cdc129e86ef26703.jpg,https://icook.tw/recipes/271815
滷溏心蛋♥（電鍋煮蛋版）,{蛋:4個}{水:30cc}{醬油/味醂:各60cc}{冷開水:180cc},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271670/large_a55547088079c3fd.jpg,https://icook.tw/recipes/271670
電鍋料理～人蔘雞腿湯,{土雞腿:2支}{小雞腿:2支}{雞翅:2支}{人蔘片:6片}{黃耆:6片}{紅棗:5顆}{枸杞:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271640/large_73424ae79003fd02.jpg,https://icook.tw/recipes/271640
香辣滷牛腱 & 醬牛肉-電飯鍋滷煮超簡單,{蒜頭:4辦}{青蔥:2支}{薑片:4~6片}{八角:3～4個}{醬油:1大匙}{老抽:1大匙}{醬油膏:1大匙}{紹興酒:2大匙}{五香粉:1/2大匙}{香辣醬:2大匙}{辣豆瓣醬:2~3大匙}{冰糖 或 白砂糖:2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271410/large_ade2fd6823692f94.jpg,https://icook.tw/recipes/271410
蕃茄雞肉燉飯(電鍋版),{白米:半杯}{去骨雞腿肉:150g}{牛蕃茄:1顆}{昆布:1片}{柴魚高湯:半杯},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270956/large_f654b34d89434ff0.jpg,https://icook.tw/recipes/270956
交給電鍋的【蒜頭蛤蜊雞湯】,{帶骨雞腿（或雞架骨）:5~6支}{蒜頭:15~20個}{蛤蜊:1盒（約200公克）}{薑片:3片}{水:自己加}{鹽巴:自己加},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271016/large_3213479e26234edb.jpg,https://icook.tw/recipes/271016
