Cuisine,Ingredients,Image,Url
拔絲地瓜(免油炸),{地瓜(約拳頭大小):2顆}{白糖:2大匙}{鹽:1/4小匙}{水:1/2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/109015/large_3470b2f4bce8afd8.jpg,https://icook.tw/recipes/109015
烤箱版的豆乳雞,{去骨腿排:1個}{豆腐乳:2小塊}{味醂:2湯匙}{醬油:5湯匙}{辣椒:1根}{蒜頭:10g}{胡椒粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278224/large_ed406068a40af214.jpg,https://icook.tw/recipes/278224
鹿港芋丸,{芋頭刨粗絲:700克}{鹽:5克}{白胡椒粉:1/2小匙}{五香粉:1/4小匙}{砂糖:1/2小匙}{細地瓜粉:50克}{豬絞肉:200克}{醬油:2小匙}{白胡椒粉:1/2小匙}{五香粉:1/4小匙}{砂糖:1/2小匙}{太白粉:1小匙}{油蔥酥:2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275160/large_51149509eeddf96c.jpg,https://icook.tw/recipes/275160
(大同電鍋)酵母版黑糖糕,{中筋麵粉:105g}{樹薯粉或太白粉:20g}{白玫瑰速發乾酵母:1.2g}{奧莉塔玄米油:10g}{6吋蛋糕模:1個}{沖繩黑糖:40g-60g}{清水:45g}{蜂蜜:10g}{冷水:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/273323/large_552fd216386c5954.jpg,https://icook.tw/recipes/273323
台式小吃豬血湯,{豬血:100克}{酸菜末:10克}{油蔥酥:5克}{韭菜:1碗}{鹽巴:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/263367/large_4d11d5a19724f339.jpg,https://icook.tw/recipes/263367
四神湯 - 電鍋版,{淮山:75g}{芡實:75g}{茯苓:75g}{蓮子:75g}{薏仁:75g}{川芎:30g}{當歸片:半片}{豬腸:500g}{豬排骨:500g}{當歸藥酒:適量}{水:2000ml},https://tokyo-kitchen.icook.network/uploads/recipe/cover/269625/large_046cc5686fc13e30.jpg,https://icook.tw/recipes/269625
台式鹹酥雞,{雞胸肉:2塊}{淡口醬油:1匙}{米酒:半瓶蓋}{白胡椒粉:適量}{五香粉:適量}{鹽酥雞粉:適量}{辣椒粉:依喜愛}{蛋液:半顆}{炸排粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/267985/large_f998334203e3d121.jpg,https://icook.tw/recipes/267985
經典炒米粉 - 簡單好味道,{開水(汆燙米粉用):1 鍋 (煮滾)}{米粉(熱水燙過):400 克}{橄欖油(炒香菇用):1 大匙}{乾香菇(泡水切絲):30 克}{橄欖油(炒蝦米用):1 大匙}{乾蝦米(熱水燙過):20 克}{豬肉絲(醃30分):250 克}{蒜片(豬肉醃料)(去膜切片):4 瓣}{鹽巴(豬肉醃料):1.5 茶匙}{胡椒鹽(豬肉醃料):1.5 茶匙}{油蔥酥:2 大匙}{鹽巴:1 茶匙}{高麗菜(切絲):1/4 顆}{紅蘿蔔(切絲):1/2 根}{香菜(可省略):依個人喜好},https://tokyo-kitchen.icook.network/uploads/recipe/cover/266854/large_8e315d1a1db76769.jpg,https://icook.tw/recipes/266854
蚵仔煎,{蕃薯粉:30克}{太白粉:15克}{鹽:5克}{水:40毫升}{豬油:15克}{鮮蚵:9顆}{永齡農場 小白菜:1根}{水:90毫升}{味噌:15克}{番茄醬:15克}{糖:15克}{辣椒粉:5克}{太白粉水:適量}{DOMO單紅柄零重力深炒平底鍋:1個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/253720/large_16d30204a9280836.jpg,https://icook.tw/recipes/253720
酥炸地瓜球,{地瓜300g:2529g}{地瓜粉160g:1300g}{貳號砂糖45-55g:380g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/263105/large_2fcf99427f23d7dc.jpg,https://icook.tw/recipes/263105
