Cuisine,Ingredients,Image,Url
日式唐揚炸雞,{去骨雞腿肉:2整塊}{白蘿蔔泥:1大匙}{蔥花:適量}{太白粉:適量}{檸檬:適量}{醬油:1大匙}{水:1大匙}{蒜末:2~3瓣}{白砂糖:2小匙}{醬油:1大匙}{香油:1大匙}{米酒:1/2大匙}{白胡椒粉:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/120874/large_69f790b41d29d059.jpg,https://icook.tw/recipes/120874
日式炸豬排,{豬肉:4片}{蛋:2個}{低筋麵粉:適量}{麵包粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/281224/large_1e6051c22aa1e404.jpg,https://icook.tw/recipes/281224
壽喜燒作法,{牛油:少許}{牛肉:隨意}{蒟蒻絲:隨意}{大蔥:1~2根}{香菇:隨意}{你喜歡的材料:隨意}{水:400ml}{砂糖:5大匙}{醬油、料理酒、味醂:各100ml}{烹大師鰹魚粉or柴魚高湯:1茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/279832/large_83447c988f8a983f.jpg,https://icook.tw/recipes/279832
雞肉親子丼,{雞腿:兩隻}{洋蔥:半顆}{蔥綠:少許}{味霖:一大匙}{鰹魚醬油:兩大匙}{水或高湯:1.5杯},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276302/large_e89b35d0a1acd82d.jpg,https://icook.tw/recipes/276302
豬肉味噌湯,{豬肉:100g}{紅蘿蔔:1根}{洋蔥:半顆}{馬鈴薯:1顆}{胡椒鹽:少許}{味增:5大匙}{高湯:1000ml}{水:1000ml}{烹大師鰹魚粉:2茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/274973/large_fa580a825f96a752.jpg,https://icook.tw/recipes/274973
日式菇菇炊飯！松茸風味｜日本秋季料理！,{米:3合(450g)}{松茸風味粉:兩包(可加可不加)}{鴻禧菇:1袋}{舞菇:1袋}{杏鮑菇:1盒}{乾燥香菇:5大朵}{糖漬栗子:數顆}{醬油:2大匙}{味琳:2大匙}{蒜泥:少量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/274935/large_ec3bb5504a52b9ce.jpg,https://icook.tw/recipes/274935
照燒豬排夕食,{茄子:1條}{小黃瓜:小的2條}{蘑菇:半盒}{水煮蛋:2顆}{蕃茄:1顆}{豬梅花:三片}{檸檬:適量}{紅藜麥飯:適量}{糖:1匙}{味霖:2匙}{醬油:3匙}{水:4匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/272333/large_b4565f1ed73d78fc.jpg,https://icook.tw/recipes/272333
親子丼 （輕鬆上桌🐔🥚）,{雞肉:300g}{雞蛋:3顆}{洋蔥:半顆}{高湯:250cc}{醬油:20cc}{味霖:7cc}{蔥絲:適量}{海苔:適量}{酒:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271082/large_e5a6b7cecf58c5c9.jpg,https://icook.tw/recipes/271082
日式蟹棒海苔包（聖誕節系列）,{高筋粉:256克}{低筋粉:24克}{糖:30克}{鹽:少許}{酵母粉:4克}{鮮奶:145克}{蛋:1顆}{奶油:20克}{蟹棒:8根}{美奶滋:適量}{海苔碎:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/270091/large_cc0c8295aa794440.jpg,https://icook.tw/recipes/270091
零失敗日式咖哩飯~超簡單電鍋版,{馬鈴薯:500g}{紅蘿蔔:250g}{五花肉片:400g}{咖哩塊(依照外盒包裝標示):5人份}{醬油(請酌量增減):2大匙}{白飯:5碗}{百頁豆腐:1條切小丁}{鴻喜菇:1包},https://tokyo-kitchen.icook.network/uploads/recipe/cover/269087/large_928ff7339b812db5.jpg,https://icook.tw/recipes/269087
