Cuisine,Ingredients,Image,Url
鍋煎法式鹹蛋糕(露營OK),{洋蔥(切丁):30g}{青椒、黃椒、玉米粒等(切丁):各30g}{小熱狗(切丁):30g}{綠葉蔬菜(切細):3~4葉}{乳酪絲或起司:10g}{融化的奶油:15g}{鬆餅粉:100g}{鮮奶:50g}{蛋:1顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/262786/large_a919430d1b40e2d8.jpg,https://icook.tw/recipes/262786
普羅旺斯燉蔬菜,{綠櫛瓜:1條}{黃櫛瓜:1條}{茄子:1條}{番茄:5顆}{橄欖油:5克}{紅甜椒:1顆}{洋蔥:1顆}{西洋芹:1支}{蒜頭:3瓣}{番茄糊:150克}{迷迭香:1支}{百里香:1支}{羅勒:5片}{綜合乾燥香草:5克}{鹽:5克}{香料共和國黑胡椒:5克}{DOMO單紅柄零重力深炒平底鍋:1個}{法國magimix食物處理機:1台}{LE CREUSET鑄鐵鍋:1個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/258905/large_e013e9713922adb1.jpg,https://icook.tw/recipes/258905
法式檸香鮭魚排,{鮭魚:300克}{鹽:5克}{黑胡椒:5克}{橄欖油:5毫升}{無鹽奶油:10克}{蒜頭:3瓣}{檸檬:1顆}{白酒:200毫升}{無鹽奶油:20克}{蒔蘿:3根}{鹽:3克}{黑胡椒:3克}{Magic彩漾陶瓷塗層智慧鍋:1個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/250421/large_da1340196f5d7833.jpg,https://icook.tw/recipes/250421
法式蘋果克拉芙緹-手繪食譜,{大蘋果:1顆}{奶油:10克}{三溫糖(紅糖、蔗糖亦可):10克}{低筋麵粉:20克}{香草糖(白砂糖、上白糖亦可):20克}{蛋:1顆}{牛奶:90克}{糖粉(裝飾用，可省略):適量}{薄荷葉(裝飾用，可省略):兩片},https://tokyo-kitchen.icook.network/uploads/recipe/cover/249785/large_0d214b935762ac48.jpg,https://icook.tw/recipes/249785
布列塔尼酥餅,{軟化無鹽發酵奶油:118g}{糖粉:70g}{鹽之花:1g}{香草籽:1/4支}{蛋黃:20g}{泡打粉:2.5g}{杏仁粉:27.5g}{低筋麵粉:110g}{細鹽:適量}{蛋黃:一顆}{牛奶:5cc},https://tokyo-kitchen.icook.network/uploads/recipe/cover/249561/large_13337aaea9fdce3e.jpg,https://icook.tw/recipes/249561
法式洋蔥湯,{洋蔥:4顆}{雞高湯OR水:1000cc}{奶油:20克}{麵粉:1匙}{月桂葉:2.3片}{黑胡椒&鹽:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/249484/large_ce4aae14c1258514.jpg,https://icook.tw/recipes/249484
普羅旺斯燉菜/料理鼠王🐭雜菜煲,{櫛瓜黃綠色:各一}{茄子:一根}{番茄:一顆}{橄欖油:適量}{鹽巴:適量}{蒜末:三棵}{洋蔥:4/1顆}{甜椒紅色:1顆}{番茄:兩顆}{小番茄:10-15顆}{鹽巴:2小湯匙}{黑胡椒:2小湯匙}{義大利香料:2小湯匙}{迷迭香:3小湯匙}{醋:4小湯匙}{砂糖:3小湯匙}{帕瑪森乳酪:2小湯匙}{橄欖油:2小湯匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/249181/large_e725a4223af29642.jpg,https://icook.tw/recipes/249181
法式洋蔥濃湯【鑄鐵鍋 法瑯鍋】,{洋蔥（切絲）:2大顆}{奶油:20克}{白酒（可省）:10cc}{雞湯or水:600cc}{黑胡椒:隨喜好}{高達起司條:50克}{帕瑪森起司粉:50克}{法國長棍:1條},https://tokyo-kitchen.icook.network/uploads/recipe/cover/248788/large_a0009fb02c62dcdf.jpg,https://icook.tw/recipes/248788
法式焦糖烤布蕾,{蛋黃:5顆}{牛奶:180g}{鮮奶油:200g}{細砂糖:50g}{香草莢/香草精:1支/半小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/247881/large_74c692d5c371a656.jpg,https://icook.tw/recipes/247881
法式燉烤雞腿,{帶骨雞腿:2隻，780g}{鹽:7g}{沙拉油:1大匙}{雞高湯:500CC}{奶油:25g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/246734/large_f0fcaca359377e5a.jpg,https://icook.tw/recipes/246734
