Cuisine,Ingredients,Image,Url
港式養顏糖水 ~ 銀耳南瓜蓮子養血甜湯,{南瓜:半個}{銀耳:1大朵}{紅棗:15粒}{桂圓肉:半碗}{蓮子:1碗},https://tokyo-kitchen.icook.network/uploads/recipe/cover/271588/large_93eb285d1f99c749.jpg,https://icook.tw/recipes/271588
珍珠丸子,{糯米:150克}{絞肉:300克}{鹽:5克}{水:30克}{糖:2克}{米酒:8克}{香料共和國白胡椒粉:2克}{香油:5克}{JIA 蒸鍋蒸籠:1個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/254014/large_4449c8eae552e41f.jpg,https://icook.tw/recipes/254014
港式蛋塔,{7.5cm蛋塔模具:6個}{低筋麵粉:110克}{無鹽奶油:50克}{砂糖:20克}{蛋液:半隻約25克}{鹽:一小撮}{熱水:75ml}{砂糖:20克}{蛋液:1.5隻}{淡奶:40ml},https://tokyo-kitchen.icook.network/uploads/recipe/cover/249758/large_b6ef289989a4ff33.jpg,https://icook.tw/recipes/249758
港式養顏糖水 ~ 杞子水梨冰糖燉燕窩 ,{水梨:1顆}{枸杞子:1湯匙}{燕窩 (已泡好的 ):約一碗量}{冰糖:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/248643/large_d38d57d6d0b275e9.jpg,https://icook.tw/recipes/248643
CDE 港式薑汁炒芥蘭,{芥蘭:一斤}{蒜蓉:適量}{薑汁:2湯匙}{鹽:半茶匙}{糖:1荼匙}{紹興酒:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/247434/large_2bfc09fe6d546838.jpg,https://icook.tw/recipes/247434
楊枝甘露,{(金煌)芒果:2 個}{韓國柚子蜜:3 大匙}{西谷米:1/2 杯}{液態鮮奶油/椰奶:1/2 杯},https://tokyo-kitchen.icook.network/uploads/recipe/cover/246316/large_3ad07a78b30ccc5a.jpg,https://icook.tw/recipes/246316
【影片】烤西谷米布丁,{西谷米:70克}{卡士達粉:30克}{牛奶:500毫升}{雞蛋:2個}{糖:70克}{三花奶水:80毫升}{無鹽奶油:20克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/244444/large_9ecfa90933ccbb9c.jpg,https://icook.tw/recipes/244444
港式蔥油醬佐蒸雞腿,{大雞腿:兩隻}{青蔥:三隻}{老薑:一小塊}{米酒:兩大匙}{鹽:一小匙}{白胡椒:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/236732/large_9d3d65991021ee82.jpg,https://icook.tw/recipes/236732
簡易快速港式菜頭粿,{白蘿蔔:一條半}{再來米粉:200克}{香菇:4朵}{香腸:一條}{水:500克}{醬油:兩小匙}{蠔油:半小匙}{水:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/240479/large_2881e01b1696f67f.jpg,https://icook.tw/recipes/240479
【影片】港式蘿蔔糕,{白蘿蔔:1公斤}{再來米粉:180克}{玉米澱粉/太白粉:40克}{臘腸:1條}{臘肉:40克}{蝦米:50克}{干貝:40克}{香菇:8隻}{水:300毫升},https://tokyo-kitchen.icook.network/uploads/recipe/cover/239634/large_4d3afbe512f2805c.jpg,https://icook.tw/recipes/239634
