Cuisine,Ingredients,Image,Url
Olivia♥義式小肉丸番茄蔬菜湯,{豬絞肉:150g}{板豆腐:50g}{新鮮香草或乾燥義式香料:一大匙}{鹽巴:半茶匙}{黑胡椒:半茶匙}{洋蔥:半顆切碎}{大蒜:去皮切碎}{西洋芹:兩根}{紅蘿蔔:半根}{牛番茄:兩大顆}{高麗菜:中型的1/4顆 切大塊}{番茄罐頭:100ml 打成汁}{豬高湯:一鍋}{鹽和黑胡椒:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/23984/large_8c6de7116cb980d9.jpg,https://icook.tw/recipes/23984
義大利肉醬,{絞肉<牛或豬都可>:500克<約2盒>}{蒜頭:5顆}{洋蔥:半顆}{磨菇:15顆<1盒>}{紅蘿蔔:1條}{牛蕃茄:2顆}{紅酒:100cc}{黑胡椒:少許}{義式香料:少許}{蕃茄醬:250cc<1瓶>}{月桂葉:5片}{蘿葧葉<可不用>:1小把},https://tokyo-kitchen.icook.network/uploads/recipe/cover/269938/large_529ce708bc5b8c80.jpg,https://icook.tw/recipes/269938
白酒海鮮義大利麵,{義大利麵:半包}{透抽:1大支}{蝦仁:10支}{牛蕃茄（中粒）:2粒}{洋蔥:1/4粒}{蒜頭（大）:4瓣}{九層塔（或羅勒）:1小把}{橄欖油:適量}{白酒:適量}{黑胡椒（粗）:適量}{煮麵水:1碗},https://tokyo-kitchen.icook.network/uploads/recipe/cover/266694/large_70a1b95fdbb29b38.jpg,https://icook.tw/recipes/266694
香煎義式香草雞腿肉,{雞腿肉:480g}{玉米粉:適量}{塩巴:1匙}{義式香料粉:1T}{煎油:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/266642/large_1f00fe2f316841df.jpg,https://icook.tw/recipes/266642
義式烤番茄,{番茄:2顆}{羅勒葉:適量}{義大利香料:適量}{海鹽:適量}{研磨黑胡椒:適量}{橄欖油:適量}{巴薩米可醋:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/263088/large_41f79e2186efc926.jpg,https://icook.tw/recipes/263088
義大利牛肉蕃茄濃湯,{牛肉:230g}{無塩奶油、橄欖油:適量}{洋蔥:1個}{蒜頭:2-3瓣}{胡蘿蔔:150g}{蕃茄:2-3個}{洋菇:160g}{迷迭香:1支}{月桂葉:2片}{罐頭蕃茄:1罐}{蕃茄醬:少許}{糖:2小匙}{高湯:300ml}{義大利綜合香料:適量}{黑胡椒、塩:少許}{帕瑪森乾酪:適量}{法國麵包:數片},https://tokyo-kitchen.icook.network/uploads/recipe/cover/261601/large_87a4ff764b1624c9.jpg,https://icook.tw/recipes/261601
義大利麵佐青醬奶油醬,{煮好的義大利麵:180g}{鮮奶油:200g}{青醬:80g}{洋葱，切丁:1顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/258508/large_98d91dd8e3be9f40.jpg,https://icook.tw/recipes/258508
義式肉丸蔬菜湯,{金寶義大利蔬菜湯 10.5oz:1罐}{水:300ml}{紅椒汁:5ml}{麵包粉:30g}{牛奶:100ml}{橄欖油:10ml}{洋蔥末:半顆}{牛絞肉:200g}{豬絞肉:200g}{蛋:1顆}{巴西里:2g}{蒜末:2顆}{鹽:5g}{黑胡椒:2g}{乾燥辣椒片:2g}{義大利香料:5g}{巴馬乾酪粉:10g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/250830/large_9e957539f7120ea7.jpg,https://icook.tw/recipes/250830
蒜香蜂蜜烤蕃茄＿簡單義式開胃菜,{小番茄:250g}{大蒜:2瓣}{蜂蜜:1大匙}{橄欖油:2大匙}{百里香或義式香料:少許}{鹽巴和黑胡椒:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/244607/large_f786f9ffb6155789.jpg,https://icook.tw/recipes/244607
義式蕃茄燉牛肉,{牛肋條:約900g}{牛蕃茄:3小顆}{洋蔥:1顆}{蘑菇:10朵}{紅蘿蔔:1根}{馬鈴薯:2小顆}{義大利香料:2大匙}{海鹽:2小匙}{蕃茄丁罐頭:1罐}{醬油:3大匙}{冰糖或二砂:3大匙}{熱水:1.5米杯},https://tokyo-kitchen.icook.network/uploads/recipe/cover/248572/large_c0b3b08258d46073.jpg,https://icook.tw/recipes/248572
