Cuisine,Ingredients,Image,Url
水果小冰棒-手繪食譜,{芒果:適量}{鳳梨:適量}{葡萄:適量}{奇異果:適量}{火龍果:適量}{(任何喜歡的水果):適量}{蘋果汁或乳酸飲料:適量}{短冰棒棍(或水果叉):適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/257904/large_05a9fe258c0b0642.jpg,https://icook.tw/recipes/257904
芋頭花生冰磚,{熟芋頭:600克}{水:550克}{糖:180克}{太白粉:60克}{水:500克}{花生醬:150克}{糖:80克}{玉米粉:60克}{Blendtec調理機:1台}{OXO 輕鬆看量杯:1個}{abeego 蜂蠟布:1個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/257996/large_d74c0d7f7391a8d4.jpg,https://icook.tw/recipes/257996
炸吐司冰淇淋,{吐司:12片}{蛋黃:75克}{砂糖:50克}{四葉北海道鮮乳:125毫升}{鮮奶油:200克},https://tokyo-kitchen.icook.network/uploads/recipe/cover/258554/large_8c439428d61ac080.jpg,https://icook.tw/recipes/258554
芒果優格雪糕,{鮮奶油:100g}{原味優格:50g}{芒果醬:50g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/257977/large_329af58f2388314a.jpg,https://icook.tw/recipes/257977
100%芒果冰棒,{土芒果:6-8顆},https://tokyo-kitchen.icook.network/uploads/recipe/cover/259551/large_9ac5dac36e94de24.jpg,https://icook.tw/recipes/259551
葡萄柚冰沙,{葡萄柚（榨汁2+果肉1）:3個}{橙花露:2-3滴}{楓糖或蜂蜜:適量}{氣泡水:200ml}{檸檬汁:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/259145/large_f3a3358fcdd73c2f.jpg,https://icook.tw/recipes/259145
冬瓜糖檸檬剉冰/素食,{冬瓜糖:適量}{檸檬片(去籽):三片}{冰塊:一碗}{水:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/259242/large_4a3eeb43bcf31cc2.jpg,https://icook.tw/recipes/259242
👩‍🍳手工芒果冰淇淋,{芒果泥:300g}{砂糖:50g}{檸檬汁:30g}{蛋黃牛奶液:如下}{蛋黃:3顆}{細砂糖:140g}{鮮奶:400ml}{動物鮮奶油:250ml}{鹽巴:1小匙}{香草精:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/257800/large_9f12e2dadaac94e0.jpg,https://icook.tw/recipes/257800
🍍鳳梨枝仔冰,{鳳梨🍍:約500ml}{水:200ml}{冰糖:50g}{檸檬汁:半顆}{太白粉/玉米粉:4g}{水:4g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/257701/large_b763996a7d1f582a.jpg,https://icook.tw/recipes/257701
西瓜冰棒 西瓜擬真版,{現打西瓜汁:350g}{檸檬汁:些許}{椰奶:90g}{糖(可加可不加):30g}{黑巧克力（做西瓜籽）:少許}{奇異果汁:225g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/257473/large_661c226f4542339f.jpg,https://icook.tw/recipes/257473
芒果挫冰,{芒果:5粒}{冰水:4瓶}{鹽:2小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/257725/large_3a8c325a18af62af.jpg,https://icook.tw/recipes/257725
點點哈密瓜雪花冰❄️,{哈密瓜:半顆}{牛奶:200ml}{蜂蜜:適量}{優格:50ml}{碎腰果:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/255756/large_3e559c58fca5f5dc.jpg,https://icook.tw/recipes/255756
古早味鳳梨冰沙冰棒,{鳳梨去皮:3000}{水:1500-2000}{玉米粉:30}{水:30}{二砂or冰糖:600-800},https://tokyo-kitchen.icook.network/uploads/recipe/cover/255774/large_6e5f0913ab4af8b9.jpg,https://icook.tw/recipes/255774
芒果冰,{芒果:400g}{煉乳:100ml}{檸檬:1顆}{巧克力筆:適量}{脆皮甜筒杯:6支}{薄荷葉:適量}{水果丁:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/255272/large_6431f3b59e1f7496.jpg,https://icook.tw/recipes/255272
低醣/生酮~可可乳酪冰,{原味奶油乳酪抹醬:200g}{赤藻醣醇:25g}{無糖可可粉:10g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/255246/large_541a2b422a0c90da.jpg,https://icook.tw/recipes/255246
果汁冰棒,{綜合果汁:適量}{吉利丁粉:15g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/254919/large_5561491778560d49.jpg,https://icook.tw/recipes/254919
消暑的檸檬愛玉冰,{檸檬愛玉凍粉:1/2包(100g)}{水:1100c}{砂糖:100g}{檸檬汁:25cc},https://tokyo-kitchen.icook.network/uploads/recipe/cover/255224/large_4daad52fa0ae0ce4.jpg,https://icook.tw/recipes/255224
鳳梨冰,{鳳梨:一支（中型）}{冰糖:適量}{水:適量}{分裝袋:20-30個},https://tokyo-kitchen.icook.network/uploads/recipe/cover/255123/large_ad0d5a32c4e38f2c.jpg,https://icook.tw/recipes/255123
紅豆牛奶冰棒,{紅豆:150g}{奶粉:15g}{煉乳:35g}{溫水:135g},https://tokyo-kitchen.icook.network/uploads/recipe/cover/254965/large_4cbb59ed6329b61f.jpg,https://icook.tw/recipes/254965
