rdIndex,pepper,egg,water,salt,oil,soy sauce,onion,sugar,cream,flour,pork,beef,fish,chicken,sheep,lamb,meat
0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
8,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
9,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0
12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
17,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
18,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
19,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
20,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
21,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1
23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
27,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
28,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
29,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
30,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
31,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
34,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
35,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
36,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
39,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
40,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
43,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
44,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
45,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
46,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
47,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
48,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
51,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
54,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
55,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
56,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
57,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
58,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
59,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
60,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
61,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1
62,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
63,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
64,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
65,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
66,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1
67,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
68,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
69,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
70,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
71,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1
73,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
74,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
75,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
76,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
77,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
78,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
79,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
80,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
81,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
82,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
83,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
84,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
85,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1
86,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
87,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
88,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1
89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
92,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
93,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
94,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1
95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1
98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
100,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
101,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
102,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
103,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
104,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
105,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
106,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
107,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
108,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
110,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1
111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
114,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
115,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
116,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
117,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1
118,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
119,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
120,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1
121,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
122,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
123,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1
124,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
125,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1
126,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
127,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
128,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
129,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
130,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
132,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
133,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
134,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
135,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
136,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
137,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
138,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
139,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
140,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
141,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
142,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
143,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
144,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
145,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
146,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
147,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
148,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
